alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,20.62,1.52,-20.62,1.52,0.62,0.04
10.0,30.81,6.82,-30.81,6.82,0.74,0.04
20.0,48.58,14.1,-48.58,14.1,0.85,0.05
30.0,42.07,11.21,-42.07,11.21,0.9,0.05
40.0,34.48,4.82,-34.48,4.82,0.85,0.02
50.0,33.26,4.52,-33.26,4.52,0.84,0.02
60.0,27.48,3.56,-27.48,3.56,0.84,0.02
70.0,20.9,2.8,-20.9,2.8,0.89,0.06
80.0,15.15,2.15,-15.15,2.15,0.94,0.04
90.0,8.04,1.02,-8.04,1.02,0.92,0.05
100.0,0.43,0.81,0.43,0.81,0.92,0.06
