alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,17.19,1.28,-17.19,1.28,17.0,1.08
10.0,15.8,2.26,-15.8,2.26,17.95,1.43
20.0,14.9,2.64,-14.9,2.64,17.1,1.07
30.0,16.99,2.73,-16.99,2.73,17.73,1.17
40.0,13.33,4.29,-13.33,4.29,18.43,1.52
50.0,14.31,4.54,-14.31,4.54,18.22,1.33
60.0,14.63,5.1,-14.63,5.1,18.74,1.4
70.0,12.11,5.77,-12.04,5.91,18.72,1.32
80.0,11.47,5.61,-11.47,5.61,19.25,1.56
90.0,8.17,2.15,-7.51,3.88,19.75,1.91
100.0,1.66,2.69,1.66,2.69,19.39,1.55
