alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,16.99,1.4,-16.99,1.4,40.18,1.69
10.0,14.81,1.86,-14.81,1.86,40.8,2.25
20.0,12.58,2.37,-12.58,2.37,41.75,2.72
30.0,10.74,2.05,-10.74,2.05,41.8,2.49
40.0,12.4,5.69,-12.4,5.69,41.38,2.56
50.0,13.12,1.44,-13.12,1.44,40.38,2.5
60.0,9.17,1.72,-9.17,1.72,42.21,2.72
70.0,5.49,2.09,-5.49,2.09,42.38,2.37
80.0,3.51,2.08,-3.01,2.76,42.83,2.64
90.0,7.98,11.9,7.98,11.9,45.63,3.25
100.0,35.19,19.79,35.19,19.79,38.53,3.66
