alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,38.01,0.89,-38.01,0.89,187.86,6.53
10.0,34.6,0.98,-34.6,0.98,186.97,6.14
20.0,31.24,0.96,-31.24,0.96,183.61,7.42
30.0,27.92,1.13,-27.92,1.13,187.11,5.19
40.0,24.79,1.39,-24.79,1.39,186.96,7.61
50.0,21.34,2.09,-21.34,2.09,187.18,5.5
60.0,18.44,2.03,-18.44,2.03,188.86,6.17
70.0,14.42,1.96,-14.42,1.96,186.77,6.79
80.0,9.81,2.2,-9.81,2.2,187.3,6.67
90.0,4.79,1.79,-4.79,1.79,187.4,6.24
100.0,0.74,1.15,0.74,1.15,187.82,8.23
