alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,20.82,2.47,-20.82,2.47,17.88,1.28
10.0,20.4,2.52,-20.4,2.52,18.3,2.18
20.0,18.95,3.11,-18.95,3.11,16.74,2.4
30.0,18.02,2.1,-18.02,2.1,19.08,1.24
40.0,16.67,3.52,-16.67,3.52,18.19,1.41
50.0,14.45,3.81,-14.45,3.81,16.77,1.69
60.0,13.31,4.46,-12.57,6.26,18.16,1.96
70.0,11.1,3.9,-9.62,6.77,16.19,1.92
80.0,16.86,19.48,12.14,22.72,16.56,2.68
90.0,53.48,33.81,53.48,33.81,13.66,2.44
100.0,75.64,33.6,75.64,33.6,11.63,1.87
