alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,31.42,5.34,-31.42,5.34,0.36,0.02
10.0,31.87,5.87,-31.87,5.87,0.36,0.02
20.0,30.56,4.96,-30.56,4.96,0.36,0.02
30.0,27.89,4.78,-27.89,4.78,0.36,0.02
40.0,24.75,2.91,-24.75,2.91,0.36,0.02
50.0,19.29,2.74,-19.29,2.74,0.36,0.02
60.0,14.29,3.12,-14.29,3.12,0.36,0.02
70.0,8.39,2.5,-8.39,2.5,0.36,0.02
80.0,2.98,2.19,-2.57,2.66,0.38,0.03
90.0,4.64,3.15,4.62,3.18,0.36,0.02
100.0,11.05,2.89,11.05,2.89,0.36,0.02
