alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,22.16,3.65,-22.16,3.65,1.53,0.11
10.0,23.02,3.97,-23.02,3.97,1.64,0.01
20.0,26.71,4.91,-26.71,4.91,1.56,0.13
30.0,28.58,4.81,-28.58,4.81,1.64,0.04
40.0,29.25,7.43,-29.25,7.43,1.47,0.13
50.0,26.09,4.96,-26.09,4.96,1.37,0.09
60.0,24.62,6.32,-24.62,6.32,1.41,0.12
70.0,20.98,6.2,-20.98,6.2,1.65,0.01
80.0,13.94,4.54,-13.94,4.54,1.41,0.06
90.0,5.98,2.94,-5.83,3.23,1.36,0.03
100.0,4.07,2.77,4.07,2.77,1.46,0.12
