alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,13.96,1.0,-13.96,1.0,49.73,3.71
10.0,11.29,0.83,-11.29,0.83,49.54,3.15
20.0,9.76,0.85,-9.76,0.85,47.49,3.57
30.0,8.14,1.46,-8.14,1.46,49.46,4.66
40.0,7.38,1.44,-7.38,1.44,49.23,4.67
50.0,4.17,2.22,-4.17,2.23,50.48,4.53
60.0,3.21,2.25,-3.07,2.45,50.45,3.91
70.0,1.55,1.35,0.56,1.97,53.75,4.33
80.0,4.84,2.12,4.84,2.12,54.05,4.57
90.0,47.85,29.06,47.85,29.06,40.58,10.66
100.0,91.17,13.34,91.17,13.34,30.03,7.01
