alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,18.29,3.09,-18.29,3.09,0.29,0.08
10.0,20.14,2.18,-20.14,2.18,0.29,0.06
20.0,18.21,1.81,-18.21,1.81,0.28,0.06
30.0,16.74,2.01,-16.74,2.01,0.29,0.06
40.0,16.61,2.05,-16.61,2.05,0.28,0.05
50.0,15.26,2.09,-15.26,2.09,0.28,0.05
60.0,12.27,2.31,-12.27,2.31,0.26,0.04
70.0,8.63,1.73,-8.63,1.73,0.28,0.05
80.0,4.49,2.23,-4.49,2.23,0.29,0.05
90.0,1.88,1.05,1.84,1.12,0.27,0.04
100.0,7.47,1.66,7.47,1.66,0.27,0.04
