alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,0.01,0.02,-0.01,0.02,0.74,0.03
10.0,9.94,0.07,9.94,0.07,0.72,0.02
20.0,19.75,0.18,19.75,0.18,0.74,0.05
30.0,28.55,1.4,28.55,1.4,0.71,0.03
40.0,33.73,8.26,33.53,9.02,0.71,0.02
50.0,33.91,14.64,33.04,16.5,0.71,0.03
60.0,36.9,16.79,24.96,31.94,0.72,0.02
70.0,30.92,14.15,9.71,32.59,0.72,0.03
80.0,31.2,18.95,9.75,35.17,0.73,0.03
90.0,25.87,21.23,15.44,29.69,0.76,0.02
100.0,15.29,27.57,15.29,27.57,0.78,0.03
