alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,0.0,0.0,-0.0,0.0,0.41,0.03
10.0,7.6,2.21,7.6,2.21,0.38,0.01
20.0,15.81,4.73,15.81,4.73,0.37,0.01
30.0,23.57,5.98,23.57,5.98,0.4,0.03
40.0,28.72,11.68,28.53,12.15,0.43,0.02
50.0,40.61,9.58,40.61,9.58,0.38,0.01
60.0,44.95,14.09,44.95,14.09,0.39,0.03
70.0,43.15,17.63,43.15,17.63,0.39,0.02
80.0,61.24,20.35,61.24,20.35,0.39,0.03
90.0,68.56,18.61,68.56,18.61,0.39,0.03
100.0,84.88,14.95,84.88,14.95,0.37,0.01
