alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,0.27,0.27,-0.27,0.27,0.3,0.02
10.0,7.35,1.71,7.35,1.71,0.31,0.01
20.0,15.88,3.28,15.88,3.28,0.3,0.02
30.0,23.5,10.21,17.9,18.34,0.29,0.02
40.0,32.14,6.12,32.14,6.12,0.31,0.01
50.0,37.74,8.61,37.74,8.61,0.31,0.01
60.0,46.16,10.76,46.16,10.76,0.31,0.01
70.0,53.86,14.73,53.86,14.73,0.28,0.01
80.0,65.96,11.19,65.96,11.19,0.28,0.01
90.0,68.72,16.29,67.91,19.37,0.29,0.02
100.0,80.56,16.81,80.56,16.81,0.31,0.01
