alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,23.57,0.68,-23.57,0.68,123.86,10.05
10.0,21.28,0.75,-21.28,0.75,125.22,9.19
20.0,18.44,1.86,-18.44,1.86,123.83,10.81
30.0,16.07,3.13,-16.07,3.13,124.51,9.19
40.0,13.88,2.28,-13.88,2.28,124.45,10.08
50.0,11.63,3.29,-11.63,3.29,123.31,8.9
60.0,9.54,4.72,-7.69,7.36,123.53,10.09
70.0,6.75,6.17,-4.12,8.16,124.15,10.51
80.0,8.38,5.27,-7.54,6.41,125.07,10.04
90.0,7.03,3.02,-5.29,5.53,124.29,8.88
100.0,1.7,2.68,1.7,2.68,123.06,8.14
