alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,22.88,39.11,-22.88,39.11,0.63,0.01
10.0,51.73,38.08,-47.36,43.39,0.63,0.01
20.0,45.7,31.46,-29.87,46.76,0.63,0.01
30.0,48.02,24.38,-34.24,41.57,0.63,0.01
40.0,49.28,16.44,-32.46,40.57,0.63,0.01
50.0,47.92,5.63,-18.49,44.56,0.63,0.01
60.0,42.77,6.46,-24.43,35.69,0.63,0.01
70.0,32.47,9.07,-22.47,25.14,0.64,0.01
80.0,27.07,19.16,-8.13,32.15,0.63,0.01
90.0,21.2,26.36,4.4,33.54,0.63,0.01
100.0,18.13,36.78,18.13,36.78,0.63,0.01
