alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,88.07,32.3,-88.07,32.3,0.08,0.0
10.0,76.92,29.97,-74.28,36.02,0.08,0.0
20.0,55.14,30.45,-40.86,47.94,0.08,0.0
30.0,63.09,15.84,-54.51,35.49,0.08,0.0
40.0,54.0,10.73,-37.2,40.58,0.08,0.0
50.0,49.37,1.47,-34.63,35.22,0.08,0.01
60.0,45.21,7.65,-9.19,44.92,0.08,0.0
70.0,39.37,15.07,-3.83,41.98,0.08,0.0
80.0,37.09,24.95,9.89,43.59,0.08,0.0
90.0,30.04,32.18,15.64,41.15,0.08,0.01
100.0,14.3,32.78,14.3,32.78,0.08,0.0
