alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,0.03,0.03,-0.03,0.03,0.35,0.03
10.0,3.88,0.85,3.88,0.85,0.36,0.02
20.0,3.0,1.78,2.06,2.81,0.35,0.03
30.0,4.71,4.13,-1.9,5.97,0.37,0.02
40.0,11.41,10.27,-10.28,11.4,0.36,0.03
50.0,13.61,11.45,-13.21,11.91,0.36,0.03
60.0,13.51,11.06,-11.53,13.11,0.35,0.03
70.0,18.19,11.43,-17.06,13.06,0.35,0.02
80.0,13.92,6.73,-13.11,8.19,0.35,0.04
90.0,8.47,7.27,-1.3,11.08,0.31,0.03
100.0,7.93,11.42,7.93,11.42,0.3,0.03
