alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,3.42,1.04,-3.42,1.04,16.94,2.18
10.0,3.94,1.17,-3.94,1.17,14.12,1.65
20.0,4.11,1.08,-4.11,1.08,16.38,2.27
30.0,3.7,2.01,-3.7,2.01,16.22,2.65
40.0,4.09,2.02,-4.02,2.16,16.29,2.28
50.0,4.69,1.97,-4.57,2.23,17.19,2.24
60.0,4.67,2.63,-4.67,2.63,15.23,2.59
70.0,4.87,2.54,-4.46,3.2,17.67,2.02
80.0,8.34,8.18,2.1,11.49,17.16,2.72
90.0,55.76,34.49,55.76,34.49,12.58,2.5
100.0,78.59,33.32,78.59,33.32,13.03,2.18
