alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,96.0,19.6,-96.0,19.6,0.71,0.06
10.0,90.06,0.04,-90.06,0.04,0.65,0.02
20.0,80.06,0.03,-80.06,0.03,0.66,0.02
30.0,70.07,0.04,-70.07,0.04,0.67,0.02
40.0,60.05,0.03,-60.05,0.03,0.71,0.05
50.0,50.01,0.09,-46.05,19.52,0.7,0.04
60.0,40.04,0.03,-40.04,0.03,0.69,0.02
70.0,30.07,0.03,-30.07,0.03,0.7,0.02
80.0,20.06,0.03,-20.06,0.03,0.71,0.02
90.0,10.04,0.03,-10.04,0.03,0.73,0.02
100.0,3.99,19.53,3.99,19.53,0.74,0.03
