alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,12.84,2.45,-12.84,2.45,163.41,12.19
10.0,8.48,2.47,-8.48,2.47,164.32,15.45
20.0,6.93,2.67,-6.93,2.67,148.75,11.3
30.0,5.46,3.01,-5.43,3.05,148.45,12.46
40.0,4.88,2.15,-4.52,2.83,147.1,12.27
50.0,5.38,3.36,-4.76,4.19,142.71,11.54
60.0,4.68,3.28,-3.44,4.57,147.52,13.06
70.0,5.87,3.6,-3.09,6.15,143.26,12.36
80.0,5.9,4.53,0.4,7.43,144.12,9.5
90.0,6.04,4.67,4.42,6.23,151.47,11.31
100.0,8.43,4.26,8.43,4.26,146.48,8.2
