alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,3.84,0.51,-3.84,0.51,31.52,3.21
10.0,1.95,1.1,1.79,1.34,32.64,3.97
20.0,3.4,1.47,3.34,1.59,30.46,2.98
30.0,5.29,2.39,5.29,2.39,31.47,2.61
40.0,6.55,1.61,6.55,1.61,30.13,5.16
50.0,10.66,2.44,10.66,2.44,30.74,3.34
60.0,13.29,3.89,13.29,3.89,32.88,3.57
70.0,19.19,4.38,19.19,4.38,31.86,2.89
80.0,27.28,4.67,27.28,4.67,33.28,4.52
90.0,52.08,13.42,52.08,13.42,28.33,4.73
100.0,85.23,11.04,85.23,11.04,25.46,3.07
