alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,20.85,1.12,-20.85,1.12,179.15,13.27
10.0,17.73,1.14,-17.73,1.14,180.41,10.46
20.0,15.49,3.3,-15.49,3.3,177.53,14.5
30.0,13.11,3.09,-13.11,3.09,179.89,13.16
40.0,11.19,4.05,-11.19,4.05,178.6,12.08
50.0,7.96,4.59,-7.74,4.95,177.33,16.11
60.0,7.78,3.31,-7.25,4.34,179.0,12.86
70.0,7.9,3.4,-4.92,7.05,178.86,15.73
80.0,6.21,4.71,0.37,7.78,179.37,10.88
90.0,6.83,6.34,-0.59,9.3,179.88,13.69
100.0,3.21,5.36,3.21,5.36,179.99,12.68
