alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,11.34,2.63,-11.34,2.63,0.59,0.04
10.0,15.69,4.42,-15.69,4.42,0.69,0.03
20.0,30.03,6.49,-30.03,6.49,0.77,0.03
30.0,44.42,6.9,-44.42,6.9,0.84,0.03
40.0,48.61,5.52,-48.61,5.52,0.89,0.02
50.0,44.16,3.77,-44.16,3.77,0.95,0.04
60.0,36.93,2.7,-36.93,2.7,1.01,0.03
70.0,29.05,2.41,-29.05,2.41,1.05,0.03
80.0,20.44,1.98,-20.44,1.98,1.09,0.04
90.0,13.07,1.39,-13.07,1.39,1.12,0.04
100.0,0.75,1.45,0.75,1.45,1.17,0.04
