alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,21.51,5.31,-21.51,5.31,2.11,0.39
10.0,23.48,5.17,-23.48,5.17,2.0,0.39
20.0,25.37,4.72,-25.37,4.72,2.13,0.39
30.0,27.91,5.01,-27.91,5.01,2.01,0.37
40.0,28.4,5.32,-28.4,5.32,2.13,0.43
50.0,29.44,5.23,-29.44,5.23,2.18,0.45
60.0,29.4,4.83,-29.4,4.83,2.11,0.41
70.0,27.18,3.12,-27.18,3.12,2.13,0.38
80.0,20.74,1.62,-20.74,1.62,2.15,0.38
90.0,13.54,0.92,-13.54,0.92,2.13,0.38
100.0,0.05,0.29,0.05,0.29,2.23,0.37
