alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,7.0,1.05,-7.0,1.05,0.18,0.01
10.0,6.26,1.72,-6.26,1.72,0.19,0.01
20.0,9.36,5.27,-9.36,5.27,0.21,0.01
30.0,17.51,7.72,-17.51,7.72,0.23,0.01
40.0,18.43,7.88,-18.43,7.88,0.26,0.01
50.0,18.68,11.07,-18.67,11.08,0.29,0.01
60.0,17.06,8.64,-17.06,8.64,0.32,0.02
70.0,14.35,8.31,-13.95,8.95,0.35,0.02
80.0,12.65,5.95,-12.34,6.57,0.37,0.02
90.0,12.13,4.19,-11.72,5.22,0.39,0.02
100.0,2.79,4.79,2.79,4.79,0.39,0.02
