alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,23.14,3.66,-23.14,3.66,33.83,0.71
10.0,20.69,3.5,-20.69,3.5,33.64,0.79
20.0,18.74,3.35,-18.74,3.35,33.81,0.71
30.0,16.19,3.48,-16.19,3.48,33.4,0.65
40.0,14.19,3.36,-14.19,3.36,33.39,0.65
50.0,11.49,4.15,-11.49,4.15,33.65,0.63
60.0,8.94,3.78,-8.82,4.04,33.66,0.82
70.0,5.9,3.79,-4.99,4.93,33.73,0.7
80.0,4.32,3.32,-2.87,4.64,33.82,0.69
90.0,4.02,2.81,0.14,4.9,51.71,6.93
100.0,13.15,4.78,13.15,4.78,53.17,3.79
