alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,24.32,2.61,-24.32,2.61,35.29,2.89
10.0,20.11,5.1,-20.11,5.1,35.17,3.18
20.0,16.64,7.33,-16.64,7.33,34.94,3.16
30.0,12.24,9.59,-12.24,9.59,34.72,2.83
40.0,13.08,8.77,-9.33,12.68,34.55,2.57
50.0,16.16,5.53,-10.48,13.49,34.56,3.08
60.0,16.45,5.92,-7.08,15.99,34.56,2.93
70.0,16.18,7.94,-7.63,16.33,34.46,2.9
80.0,13.35,9.11,-6.81,14.66,34.14,3.29
90.0,11.31,7.12,-8.12,10.62,34.43,3.05
100.0,4.22,8.0,4.22,8.0,34.37,2.94
