alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,9.68,1.24,-9.68,1.24,0.27,0.02
10.0,10.39,1.36,-10.39,1.36,0.34,0.01
20.0,16.25,10.19,-16.25,10.19,0.38,0.01
30.0,26.96,7.19,-26.96,7.19,0.51,0.02
40.0,21.04,5.21,-21.04,5.21,0.54,0.01
50.0,21.67,5.03,-21.67,5.03,0.55,0.02
60.0,20.75,4.63,-20.75,4.63,0.55,0.01
70.0,17.72,4.06,-17.72,4.06,0.55,0.02
80.0,14.19,3.55,-14.19,3.55,0.54,0.02
90.0,9.46,2.32,-9.46,2.32,0.54,0.01
100.0,1.34,1.81,1.34,1.81,0.55,0.03
