alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,28.47,0.83,-28.47,0.83,108.52,1.75
10.0,26.7,1.28,-26.7,1.28,106.44,2.17
20.0,24.67,1.62,-24.67,1.62,108.95,2.13
30.0,22.57,2.51,-22.57,2.51,110.92,2.42
40.0,20.21,2.93,-20.21,2.93,110.4,1.79
50.0,18.26,2.56,-18.26,2.56,109.62,1.48
60.0,15.79,3.05,-15.58,3.97,110.82,2.23
70.0,12.92,3.24,-12.92,3.24,113.35,3.69
80.0,10.58,4.12,-10.12,5.15,112.19,1.64
90.0,7.1,2.88,-6.86,3.43,111.22,1.84
100.0,1.36,2.01,1.36,2.01,110.46,1.51
