alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,13.12,2.48,-13.12,2.48,0.81,0.15
10.0,14.97,2.78,-14.97,2.78,0.78,0.16
20.0,18.86,3.61,-18.86,3.61,0.79,0.16
30.0,20.93,4.0,-20.93,4.0,0.75,0.14
40.0,23.55,4.38,-23.55,4.38,0.87,0.18
50.0,24.63,4.48,-24.63,4.48,0.9,0.17
60.0,25.71,4.86,-25.71,4.86,0.87,0.17
70.0,24.43,4.22,-24.43,4.22,0.91,0.18
80.0,19.56,1.98,-19.56,1.98,0.91,0.17
90.0,11.62,0.65,-11.62,0.65,0.89,0.19
100.0,0.05,0.27,0.05,0.27,0.86,0.16
