alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,22.82,0.9,-22.82,0.9,141.61,11.22
10.0,20.52,0.79,-20.52,0.79,139.93,9.54
20.0,18.17,1.28,-18.17,1.28,141.37,12.39
30.0,16.04,1.41,-16.04,1.41,141.1,12.95
40.0,14.09,2.22,-14.09,2.22,140.94,11.07
50.0,11.02,1.95,-11.02,1.95,142.1,10.29
60.0,8.36,2.13,-8.36,2.13,139.28,9.56
70.0,6.56,2.89,-6.56,2.89,139.66,9.63
80.0,5.79,3.97,-5.65,4.18,140.79,10.79
90.0,4.71,2.96,-2.84,4.78,139.79,9.56
100.0,1.6,2.47,1.6,2.47,140.93,11.75
