alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,98.83,1.79,-98.83,1.79,0.66,0.02
10.0,88.61,3.93,-88.61,3.93,0.65,0.02
20.0,79.04,1.55,-79.04,1.55,0.65,0.02
30.0,68.97,1.59,-68.97,1.59,0.65,0.02
40.0,59.08,1.64,-59.08,1.64,0.65,0.03
50.0,49.12,1.99,-49.12,1.99,0.65,0.02
60.0,39.41,1.19,-39.41,1.19,0.65,0.02
70.0,29.33,1.41,-29.33,1.41,0.66,0.03
80.0,19.4,1.42,-19.4,1.42,0.66,0.02
90.0,9.84,1.46,-9.84,1.46,0.65,0.03
100.0,0.7,1.25,0.7,1.25,0.65,0.02
