alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,3.87,1.76,-3.87,1.76,0.99,0.04
10.0,5.45,2.98,-5.4,3.06,0.99,0.05
20.0,8.62,5.17,-8.52,5.33,0.97,0.04
30.0,14.18,7.38,-14.11,7.5,0.97,0.02
40.0,19.44,9.45,-19.44,9.47,0.96,0.05
50.0,25.06,10.95,-25.06,10.95,0.96,0.03
60.0,25.7,11.74,-25.57,12.01,0.95,0.03
70.0,23.17,9.32,-23.11,9.48,0.95,0.05
80.0,16.38,6.81,-14.67,9.98,0.93,0.02
90.0,11.52,4.12,-10.32,6.58,0.91,0.02
100.0,6.68,9.46,6.68,9.46,0.95,0.03
