alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,28.51,1.99,-28.51,1.99,105.35,2.3
10.0,25.2,2.9,-25.2,2.9,107.27,3.48
20.0,22.87,3.78,-22.87,3.78,107.78,1.88
30.0,21.96,6.29,-21.96,6.29,106.15,1.6
40.0,20.2,6.43,-20.2,6.43,105.24,1.6
50.0,19.72,6.27,-19.72,6.27,104.86,1.65
60.0,16.96,6.04,-16.96,6.06,104.39,2.13
70.0,13.54,5.25,-13.18,6.09,103.96,1.77
80.0,11.97,3.81,-11.61,4.8,104.55,1.9
90.0,10.23,2.82,-9.43,4.85,106.69,2.1
100.0,0.86,1.42,0.86,1.42,104.58,1.6
