alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,10.95,3.3,-10.95,3.3,0.66,0.13
10.0,13.18,3.74,-13.18,3.74,0.68,0.11
20.0,16.39,4.05,-16.39,4.05,0.67,0.1
30.0,19.02,3.84,-19.02,3.84,0.63,0.13
40.0,21.88,3.77,-21.88,3.77,0.64,0.12
50.0,23.19,4.15,-23.19,4.15,0.58,0.09
60.0,24.11,4.14,-24.11,4.14,0.44,0.08
70.0,23.69,3.81,-23.69,3.81,0.68,0.11
80.0,20.04,1.94,-20.04,1.94,0.59,0.12
90.0,13.41,1.09,-13.41,1.09,0.63,0.1
100.0,0.03,0.16,0.03,0.16,0.6,0.1
