alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,22.4,2.29,-22.4,2.29,60.05,4.56
10.0,19.24,3.63,-19.24,3.63,59.5,4.84
20.0,17.82,5.22,-17.82,5.22,59.29,4.58
30.0,14.12,6.97,-14.12,6.97,59.37,4.43
40.0,13.14,6.71,-12.53,7.79,62.02,6.01
50.0,13.53,4.49,-11.29,8.7,59.54,4.44
60.0,12.91,3.74,-9.29,9.72,59.44,5.04
70.0,13.4,4.69,-8.49,11.37,59.37,4.96
80.0,14.12,6.12,-9.84,11.83,58.87,4.91
90.0,19.69,6.39,-16.21,12.88,59.29,4.74
100.0,5.19,10.21,5.19,10.21,60.2,4.78
