alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,76.67,42.3,-76.67,42.3,0.14,0.01
10.0,75.25,31.73,-72.54,37.52,0.14,0.01
20.0,70.61,23.07,-66.21,33.68,0.14,0.01
30.0,59.77,19.82,-49.87,38.46,0.14,0.01
40.0,55.92,11.22,-47.98,30.83,0.14,0.01
50.0,47.61,5.89,-29.93,37.49,0.14,0.01
60.0,41.53,2.59,-22.69,34.88,0.14,0.01
70.0,35.19,8.43,-15.31,32.78,0.14,0.01
80.0,30.14,15.2,-4.45,33.46,0.14,0.01
90.0,25.96,21.12,3.14,33.32,0.14,0.01
100.0,8.84,24.86,8.84,24.86,0.14,0.01
