alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
0.0,25.6,1.01,-25.6,1.01,178.38,16.02
10.0,24.72,2.03,-24.72,2.03,176.55,17.23
20.0,23.82,1.25,-23.82,1.25,172.07,14.01
30.0,21.84,2.83,-21.84,2.83,175.33,14.3
40.0,19.88,2.16,-19.88,2.16,168.7,13.34
50.0,18.1,2.33,-18.1,2.33,166.21,14.32
60.0,14.44,3.35,-14.44,3.35,165.14,16.01
70.0,13.21,2.41,-13.21,2.41,164.59,12.25
80.0,8.81,3.72,-8.3,4.74,167.12,16.78
90.0,5.61,2.41,-4.39,4.25,164.67,15.44
100.0,2.22,2.56,2.22,2.56,174.45,12.85
