negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
1,0.0,2.67,0.33,-2.67,0.33,0.35,0.02
1,10.0,2.61,0.76,-2.61,0.76,0.48,0.01
1,20.0,11.23,2.44,-11.23,2.44,0.6,0.02
1,30.0,30.18,5.01,-30.18,5.01,0.69,0.02
1,40.0,40.82,6.58,-40.82,6.58,0.77,0.02
1,50.0,41.91,4.13,-41.91,4.13,0.86,0.02
1,60.0,36.42,2.79,-36.42,2.79,0.94,0.03
1,70.0,26.63,3.09,-26.63,3.09,1.0,0.02
1,80.0,18.0,2.94,-18.0,2.94,1.08,0.03
1,90.0,9.01,1.7,-9.01,1.7,1.13,0.03
1,100.0,1.55,1.81,1.55,1.81,1.14,0.03
3,0.0,1.4,0.22,-1.4,0.22,0.24,0.01
3,10.0,0.92,0.59,-0.87,0.67,0.41,0.02
3,20.0,7.23,1.88,-7.23,1.88,0.52,0.01
3,30.0,26.45,6.12,-26.45,6.12,0.63,0.02
3,40.0,39.56,6.38,-39.56,6.38,0.73,0.02
3,50.0,41.31,5.21,-41.31,5.21,0.82,0.02
3,60.0,34.08,4.67,-34.08,4.67,0.91,0.02
3,70.0,26.13,3.0,-26.13,3.0,0.99,0.02
3,80.0,17.42,2.83,-17.42,2.83,1.06,0.03
3,90.0,8.73,1.89,-8.73,1.89,1.12,0.03
3,100.0,0.49,0.97,0.49,0.97,1.14,0.03
6,0.0,2.05,0.18,-2.05,0.18,0.28,0.01
6,10.0,2.11,0.54,-2.11,0.54,0.48,0.02
6,20.0,7.9,2.61,-7.9,2.61,0.59,0.02
6,30.0,23.4,4.72,-23.4,4.72,0.69,0.01
6,40.0,34.65,5.79,-34.65,5.79,0.76,0.03
6,50.0,36.72,5.16,-36.72,5.16,0.83,0.02
6,60.0,29.1,4.99,-29.1,4.99,0.91,0.03
6,70.0,22.36,4.02,-22.36,4.02,0.97,0.03
6,80.0,15.0,4.31,-15.0,4.31,1.06,0.02
6,90.0,7.99,2.37,-7.99,2.37,1.12,0.04
6,100.0,0.77,1.56,0.77,1.56,1.17,0.05
7,0.0,13.5,0.92,-13.5,0.92,0.46,0.01
7,10.0,18.02,2.45,-18.02,2.45,0.57,0.02
7,20.0,28.03,4.66,-28.03,4.66,0.67,0.02
7,30.0,40.47,5.46,-40.47,5.46,0.75,0.02
7,40.0,43.88,5.81,-43.88,5.81,0.83,0.02
7,50.0,40.37,4.59,-40.37,4.59,0.91,0.03
7,60.0,33.26,4.27,-33.26,4.27,0.99,0.04
7,70.0,25.26,3.84,-25.26,3.84,1.03,0.06
7,80.0,17.79,2.68,-17.79,2.68,1.1,0.02
7,90.0,8.46,2.23,-8.46,2.23,1.12,0.03
7,100.0,1.31,2.13,1.31,2.13,1.17,0.04
8,0.0,17.56,1.25,-17.56,1.25,0.6,0.02
8,10.0,22.83,2.07,-22.83,2.07,0.68,0.02
8,20.0,35.59,5.48,-35.59,5.48,0.75,0.02
8,30.0,43.86,4.74,-43.86,4.74,0.82,0.03
8,40.0,44.59,5.15,-44.59,5.15,0.88,0.02
8,50.0,41.37,4.59,-41.37,4.59,0.95,0.03
8,60.0,34.21,3.96,-34.21,3.96,1.02,0.05
8,70.0,26.61,3.81,-26.61,3.81,1.06,0.03
8,80.0,18.23,2.31,-18.23,2.31,1.11,0.04
8,90.0,9.21,1.36,-9.21,1.36,1.17,0.03
8,100.0,0.56,1.06,0.56,1.06,1.17,0.04
9,0.0,4.34,0.46,-4.34,0.46,0.3,0.01
9,10.0,3.79,0.86,-3.79,0.86,0.4,0.01
9,20.0,4.74,1.36,-4.74,1.36,0.46,0.01
9,30.0,9.44,2.23,-9.44,2.23,0.53,0.02
9,40.0,16.39,4.25,-16.39,4.25,0.59,0.03
9,50.0,24.51,4.4,-24.51,4.4,0.64,0.02
9,60.0,24.81,4.13,-24.81,4.13,0.67,0.02
9,70.0,23.39,3.5,-23.39,3.5,0.69,0.02
9,80.0,16.01,2.83,-16.01,2.83,0.72,0.02
9,90.0,8.02,1.89,-8.02,1.89,0.75,0.02
9,100.0,1.36,1.53,1.36,1.53,0.77,0.03
10,0.0,3.13,0.33,-3.13,0.33,0.5,0.02
10,10.0,4.83,0.76,-4.83,0.76,0.61,0.02
10,20.0,16.26,2.97,-16.26,2.97,0.69,0.02
10,30.0,35.04,5.94,-35.04,5.94,0.75,0.02
10,40.0,40.69,5.61,-40.69,5.61,0.82,0.02
10,50.0,37.23,4.25,-37.23,4.25,0.91,0.06
10,60.0,32.6,3.83,-32.6,3.83,0.98,0.03
10,70.0,26.22,2.48,-26.22,2.48,1.03,0.03
10,80.0,17.78,2.46,-17.78,2.46,1.08,0.03
10,90.0,9.5,1.13,-9.5,1.13,1.13,0.04
10,100.0,1.42,2.06,1.42,2.06,1.18,0.03
11,0.0,18.46,1.63,-18.46,1.63,0.62,0.02
11,10.0,23.65,3.1,-23.65,3.1,0.73,0.02
11,20.0,35.93,5.03,-35.93,5.03,0.82,0.04
11,30.0,46.63,6.85,-46.63,6.85,0.9,0.03
11,40.0,49.63,4.12,-49.63,4.12,0.94,0.03
11,50.0,43.18,3.52,-43.18,3.52,1.01,0.03
11,60.0,36.4,4.02,-36.4,4.02,1.05,0.03
11,70.0,27.12,2.96,-27.12,2.96,1.12,0.03
11,80.0,18.62,1.73,-18.62,1.73,1.13,0.04
11,90.0,9.16,1.29,-9.16,1.29,1.19,0.07
11,100.0,0.71,1.74,0.71,1.74,1.18,0.05
12,0.0,3.74,0.4,-3.74,0.4,0.31,0.01
12,10.0,3.93,0.8,-3.93,0.8,0.49,0.02
12,20.0,12.05,2.61,-12.05,2.61,0.61,0.02
12,30.0,31.19,6.41,-31.19,6.41,0.7,0.02
12,40.0,42.28,6.8,-42.28,6.8,0.78,0.01
12,50.0,39.57,5.1,-39.57,5.1,0.86,0.02
12,60.0,33.59,3.24,-33.59,3.24,0.93,0.02
12,70.0,25.6,3.79,-25.6,3.79,1.01,0.03
12,80.0,18.12,1.86,-18.12,1.86,1.06,0.03
12,90.0,9.47,0.89,-9.47,0.89,1.13,0.04
12,100.0,1.02,1.28,1.02,1.28,1.17,0.04
