negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
1,0.0,8.04,0.57,-8.04,0.57,0.32,0.01
1,10.0,9.87,0.98,-9.87,0.98,0.48,0.02
1,20.0,28.7,14.33,-28.7,14.33,0.57,0.02
1,30.0,49.74,11.5,-49.74,11.5,0.68,0.03
1,40.0,28.85,8.66,-28.85,8.66,0.72,0.02
1,50.0,24.04,5.1,-24.04,5.1,0.72,0.02
1,60.0,22.75,5.91,-22.75,5.91,0.72,0.02
1,70.0,18.66,4.16,-18.66,4.16,0.72,0.03
1,80.0,13.67,3.06,-13.67,3.06,0.73,0.05
1,90.0,7.86,1.28,-7.86,1.28,0.72,0.03
1,100.0,0.33,0.72,0.33,0.72,0.74,0.04
3,0.0,3.86,0.45,-3.86,0.45,0.2,0.01
3,10.0,4.74,0.64,-4.74,0.64,0.42,0.02
3,20.0,16.82,7.3,-16.82,7.3,0.52,0.02
3,30.0,61.16,10.3,-61.16,10.3,0.66,0.03
3,40.0,49.73,11.23,-49.73,11.23,0.7,0.04
3,50.0,40.37,9.69,-40.37,9.69,0.7,0.02
3,60.0,32.39,7.12,-32.39,7.12,0.72,0.04
3,70.0,25.52,4.6,-25.52,4.6,0.73,0.05
3,80.0,17.63,2.33,-17.63,2.33,0.73,0.05
3,90.0,8.56,1.68,-8.56,1.68,0.72,0.04
3,100.0,0.55,0.78,0.55,0.78,0.74,0.03
6,0.0,4.47,0.49,-4.47,0.49,0.23,0.01
6,10.0,6.91,1.06,-6.91,1.06,0.41,0.01
6,20.0,14.99,2.86,-14.99,2.86,0.53,0.02
6,30.0,62.05,14.78,-62.05,14.78,0.68,0.03
6,40.0,56.65,8.47,-56.65,8.47,0.72,0.03
6,50.0,46.95,5.93,-46.95,5.93,0.72,0.02
6,60.0,39.12,1.69,-39.12,1.69,0.74,0.03
6,70.0,29.39,0.81,-29.39,0.81,0.72,0.04
6,80.0,18.95,1.25,-18.95,1.25,0.72,0.04
6,90.0,9.83,0.39,-9.83,0.39,0.73,0.04
6,100.0,0.44,0.78,0.44,0.78,0.75,0.06
7,0.0,19.37,1.42,-19.37,1.42,0.49,0.02
7,10.0,33.47,4.14,-33.47,4.14,0.56,0.02
7,20.0,68.04,8.83,-68.04,8.83,0.67,0.03
7,30.0,67.69,3.75,-67.69,3.75,0.74,0.05
7,40.0,58.41,2.26,-58.41,2.26,0.73,0.04
7,50.0,48.8,1.79,-48.8,1.79,0.74,0.04
7,60.0,39.2,1.1,-39.2,1.1,0.74,0.05
7,70.0,29.36,0.88,-29.36,0.88,0.74,0.03
7,80.0,19.71,0.91,-19.71,0.91,0.73,0.04
7,90.0,9.77,0.44,-9.77,0.44,0.74,0.04
7,100.0,0.22,0.61,0.22,0.61,0.75,0.04
8,0.0,43.82,3.08,-43.82,3.08,0.57,0.02
8,10.0,56.34,5.82,-56.34,5.82,0.63,0.02
8,20.0,59.67,15.54,-59.67,15.54,0.7,0.02
8,30.0,62.42,7.08,-62.42,7.08,0.71,0.03
8,40.0,55.46,3.08,-55.46,3.08,0.7,0.02
8,50.0,45.88,3.04,-45.88,3.04,0.71,0.03
8,60.0,37.24,2.66,-37.24,2.66,0.71,0.03
8,70.0,28.56,1.38,-28.56,1.38,0.7,0.02
8,80.0,19.7,0.64,-19.7,0.64,0.7,0.02
8,90.0,9.63,0.86,-9.63,0.86,0.72,0.03
8,100.0,0.21,0.51,0.21,0.51,0.74,0.04
9,0.0,15.75,0.71,-15.75,0.71,0.29,0.01
9,10.0,15.63,0.93,-15.63,0.93,0.38,0.02
9,20.0,15.58,1.3,-15.58,1.3,0.45,0.01
9,30.0,17.42,2.15,-17.42,2.15,0.52,0.03
9,40.0,31.22,7.96,-31.22,7.96,0.55,0.02
9,50.0,45.05,7.26,-45.05,7.26,0.59,0.02
9,60.0,34.75,4.51,-34.75,4.51,0.66,0.02
9,70.0,23.69,4.03,-23.69,4.03,0.68,0.03
9,80.0,15.56,2.42,-15.56,2.42,0.68,0.03
9,90.0,7.85,0.84,-7.85,0.84,0.68,0.02
9,100.0,1.47,0.51,1.47,0.51,0.73,0.03
10,0.0,14.42,1.95,-14.42,1.95,0.55,0.01
10,10.0,17.2,6.22,-17.2,6.22,0.6,0.02
10,20.0,16.96,8.31,-16.96,8.31,0.62,0.02
10,30.0,37.32,10.47,-37.32,10.47,0.72,0.03
10,40.0,28.24,6.86,-28.24,6.86,0.73,0.02
10,50.0,27.1,6.79,-27.1,6.79,0.73,0.03
10,60.0,25.07,4.09,-25.07,4.09,0.72,0.02
10,70.0,20.89,3.33,-20.89,3.33,0.71,0.02
10,80.0,15.03,1.97,-15.03,1.97,0.72,0.03
10,90.0,8.4,1.38,-8.4,1.38,0.71,0.02
10,100.0,0.3,0.7,0.3,0.7,0.73,0.04
11,0.0,27.65,2.53,-27.65,2.53,0.52,0.02
11,10.0,37.0,3.24,-37.0,3.24,0.61,0.03
11,20.0,58.06,12.43,-58.06,12.43,0.74,0.02
11,30.0,67.99,3.61,-67.99,3.61,0.77,0.05
11,40.0,59.35,1.14,-59.35,1.14,0.78,0.06
11,50.0,49.36,1.24,-49.36,1.24,0.76,0.06
11,60.0,39.76,0.45,-39.76,0.45,0.74,0.03
11,70.0,29.49,0.81,-29.49,0.81,0.76,0.05
11,80.0,19.91,0.27,-19.91,0.27,0.73,0.05
11,90.0,9.61,0.73,-9.61,0.73,0.74,0.04
11,100.0,0.2,0.5,0.2,0.5,0.74,0.04
12,0.0,4.48,0.47,-4.48,0.47,0.23,0.01
12,10.0,6.89,0.87,-6.89,0.87,0.43,0.01
12,20.0,15.03,3.8,-15.03,3.8,0.54,0.02
12,30.0,66.57,5.66,-66.57,5.66,0.67,0.02
12,40.0,55.09,6.51,-55.09,6.51,0.71,0.04
12,50.0,46.51,5.19,-46.51,5.19,0.71,0.03
12,60.0,36.91,3.45,-36.91,3.45,0.71,0.03
12,70.0,27.98,2.62,-27.98,2.62,0.71,0.04
12,80.0,17.55,2.85,-17.55,2.85,0.72,0.03
12,90.0,9.05,1.15,-9.05,1.15,0.72,0.04
12,100.0,0.3,0.55,0.3,0.55,0.74,0.04
13,0.0,11.03,0.76,-11.03,0.76,0.5,0.02
13,10.0,15.49,2.77,-15.49,2.77,0.58,0.02
13,20.0,20.33,6.6,-20.33,6.6,0.62,0.02
13,30.0,44.16,8.02,-44.16,8.02,0.72,0.03
13,40.0,34.57,7.37,-34.57,7.37,0.73,0.03
13,50.0,31.0,6.78,-31.0,6.78,0.72,0.02
13,60.0,23.76,3.23,-23.76,3.23,0.72,0.03
13,70.0,19.79,3.26,-19.79,3.26,0.72,0.02
13,80.0,14.31,2.42,-14.31,2.42,0.72,0.02
13,90.0,8.61,0.98,-8.61,0.98,0.71,0.02
13,100.0,0.24,0.56,0.24,0.56,0.74,0.03
15,0.0,3.72,0.39,-3.72,0.39,0.19,0.01
15,10.0,4.34,0.73,-4.34,0.73,0.42,0.02
15,20.0,10.75,4.33,-10.75,4.33,0.53,0.01
15,30.0,58.02,10.64,-58.02,10.64,0.65,0.03
15,40.0,26.34,14.15,-26.34,14.15,0.69,0.03
15,50.0,14.69,7.21,-14.69,7.21,0.72,0.03
15,60.0,14.26,8.91,-14.26,8.91,0.7,0.01
15,70.0,13.08,7.51,-13.08,7.51,0.72,0.02
15,80.0,9.66,4.25,-9.66,4.25,0.71,0.03
15,90.0,6.51,3.18,-6.44,3.32,0.72,0.02
15,100.0,0.37,0.73,0.37,0.73,0.73,0.04
16,0.0,2.89,0.36,-2.89,0.36,0.15,0.01
16,10.0,3.25,0.43,-3.25,0.43,0.39,0.02
16,20.0,6.17,3.1,-6.17,3.1,0.51,0.02
16,30.0,53.51,17.17,-53.51,17.17,0.62,0.02
16,40.0,16.11,8.68,-16.11,8.68,0.67,0.02
16,50.0,14.99,11.45,-14.99,11.45,0.7,0.02
16,60.0,15.64,9.9,-15.64,9.9,0.71,0.02
16,70.0,13.73,7.56,-13.73,7.56,0.7,0.02
