negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
1,0.0,6.16,0.87,-6.16,0.87,13.34,0.3
1,10.0,4.51,1.29,-4.51,1.29,13.26,0.38
1,20.0,4.68,1.19,-4.68,1.19,13.35,0.35
1,30.0,4.54,1.95,-4.54,1.95,13.59,0.35
1,40.0,5.82,1.98,-5.82,1.98,14.05,0.39
1,50.0,7.15,2.4,-6.77,3.31,14.28,0.42
1,60.0,6.18,3.27,-5.95,3.68,14.62,0.53
1,70.0,6.94,4.88,-6.83,5.04,14.88,0.71
1,80.0,9.44,3.97,-9.27,4.36,15.33,0.66
1,90.0,5.9,3.28,-5.69,3.62,15.68,0.71
1,100.0,1.19,1.63,1.19,1.63,15.62,0.84
3,0.0,4.24,0.33,-4.24,0.33,13.63,0.34
3,10.0,4.89,0.63,-4.89,0.63,13.71,0.28
3,20.0,5.52,1.07,-5.52,1.07,13.85,0.41
3,30.0,5.25,1.97,-5.25,1.97,14.03,0.36
3,40.0,5.37,2.0,-5.37,2.0,14.23,0.45
3,50.0,5.24,2.9,-5.24,2.9,14.65,0.37
3,60.0,7.61,2.81,-7.61,2.81,15.45,0.43
3,70.0,7.8,4.9,-7.78,4.93,15.67,0.93
3,80.0,7.14,3.52,-5.83,5.41,15.28,0.64
3,90.0,6.68,3.36,-6.19,4.19,15.58,0.74
3,100.0,1.4,2.65,1.4,2.65,15.45,0.54
6,0.0,2.06,0.18,-2.06,0.18,13.32,0.39
6,10.0,3.29,0.9,-3.29,0.9,13.2,0.41
6,20.0,4.35,1.47,-4.35,1.47,13.26,0.38
6,30.0,4.26,2.17,-4.26,2.17,13.69,0.46
6,40.0,5.18,3.09,-5.08,3.25,14.12,0.7
6,50.0,6.13,3.18,-5.65,3.97,14.71,0.58
6,60.0,6.77,3.34,-6.66,3.57,14.56,0.38
6,70.0,7.56,3.34,-7.19,4.08,15.03,0.74
6,80.0,8.03,4.13,-7.47,5.08,15.01,0.56
6,90.0,6.52,3.07,-5.94,4.08,15.68,0.74
6,100.0,1.65,3.42,1.65,3.42,15.77,0.63
7,0.0,17.25,1.11,-17.25,1.11,14.21,0.46
7,10.0,15.31,1.53,-15.31,1.53,14.48,0.47
7,20.0,15.09,1.53,-15.09,1.53,14.91,0.5
7,30.0,13.73,2.86,-13.73,2.86,14.94,0.6
7,40.0,13.6,3.6,-13.6,3.6,15.34,0.58
