negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
1,0.0,9.0,0.72,-9.0,0.72,12.87,0.54
1,10.0,7.74,1.39,-7.74,1.39,12.69,0.72
1,20.0,6.29,1.26,-6.29,1.26,12.83,0.63
1,30.0,4.99,1.18,-4.99,1.18,12.44,0.68
1,40.0,3.08,1.48,-2.86,1.87,12.69,0.75
1,50.0,7.28,2.8,-6.98,3.47,13.42,0.49
1,60.0,4.3,1.44,-4.3,1.44,13.45,0.65
1,70.0,2.28,1.47,-2.02,1.82,13.68,0.82
1,80.0,2.24,1.97,0.67,2.91,13.89,0.59
1,90.0,5.62,4.1,5.62,4.1,14.72,0.77
1,100.0,47.54,13.1,47.54,13.1,13.12,0.88
3,0.0,3.94,0.0,-3.94,0.0,12.29,0.48
3,10.0,3.64,0.91,-3.64,0.91,11.13,0.46
3,20.0,3.33,1.26,-3.33,1.26,10.96,0.44
3,30.0,3.1,1.6,-3.07,1.67,11.16,0.58
3,40.0,2.84,1.42,-2.77,1.55,10.82,0.54
3,50.0,2.62,1.12,-2.27,1.73,11.69,0.62
3,60.0,2.24,1.25,-0.41,2.53,12.18,0.69
3,70.0,2.25,1.9,0.53,2.9,12.56,0.45
3,80.0,3.0,2.67,2.5,3.14,13.38,0.74
3,90.0,5.51,4.83,5.51,4.83,14.16,1.18
3,100.0,39.44,13.63,39.44,13.63,13.26,1.01
6,0.0,1.45,0.51,-1.45,0.51,12.32,0.41
6,10.0,1.08,0.42,-0.77,0.86,10.98,0.64
6,20.0,1.39,1.1,-0.51,1.7,10.28,0.89
6,30.0,1.86,1.5,-1.13,2.11,10.98,0.92
6,40.0,1.87,1.72,-1.03,2.33,11.19,0.76
6,50.0,2.73,1.19,-0.42,2.94,11.81,0.51
6,60.0,2.98,2.1,-0.97,3.52,12.19,0.85
6,70.0,2.62,2.71,-0.06,3.77,13.06,1.0
6,80.0,3.42,2.73,2.21,3.78,13.03,1.01
6,90.0,9.94,8.4,9.94,8.4,14.14,0.85
6,100.0,48.99,14.63,48.99,14.63,12.79,0.72
7,0.0,12.26,2.3,-12.26,2.3,11.37,0.54
7,10.0,11.52,3.0,-11.52,3.0,11.13,0.49
7,20.0,10.15,3.2,-10.15,3.2,11.66,0.67
7,30.0,8.16,3.4,-8.03,3.7,12.19,0.62
7,40.0,6.37,3.61,-6.3,3.73,12.07,0.64
7,50.0,7.89,3.43,-6.78,5.3,12.41,0.85
7,60.0,5.43,3.75,-4.27,5.02,13.05,0.82
7,70.0,5.57,3.37,-3.38,5.56,13.36,0.8
7,80.0,3.23,2.28,-0.47,3.92,13.7,0.98
7,90.0,12.51,14.24,12.51,14.24,14.06,1.3
7,100.0,46.04,10.72,46.04,10.72,12.39,0.72
8,0.0,24.32,1.73,-24.32,1.73,12.85,0.6
8,10.0,22.93,2.93,-22.93,2.93,13.17,0.77
8,20.0,19.93,3.36,-19.93,3.36,13.2,0.81
8,30.0,17.72,3.09,-17.72,3.09,13.32,0.79
8,40.0,14.83,3.37,-14.83,3.37,14.22,0.64
8,50.0,11.3,5.02,-11.3,5.02,14.34,1.02
8,60.0,8.37,4.68,-8.17,5.02,14.77,0.74
8,70.0,8.48,4.64,-6.92,6.75,14.75,0.81
8,80.0,10.25,9.96,4.99,13.39,14.5,1.35
8,90.0,25.81,15.57,25.81,15.57,13.52,1.02
8,100.0,39.56,14.04,39.56,14.04,12.87,1.12
9,0.0,12.73,0.78,-12.73,0.78,12.2,0.66
9,10.0,11.26,1.18,-11.26,1.18,11.68,1.13
9,20.0,9.73,1.38,-9.73,1.38,11.73,0.86
9,30.0,7.18,1.94,-7.18,1.94,12.43,0.7
9,40.0,8.59,3.4,-8.59,3.4,12.32,0.72
9,50.0,7.86,1.66,-7.86,1.66,12.5,0.71
9,60.0,5.98,1.53,-5.98,1.53,12.65,0.63
9,70.0,3.67,2.09,-3.67,2.09,13.07,0.74
9,80.0,1.79,1.54,-0.57,2.29,13.06,1.03
9,90.0,9.86,12.62,9.86,12.62,13.39,1.23
9,100.0,44.0,16.46,44.0,16.46,11.99,0.72
10,0.0,25.44,1.61,-25.44,1.61,12.76,0.78
10,10.0,22.92,1.67,-22.92,1.67,12.67,0.71
10,20.0,19.5,2.01,-19.5,2.01,12.1,1.24
10,30.0,16.38,3.38,-16.38,3.38,12.34,1.01
10,40.0,20.47,1.41,-20.47,1.41,12.62,0.77
10,50.0,15.67,1.36,-15.67,1.36,12.78,1.0
10,60.0,11.84,2.11,-11.84,2.11,13.84,0.64
10,70.0,7.43,2.76,-7.43,2.76,11.82,2.39
10,80.0,3.73,1.87,-3.09,2.81,11.87,2.02
10,90.0,13.14,14.34,13.14,14.34,14.25,1.55
10,100.0,44.14,12.67,44.14,12.67,12.02,0.81
11,0.0,7.14,1.46,-7.14,1.46,10.08,1.51
11,10.0,5.44,1.85,-5.44,1.85,10.0,0.99
11,20.0,5.48,2.96,-5.48,2.96,10.16,1.06
11,30.0,5.98,3.36,-5.96,3.4,10.38,0.9
11,40.0,5.24,4.8,-4.67,5.35,10.89,0.97
11,50.0,5.03,3.08,-2.91,5.13,11.48,0.94
11,60.0,4.61,3.34,-1.57,5.47,12.05,0.85
11,70.0,2.81,2.09,0.13,3.5,12.39,0.84
11,80.0,4.12,5.05,0.94,6.44,12.69,1.06
11,90.0,21.56,15.02,21.56,15.02,12.07,1.01
11,100.0,42.53,13.72,42.53,13.72,11.28,0.84
12,0.0,3.94,0.0,-3.94,0.0,10.68,0.64
12,10.0,1.4,0.84,-1.2,1.11,10.09,1.07
12,20.0,1.97,1.31,-1.88,1.44,10.01,0.87
12,30.0,2.14,1.63,-1.59,2.18,10.2,1.08
12,40.0,2.32,1.74,-1.58,2.43,10.21,0.84
12,50.0,2.5,1.83,-0.95,2.95,10.47,0.94
12,60.0,2.71,1.84,-1.0,3.12,11.02,0.92
12,70.0,2.77,2.14,0.67,3.43,11.57,0.85
12,80.0,2.79,2.6,1.91,3.3,11.9,0.74
12,90.0,6.72,5.3,6.72,5.3,12.36,1.08
12,100.0,48.87,11.64,48.87,11.64,11.11,0.99
13,0.0,19.83,1.33,-19.83,1.33,11.75,0.86
13,10.0,17.56,1.72,-17.56,1.72,11.83,0.98
13,20.0,15.23,1.92,-15.23,1.92,11.97,0.94
13,30.0,12.43,1.84,-12.43,1.84,12.07,0.83
13,40.0,11.85,6.27,-11.78,6.4,12.31,0.79
13,50.0,13.64,1.33,-13.64,1.33,12.43,0.69
13,60.0,8.84,1.79,-8.84,1.79,12.92,0.79
13,70.0,6.77,1.7,-6.77,1.7,12.74,0.89
13,80.0,2.3,2.06,-0.34,3.07,12.75,0.81
13,90.0,13.66,16.7,13.66,16.7,12.78,1.07
13,100.0,41.36,12.63,41.36,12.63,11.75,1.0
15,0.0,1.35,0.0,-1.35,0.0,10.31,1.05
15,10.0,1.55,0.95,-1.55,0.95,10.03,1.01
15,20.0,0.84,0.49,-0.05,0.97,9.72,0.9
15,30.0,1.44,0.92,0.27,1.68,9.68,0.92
15,40.0,1.17,0.91,0.27,1.45,9.81,1.01
15,50.0,1.89,1.44,0.73,2.26,10.43,1.14
15,60.0,0.99,0.78,-0.1,1.26,10.76,0.94
15,70.0,1.33,1.01,0.96,1.36,11.44,0.96
15,80.0,3.14,2.47,2.87,2.78,11.66,0.93
15,90.0,5.69,4.94,5.69,4.94,12.19,1.07
15,100.0,46.2,12.75,46.2,12.75,11.35,1.02
16,0.0,1.35,0.0,-1.35,0.0,10.35,0.91
16,10.0,1.07,0.42,-0.86,0.75,9.96,1.01
16,20.0,1.35,0.74,1.15,1.02,9.63,1.02
16,30.0,1.79,1.3,1.53,1.6,9.38,0.96
16,40.0,2.02,1.34,1.75,1.69,10.0,1.01
16,50.0,2.39,1.92,2.13,2.2,10.14,0.93
16,60.0,1.0,0.77,-0.28,1.23,10.87,1.07
16,70.0,1.96,1.26,1.24,1.97,11.65,0.91
16,80.0,3.57,2.31,3.21,2.79,11.97,0.98
16,90.0,5.42,3.37,5.42,3.37,12.14,0.99
16,100.0,48.08,14.42,48.08,14.42,11.3,1.1
17,0.0,1.35,0.0,-1.35,0.0,10.04,0.65
17,10.0,1.07,0.15,-0.16,1.07,9.07,0.85
17,20.0,1.38,0.82,-1.29,0.96,9.39,0.69
