negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
1,0.0,0.87,0.5,-0.87,0.5,0.11,0.01
1,10.0,1.24,0.85,-1.19,0.93,0.11,0.01
1,20.0,1.59,0.94,-1.16,1.44,0.12,0.01
1,30.0,1.8,1.54,-1.14,2.08,0.14,0.01
1,40.0,2.03,1.72,-0.34,2.64,0.13,0.02
1,50.0,2.45,1.44,-0.92,2.69,0.12,0.02
1,60.0,2.34,1.91,-0.05,3.02,0.13,0.0
1,70.0,3.07,2.82,-1.68,3.81,0.13,0.0
1,80.0,3.29,2.1,-0.99,3.78,0.13,0.01
1,90.0,3.88,2.55,-1.02,4.53,0.12,0.01
1,100.0,1.25,2.02,1.25,2.02,0.11,0.01
3,0.0,3.34,0.88,-3.34,0.88,0.11,0.01
3,10.0,3.11,1.5,-3.06,1.59,0.11,0.01
3,20.0,3.23,1.65,-3.08,1.9,0.11,0.01
3,30.0,3.61,1.96,-3.45,2.23,0.11,0.01
3,40.0,2.91,2.38,-2.91,2.38,0.11,0.01
3,50.0,3.05,1.93,-2.64,2.47,0.11,0.01
3,60.0,3.6,1.76,-1.92,3.51,0.11,0.01
3,70.0,3.27,2.38,-2.43,3.23,0.1,0.01
3,80.0,2.77,2.24,-2.1,2.87,0.1,0.01
3,90.0,3.56,2.63,-1.88,4.01,0.11,0.01
3,100.0,1.47,2.6,1.47,2.6,0.11,0.01
6,0.0,30.45,5.01,-30.45,5.01,0.11,0.01
6,10.0,24.02,6.9,-24.02,6.9,0.1,0.01
6,20.0,21.81,3.87,-21.81,3.87,0.11,0.01
6,30.0,21.38,6.26,-21.38,6.26,0.11,0.01
6,40.0,17.48,6.91,-17.48,6.91,0.11,0.01
6,50.0,14.71,5.55,-14.6,5.84,0.11,0.01
6,60.0,10.24,4.76,-10.24,4.76,0.11,0.02
6,70.0,8.83,4.0,-7.98,5.5,0.12,0.01
6,80.0,5.85,3.38,-5.74,3.57,0.11,0.01
6,90.0,6.0,3.03,-5.28,4.17,0.12,0.01
6,100.0,0.79,1.56,0.79,1.56,0.1,0.01
7,0.0,75.04,6.18,-75.04,6.18,0.11,0.01
7,10.0,69.88,7.25,-69.88,7.25,0.11,0.01
7,20.0,60.39,4.7,-60.39,4.7,0.12,0.01
7,30.0,54.07,5.93,-54.07,5.93,0.12,0.01
7,40.0,46.11,4.71,-46.11,4.71,0.11,0.01
7,50.0,38.1,4.04,-38.1,4.04,0.11,0.01
7,60.0,29.47,4.97,-29.47,4.97,0.11,0.01
7,70.0,22.94,3.42,-22.94,3.42,0.12,0.01
7,80.0,15.55,3.66,-15.55,3.66,0.12,0.01
7,90.0,8.56,1.85,-8.56,1.85,0.11,0.01
7,100.0,0.92,1.92,0.92,1.92,0.11,0.01
8,0.0,48.58,4.9,-48.58,4.9,0.11,0.01
8,10.0,47.94,4.77,-47.94,4.77,0.11,0.01
8,20.0,40.65,6.18,-40.65,6.18,0.1,0.01
8,30.0,36.76,4.66,-36.76,4.66,0.12,0.01
8,40.0,31.15,4.2,-31.15,4.2,0.12,0.02
8,50.0,27.03,3.78,-27.03,3.78,0.11,0.01
8,60.0,22.53,2.82,-22.53,2.82,0.11,0.01
8,70.0,16.46,3.69,-16.46,3.69,0.11,0.01
8,80.0,12.35,3.18,-12.35,3.18,0.12,0.01
8,90.0,5.65,2.48,-5.65,2.48,0.12,0.01
8,100.0,0.86,1.48,0.86,1.48,0.11,0.01
9,0.0,0.38,0.37,-0.38,0.37,0.12,0.01
9,10.0,1.24,0.94,-1.04,1.15,0.11,0.01
9,20.0,1.29,0.9,-1.0,1.22,0.12,0.02
9,30.0,1.71,1.29,-0.63,2.04,0.13,0.02
9,40.0,1.99,1.37,-0.82,2.28,0.11,0.01
9,50.0,2.78,2.06,-0.28,3.44,0.12,0.01
9,60.0,3.05,2.32,-1.0,3.69,0.11,0.01
9,70.0,3.57,2.75,-2.52,3.73,0.11,0.01
9,80.0,2.41,2.19,-0.96,3.12,0.13,0.02
9,90.0,3.08,2.34,-1.79,3.43,0.13,0.01
9,100.0,2.47,3.19,2.47,3.19,0.13,0.02
10,0.0,0.01,0.02,-0.01,0.02,0.11,0.01
10,10.0,0.7,0.55,-0.25,0.85,0.11,0.01
10,20.0,1.12,0.75,-0.55,1.23,0.11,0.01
10,30.0,1.16,1.11,-0.43,1.55,0.11,0.01
10,40.0,1.46,1.17,-0.28,1.85,0.12,0.01
10,50.0,2.46,1.47,-0.4,2.84,0.11,0.01
10,60.0,1.85,1.62,-0.13,2.45,0.12,0.01
10,70.0,2.87,2.24,-1.5,3.32,0.12,0.01
10,80.0,3.03,1.86,-1.27,3.32,0.11,0.01
10,90.0,3.9,2.65,-2.39,4.07,0.12,0.01
10,100.0,0.86,1.52,0.86,1.52,0.12,0.02
11,0.0,65.77,6.1,-65.77,6.1,0.1,0.01
11,10.0,60.3,7.33,-60.3,7.33,0.11,0.01
11,20.0,52.98,5.71,-52.98,5.71,0.11,0.01
11,30.0,46.7,5.44,-46.7,5.44,0.1,0.01
11,40.0,39.77,4.77,-39.77,4.77,0.1,0.01
11,50.0,33.57,4.65,-33.57,4.65,0.1,0.01
11,60.0,28.39,5.42,-28.39,5.42,0.1,0.01
11,70.0,20.86,4.05,-20.86,4.05,0.1,0.01
11,80.0,15.07,3.48,-15.07,3.48,0.1,0.01
11,90.0,6.5,2.98,-6.5,2.98,0.1,0.01
11,100.0,1.39,1.9,1.39,1.9,0.1,0.01
12,0.0,11.97,2.98,-11.97,2.98,0.1,0.01
12,10.0,10.29,2.98,-10.29,2.98,0.1,0.01
12,20.0,9.72,2.64,-9.72,2.64,0.1,0.01
12,30.0,8.64,4.23,-8.64,4.23,0.1,0.01
12,40.0,8.19,2.86,-8.19,2.86,0.1,0.01
12,50.0,7.15,3.41,-7.01,3.69,0.11,0.01
12,60.0,7.0,4.12,-6.71,4.59,0.11,0.01
12,70.0,5.71,3.73,-4.69,4.95,0.1,0.01
12,80.0,3.64,1.95,-2.42,3.35,0.1,0.0
12,90.0,3.49,2.74,-1.4,4.21,0.1,0.0
12,100.0,1.1,1.7,1.1,1.7,0.1,0.01
13,0.0,0.22,0.16,-0.22,0.16,0.1,0.0
13,10.0,0.8,0.67,-0.27,1.01,0.11,0.01
13,20.0,1.04,0.6,-0.73,0.96,0.11,0.01
13,30.0,1.51,1.13,-0.45,1.83,0.12,0.01
13,40.0,1.52,1.13,-0.7,1.76,0.11,0.01
13,50.0,1.47,1.4,-0.87,1.84,0.11,0.01
13,60.0,2.79,2.1,-0.69,3.42,0.12,0.01
13,70.0,2.67,1.94,-1.4,2.98,0.12,0.01
13,80.0,3.02,2.07,-0.84,3.57,0.12,0.01
13,90.0,2.66,2.0,-1.52,2.96,0.12,0.01
13,100.0,1.29,1.81,1.29,1.81,0.11,0.02
15,0.0,0.02,0.05,-0.02,0.05,0.1,0.01
15,10.0,0.56,0.41,-0.11,0.69,0.09,0.0
15,20.0,0.98,0.67,-0.14,1.18,0.1,0.01
15,30.0,1.18,0.85,-0.7,1.28,0.1,0.0
15,40.0,1.31,0.94,-0.01,1.61,0.1,0.01
15,50.0,2.36,1.83,-0.95,2.83,0.11,0.01
15,60.0,1.99,1.62,-0.67,2.47,0.1,0.01
15,70.0,2.81,1.79,-0.23,3.32,0.11,0.01
15,80.0,2.77,2.07,-1.4,3.16,0.1,0.0
15,90.0,4.69,3.18,-2.01,5.3,0.1,0.0
15,100.0,0.67,1.51,0.67,1.51,0.1,0.01
16,0.0,0.08,0.11,-0.08,0.11,0.11,0.01
16,10.0,0.58,0.38,-0.28,0.63,0.11,0.01
16,20.0,0.64,0.43,-0.24,0.73,0.11,0.01
16,30.0,1.38,0.96,-0.55,1.59,0.11,0.02
16,40.0,1.65,1.23,-0.5,2.0,0.11,0.01
16,50.0,2.08,1.9,-1.44,2.42,0.11,0.01
16,60.0,2.66,1.79,-0.73,3.12,0.12,0.01
16,70.0,2.38,2.04,-0.56,3.09,0.13,0.0
16,80.0,1.89,1.46,-0.13,2.39,0.11,0.02
16,90.0,3.54,2.67,-1.72,4.08,0.11,0.01
16,100.0,1.94,3.37,1.94,3.37,0.1,0.0
17,0.0,0.0,0.0,0.0,0.0,0.12,0.01
17,10.0,0.6,0.51,-0.16,0.77,0.11,0.01
17,20.0,1.08,0.7,-0.14,1.28,0.1,0.01
17,30.0,1.55,1.14,-0.73,1.78,0.11,0.01
17,40.0,1.7,1.11,-0.43,1.99,0.11,0.01
17,50.0,1.87,1.51,-0.18,2.4,0.1,0.01
17,60.0,2.14,1.37,-0.56,2.48,0.12,0.01
17,70.0,2.45,1.6,-1.06,2.73,0.11,0.01
17,80.0,2.81,2.22,-0.5,3.55,0.11,0.01
17,90.0,2.6,1.94,-0.94,3.11,0.11,0.01
17,100.0,0.9,1.7,0.9,1.7,0.12,0.01
18,0.0,0.31,0.22,-0.31,0.22,0.11,0.02
18,10.0,0.85,0.57,-0.53,0.88,0.1,0.01
18,20.0,1.44,0.97,-0.84,1.52,0.12,0.02
18,30.0,1.42,1.23,-1.09,1.53,0.11,0.02
18,40.0,2.05,1.37,-0.96,2.27,0.12,0.02
18,50.0,2.13,1.42,-0.99,2.36,0.11,0.01
18,60.0,2.16,1.66,-0.56,2.66,0.11,0.02
18,70.0,2.42,1.67,-1.77,2.35,0.11,0.02
18,80.0,3.16,2.24,-0.14,3.87,0.11,0.01
18,90.0,3.19,2.36,-0.16,3.97,0.11,0.01
18,100.0,0.51,0.99,0.51,0.99,0.11,0.02
20,0.0,0.55,0.24,-0.55,0.24,0.1,0.01
20,10.0,1.2,0.62,-0.9,1.01,0.1,0.01
20,20.0,1.24,0.91,-0.74,1.34,0.12,0.02
20,30.0,1.51,1.15,-0.53,1.82,0.12,0.02
20,40.0,1.77,1.23,-1.22,1.78,0.1,0.0
20,50.0,1.7,1.43,-0.6,2.14,0.11,0.01
20,60.0,2.32,1.42,-1.29,2.4,0.11,0.01
20,70.0,2.67,2.3,-0.96,3.39,0.1,0.01
20,80.0,3.36,2.74,-1.28,4.14,0.11,0.01
20,90.0,3.68,2.69,-0.77,4.49,0.11,0.01
20,100.0,1.25,1.91,1.25,1.91,0.11,0.01
22,0.0,1.69,0.52,-1.69,0.52,0.11,0.01
22,10.0,1.86,0.94,-1.8,1.05,0.1,0.01
22,20.0,2.47,1.48,-2.16,1.9,0.1,0.01
22,30.0,2.33,1.57,-2.08,1.89,0.11,0.01
22,40.0,2.57,1.66,-2.22,2.1,0.1,0.01
22,50.0,2.23,1.55,-1.78,2.06,0.11,0.01
22,60.0,2.37,1.78,-1.41,2.6,0.12,0.01
22,70.0,2.93,2.16,-2.6,2.55,0.11,0.01
22,80.0,2.86,1.91,-1.53,3.08,0.11,0.01
22,90.0,3.24,2.03,-1.15,3.64,0.12,0.02
22,100.0,0.8,1.58,0.8,1.58,0.11,0.01
24,0.0,0.4,0.23,-0.4,0.23,0.11,0.01
