negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
1,0.0,1.61,0.5,-1.61,0.5,0.11,0.0
1,10.0,1.87,1.12,-1.87,1.12,0.11,0.0
1,20.0,1.85,1.31,-1.51,1.69,0.11,0.0
1,30.0,2.27,1.37,-1.97,1.78,0.12,0.0
1,40.0,2.05,1.68,-1.48,2.2,0.12,0.0
1,50.0,2.12,1.3,-0.42,2.46,0.12,0.0
1,60.0,2.12,1.59,-0.93,2.48,0.12,0.0
1,70.0,2.94,2.16,0.35,3.63,0.12,0.0
1,80.0,3.6,2.53,-0.66,4.35,0.12,0.0
1,90.0,3.23,2.22,0.03,3.92,0.12,0.0
1,100.0,2.14,3.06,2.14,3.06,0.12,0.0
3,0.0,0.38,0.16,-0.38,0.16,0.11,0.0
3,10.0,0.65,0.44,-0.39,0.69,0.11,0.0
3,20.0,1.11,0.86,-0.51,1.31,0.11,0.0
3,30.0,1.67,1.23,-1.0,1.82,0.12,0.0
3,40.0,1.72,1.42,-1.0,1.99,0.12,0.0
3,50.0,2.87,1.7,-1.48,2.99,0.12,0.0
3,60.0,1.92,1.33,0.48,2.29,0.12,0.0
3,70.0,2.64,1.72,0.44,3.12,0.12,0.0
3,80.0,3.5,2.5,-2.73,3.32,0.12,0.0
3,90.0,3.53,2.46,-0.24,4.29,0.12,0.0
3,100.0,1.26,2.42,1.26,2.42,0.12,0.0
6,0.0,0.2,0.19,-0.2,0.19,0.12,0.0
6,10.0,0.66,0.46,-0.5,0.63,0.12,0.0
6,20.0,1.13,0.96,-0.38,1.43,0.12,0.0
6,30.0,1.76,1.11,-0.25,2.07,0.12,0.0
6,40.0,1.74,1.75,-1.02,2.24,0.12,0.0
6,50.0,2.09,1.59,-0.5,2.58,0.12,0.0
6,60.0,2.79,2.33,-0.36,3.62,0.12,0.0
6,70.0,2.19,1.33,0.03,2.56,0.12,0.0
6,80.0,3.52,2.82,-2.08,4.0,0.12,0.0
6,90.0,3.87,3.09,0.09,4.95,0.12,0.0
6,100.0,1.7,2.33,1.7,2.33,0.12,0.0
7,0.0,18.74,3.83,-18.74,3.83,0.12,0.0
7,10.0,16.67,2.85,-16.67,2.85,0.12,0.0
7,20.0,16.32,3.43,-16.32,3.43,0.12,0.0
7,30.0,13.54,3.61,-13.54,3.61,0.12,0.0
7,40.0,11.84,3.06,-11.84,3.06,0.12,0.0
7,50.0,9.99,3.0,-9.99,3.0,0.12,0.0
7,60.0,9.41,3.62,-9.41,3.62,0.12,0.0
7,70.0,5.72,3.51,-5.65,3.63,0.12,0.0
7,80.0,5.37,4.06,-4.83,4.68,0.12,0.0
7,90.0,4.05,2.81,-2.14,4.44,0.12,0.0
7,100.0,1.85,2.9,1.85,2.9,0.12,0.0
8,0.0,36.28,5.23,-36.28,5.23,0.12,0.0
8,10.0,33.63,3.53,-33.63,3.53,0.12,0.0
8,20.0,28.86,4.31,-28.86,4.31,0.12,0.0
8,30.0,25.61,4.35,-25.61,4.35,0.12,0.0
8,40.0,22.61,4.14,-22.61,4.14,0.12,0.0
8,50.0,17.56,3.94,-17.56,3.94,0.12,0.0
8,60.0,14.02,4.41,-14.02,4.41,0.12,0.0
8,70.0,12.43,3.82,-12.43,3.82,0.12,0.0
8,80.0,8.47,3.92,-8.47,3.92,0.12,0.0
8,90.0,4.61,2.99,-3.65,4.1,0.12,0.0
8,100.0,2.38,2.79,2.38,2.79,0.12,0.0
9,0.0,3.53,1.12,-3.53,1.12,0.17,0.0
9,10.0,3.89,1.83,-3.89,1.83,0.16,0.0
9,20.0,3.77,2.01,-3.59,2.31,0.16,0.01
9,30.0,4.24,2.0,-3.92,2.58,0.17,0.0
9,40.0,3.78,1.78,-3.62,2.08,0.17,0.0
9,50.0,3.42,2.26,-2.92,2.88,0.17,0.0
9,60.0,2.81,1.73,-1.6,2.89,0.17,0.0
9,70.0,3.82,2.68,-0.91,4.58,0.17,0.0
