negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
1,0.0,3.53,0.65,-3.53,0.65,0.1,0.0
1,10.0,3.26,0.96,-3.26,0.96,0.11,0.0
1,20.0,3.29,1.35,-3.21,1.52,0.11,0.0
1,30.0,3.41,1.62,-3.41,1.62,0.11,0.0
1,40.0,2.92,1.49,-2.29,2.35,0.11,0.0
1,50.0,2.76,1.82,-2.28,2.39,0.1,0.0
1,60.0,2.95,2.02,-1.91,3.03,0.11,0.0
1,70.0,4.13,2.74,-2.18,4.45,0.11,0.0
1,80.0,4.0,3.0,-2.44,4.37,0.11,0.0
1,90.0,3.28,2.64,-0.2,4.21,0.11,0.0
1,100.0,1.65,2.1,1.65,2.1,0.1,0.0
3,0.0,0.42,0.21,-0.42,0.21,0.1,0.0
3,10.0,0.93,0.65,-0.59,0.97,0.1,0.0
3,20.0,1.45,0.85,-0.67,1.54,0.11,0.0
3,30.0,1.54,1.19,-0.85,1.75,0.1,0.0
3,40.0,2.17,1.24,-1.18,2.2,0.1,0.0
3,50.0,2.45,1.73,-0.59,2.94,0.11,0.0
3,60.0,2.33,1.97,-1.73,2.51,0.1,0.0
3,70.0,2.49,1.98,-1.33,2.89,0.11,0.0
3,80.0,2.21,1.81,-0.61,2.79,0.11,0.0
3,90.0,3.81,3.09,-1.51,4.67,0.11,0.0
3,100.0,2.31,3.08,2.31,3.08,0.11,0.0
6,0.0,0.88,0.43,-0.88,0.43,0.11,0.0
6,10.0,1.24,0.97,-1.22,1.01,0.1,0.0
6,20.0,1.35,1.02,-0.86,1.46,0.1,0.0
6,30.0,1.86,1.23,-1.48,1.67,0.1,0.0
6,40.0,1.83,1.31,-1.57,1.61,0.1,0.0
6,50.0,2.41,1.53,-0.75,2.75,0.11,0.0
6,60.0,2.6,1.89,-1.85,2.63,0.11,0.0
6,70.0,2.46,2.29,-0.38,3.34,0.1,0.0
6,80.0,2.05,1.26,-0.45,2.36,0.1,0.0
6,90.0,2.69,2.1,-0.73,3.33,0.1,0.0
6,100.0,1.4,2.08,1.4,2.08,0.1,0.0
7,0.0,20.19,3.6,-20.19,3.6,0.1,0.0
7,10.0,19.51,4.49,-19.51,4.49,0.11,0.0
7,20.0,18.15,3.85,-18.15,3.85,0.1,0.0
7,30.0,16.23,3.29,-16.23,3.29,0.11,0.0
7,40.0,13.1,2.91,-13.1,2.91,0.1,0.0
7,50.0,12.57,4.13,-12.57,4.13,0.1,0.0
7,60.0,8.85,4.49,-8.76,4.66,0.11,0.0
7,70.0,7.76,3.61,-7.73,3.66,0.11,0.0
7,80.0,5.4,3.09,-4.91,3.81,0.11,0.0
7,90.0,3.8,2.64,-2.97,3.55,0.11,0.0
7,100.0,1.15,2.23,1.15,2.23,0.11,0.0
8,0.0,53.12,4.02,-53.12,4.02,0.1,0.0
