negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
1,0.0,29.17,0.58,-29.17,0.58,103.48,1.41
1,10.0,27.06,0.72,-27.06,0.72,103.79,1.33
1,20.0,25.14,1.14,-25.14,1.14,104.14,1.57
1,30.0,22.56,1.08,-22.56,1.08,104.29,1.17
1,40.0,19.98,1.34,-19.98,1.34,105.86,2.1
1,50.0,16.6,1.2,-16.6,1.2,107.92,1.64
1,60.0,13.61,1.72,-13.61,1.72,106.69,1.43
1,70.0,11.28,1.53,-11.28,1.53,106.38,1.41
1,80.0,6.91,2.2,-6.91,2.2,106.98,1.37
1,90.0,4.4,1.56,-4.4,1.56,107.02,1.42
1,100.0,1.14,1.44,1.14,1.44,106.44,1.52
3,0.0,23.74,0.31,-23.74,0.31,106.42,1.47
3,10.0,21.77,0.42,-21.77,0.42,105.21,1.44
3,20.0,19.8,0.58,-19.8,0.58,107.07,1.48
3,30.0,17.56,0.87,-17.56,0.87,106.81,1.79
3,40.0,15.82,1.4,-15.82,1.4,106.85,1.54
3,50.0,13.24,1.7,-13.24,1.7,107.73,2.26
3,60.0,11.4,2.04,-11.4,2.04,110.51,2.02
3,70.0,8.74,2.06,-8.74,2.06,109.16,1.64
3,80.0,6.04,2.13,-6.0,2.24,108.5,1.37
3,90.0,3.19,1.64,-2.91,2.09,108.38,1.77
3,100.0,0.95,1.87,0.95,1.87,108.63,1.29
6,0.0,23.85,0.32,-23.85,0.32,108.84,1.37
6,10.0,22.11,0.53,-22.11,0.53,108.26,1.54
6,20.0,20.25,1.52,-20.25,1.52,108.11,1.75
6,30.0,18.64,1.56,-18.64,1.56,108.48,1.33
6,40.0,16.25,1.17,-16.25,1.17,108.21,1.66
6,50.0,14.16,2.39,-14.16,2.39,108.1,1.61
6,60.0,12.11,2.88,-12.11,2.88,108.81,1.94
6,70.0,9.96,3.41,-9.96,3.41,108.66,1.7
6,80.0,8.57,3.32,-8.57,3.32,108.37,1.6
6,90.0,6.57,2.68,-6.55,2.72,104.06,2.27
6,100.0,0.49,0.57,0.49,0.57,103.09,1.26
7,0.0,33.52,0.6,-33.52,0.6,103.6,1.74
7,10.0,31.08,0.94,-31.08,0.94,103.84,1.25
7,20.0,28.89,0.95,-28.89,0.95,103.07,1.07
7,30.0,26.65,2.3,-26.65,2.3,103.15,1.41
7,40.0,24.47,2.98,-24.47,2.98,103.49,1.39
7,50.0,22.46,4.01,-22.46,4.01,104.92,1.37
