negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
1,0.0,7.89,1.93,-7.89,1.93,1.37,0.39
1,10.0,7.98,1.7,-7.98,1.7,1.41,0.35
1,20.0,10.68,2.17,-10.68,2.17,1.27,0.34
1,30.0,11.55,3.06,-11.55,3.06,1.4,0.37
1,40.0,14.51,3.04,-14.51,3.04,1.22,0.35
1,50.0,16.54,3.0,-16.54,3.0,1.28,0.34
1,60.0,19.32,4.39,-19.32,4.39,1.07,0.27
1,70.0,19.78,3.61,-19.78,3.61,1.23,0.35
1,80.0,17.4,2.19,-17.4,2.19,1.2,0.32
1,90.0,9.67,0.82,-9.67,0.82,1.37,0.31
1,100.0,0.15,0.51,0.15,0.51,1.45,0.38
3,0.0,6.7,0.55,-6.7,0.55,1.32,0.33
3,10.0,8.82,0.95,-8.82,0.95,1.27,0.29
3,20.0,10.21,1.52,-10.21,1.52,1.28,0.28
3,30.0,11.79,1.24,-11.79,1.24,1.29,0.34
3,40.0,11.65,1.37,-11.65,1.37,1.51,0.37
3,50.0,12.15,2.28,-12.15,2.28,1.23,0.36
3,60.0,14.21,2.48,-14.21,2.48,1.08,0.26
3,70.0,16.92,2.88,-16.92,2.88,1.21,0.28
3,80.0,17.85,1.37,-17.85,1.37,1.44,0.33
3,90.0,9.76,0.72,-9.76,0.72,1.32,0.33
3,100.0,0.05,0.26,0.05,0.26,1.16,0.27
6,0.0,2.77,0.53,-2.77,0.53,1.2,0.19
6,10.0,6.17,1.13,-6.17,1.13,1.24,0.26
6,20.0,8.2,1.34,-8.2,1.34,1.14,0.23
6,30.0,10.84,2.04,-10.84,2.04,1.45,0.36
6,40.0,13.15,2.89,-13.15,2.89,1.44,0.25
6,50.0,13.18,2.78,-13.18,2.78,1.23,0.3
6,60.0,14.56,3.15,-14.56,3.15,1.21,0.36
6,70.0,16.96,3.74,-16.96,3.74,1.12,0.23
6,80.0,17.09,2.04,-17.09,2.04,1.21,0.31
6,90.0,9.82,0.38,-9.82,0.38,1.22,0.32
6,100.0,0.04,0.15,0.04,0.15,1.21,0.29
7,0.0,20.43,1.68,-20.43,1.68,1.22,0.24
7,10.0,21.61,1.9,-21.61,1.9,1.3,0.34
7,20.0,20.67,2.37,-20.67,2.37,1.21,0.27
7,30.0,21.16,3.39,-21.16,3.39,1.05,0.25
7,40.0,24.49,3.73,-24.49,3.73,1.04,0.22
7,50.0,24.92,3.54,-24.92,3.54,1.03,0.24
7,60.0,25.06,2.38,-25.06,2.38,1.08,0.2
7,70.0,23.38,3.51,-23.38,3.51,1.04,0.2
7,80.0,19.22,1.41,-19.22,1.41,1.05,0.19
7,90.0,9.76,0.77,-9.76,0.77,1.15,0.25
7,100.0,0.04,0.18,0.04,0.18,1.03,0.18
8,0.0,24.68,2.32,-24.68,2.32,1.14,0.3
8,10.0,25.44,4.53,-25.44,4.53,1.0,0.18
8,20.0,26.5,4.08,-26.5,4.08,1.17,0.3
8,30.0,28.06,3.49,-28.06,3.49,0.99,0.24
8,40.0,28.25,4.29,-28.25,4.29,1.18,0.25
8,50.0,26.95,5.19,-26.95,5.19,1.05,0.23
8,60.0,28.56,4.17,-28.56,4.17,1.09,0.26
8,70.0,26.29,2.75,-26.29,2.75,1.15,0.24
8,80.0,19.14,1.22,-19.14,1.22,1.11,0.24
8,90.0,9.77,0.69,-9.77,0.69,1.11,0.24
8,100.0,0.1,0.48,0.1,0.48,1.14,0.32
9,0.0,3.26,0.53,-3.26,0.53,1.01,0.16
9,10.0,6.31,1.13,-6.31,1.13,1.14,0.27
9,20.0,7.5,2.02,-7.5,2.02,1.05,0.18
9,30.0,9.41,2.67,-9.41,2.67,1.16,0.32
9,40.0,12.58,2.94,-12.58,2.94,1.16,0.25
9,50.0,12.35,3.16,-12.35,3.16,1.17,0.35
9,60.0,13.86,3.39,-13.86,3.39,1.6,0.37
9,70.0,13.86,2.36,-13.86,2.36,1.15,0.31
9,80.0,13.59,3.57,-13.59,3.57,1.09,0.31
9,90.0,8.25,2.13,-8.25,2.13,1.21,0.39
9,100.0,0.27,0.69,0.27,0.69,1.25,0.35
10,0.0,2.48,0.36,-2.48,0.36,1.26,0.34
10,10.0,5.55,1.12,-5.55,1.12,1.33,0.27
10,20.0,7.85,0.99,-7.85,0.99,1.17,0.33
10,30.0,9.97,1.53,-9.97,1.53,1.33,0.4
10,40.0,11.1,1.59,-11.1,1.59,0.97,0.28
10,50.0,12.02,2.53,-12.02,2.53,1.26,0.32
10,60.0,14.27,2.08,-14.27,2.08,1.22,0.32
10,70.0,16.41,2.13,-16.41,2.13,1.33,0.27
10,80.0,16.14,2.83,-16.14,2.83,1.2,0.33
10,90.0,9.49,1.4,-9.49,1.4,1.06,0.19
10,100.0,0.0,0.0,0.0,0.0,1.09,0.22
11,0.0,18.89,3.13,-18.89,3.13,1.15,0.22
11,10.0,17.43,3.11,-17.43,3.11,1.09,0.24
11,20.0,20.67,4.26,-20.67,4.26,1.17,0.31
