negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
1,0.0,0.72,0.41,-0.72,0.41,14.36,0.39
1,10.0,0.97,0.6,-0.8,0.82,14.44,0.41
1,20.0,1.47,1.05,-1.07,1.45,14.38,0.46
1,30.0,1.74,1.48,-0.99,2.06,14.5,0.59
1,40.0,1.89,1.25,-0.98,2.04,14.6,0.52
1,50.0,2.1,1.39,-0.71,2.42,14.57,0.64
1,60.0,2.97,1.75,-1.86,2.9,14.85,0.56
1,70.0,2.72,2.14,-1.37,3.18,14.88,0.47
1,80.0,2.7,2.02,-1.5,3.02,15.12,0.57
1,90.0,2.66,1.35,0.22,2.97,15.2,0.57
1,100.0,1.51,2.13,1.51,2.13,15.65,0.62
3,0.0,2.98,0.66,-2.98,0.66,14.18,0.48
3,10.0,2.65,0.83,-2.65,0.83,14.43,0.52
3,20.0,3.19,1.49,-3.19,1.49,14.46,0.42
3,30.0,2.8,1.88,-2.65,2.08,14.63,0.52
3,40.0,3.04,1.7,-3.0,1.77,14.73,0.5
3,50.0,2.68,1.99,-2.23,2.48,14.96,0.53
3,60.0,2.91,1.89,-2.13,2.74,15.11,0.61
3,70.0,2.24,1.79,-0.12,2.86,15.16,0.67
3,80.0,3.37,2.34,-1.69,3.74,15.55,0.73
3,90.0,2.71,2.15,-1.47,3.13,15.76,0.64
3,100.0,1.44,1.56,1.44,1.56,15.81,0.63
6,0.0,2.16,0.29,-2.16,0.29,13.6,0.46
6,10.0,3.56,0.95,-3.56,0.95,13.5,0.52
6,20.0,3.67,1.5,-3.67,1.5,13.66,0.49
6,30.0,4.79,1.72,-4.79,1.72,13.97,0.41
6,40.0,5.33,2.37,-5.13,2.77,15.13,0.59
6,50.0,5.8,2.5,-5.8,2.5,15.36,0.63
6,60.0,6.35,3.04,-6.33,3.09,15.65,0.63
6,70.0,7.54,4.03,-7.32,4.41,15.69,0.7
6,80.0,5.64,2.86,-4.77,4.14,16.05,0.72
6,90.0,3.57,2.07,-2.08,3.56,16.66,0.91
6,100.0,2.54,2.79,2.54,2.79,16.4,0.67
7,0.0,16.79,1.02,-16.79,1.02,15.23,0.5
7,10.0,15.2,1.35,-15.2,1.35,15.47,0.54
7,20.0,14.14,2.01,-14.14,2.01,15.69,0.49
7,30.0,13.43,2.36,-13.43,2.36,15.61,0.54
7,40.0,13.56,2.24,-13.56,2.24,15.99,0.66
7,50.0,13.09,3.41,-13.09,3.41,16.11,0.66
7,60.0,12.94,3.98,-12.94,3.98,15.56,0.65
7,70.0,12.64,4.56,-12.59,4.7,15.2,0.48
7,80.0,10.86,4.41,-10.86,4.41,16.23,0.62
7,90.0,5.81,3.24,-5.46,3.79,16.07,0.66
7,100.0,2.38,2.45,2.38,2.45,16.19,0.78
8,0.0,19.77,1.34,-19.77,1.34,14.84,0.5
8,10.0,17.18,1.72,-17.18,1.72,14.96,0.57
8,20.0,15.69,1.63,-15.69,1.63,14.68,0.45
8,30.0,14.94,2.67,-14.94,2.67,14.74,0.54
8,40.0,16.47,3.13,-16.47,3.13,15.11,0.61
8,50.0,14.5,3.35,-14.5,3.35,15.27,0.62
8,60.0,13.35,4.88,-13.35,4.88,16.21,0.83
8,70.0,11.4,4.37,-11.4,4.37,15.95,0.81
8,80.0,9.33,3.88,-9.19,4.2,16.26,0.68
8,90.0,4.12,2.79,-3.7,3.32,16.12,0.78
8,100.0,1.88,2.54,1.88,2.54,16.58,0.91
9,0.0,0.23,0.27,-0.23,0.27,15.72,0.23
9,10.0,0.95,0.6,-0.52,0.99,15.78,0.47
9,20.0,1.23,0.9,-0.37,1.48,16.13,0.59
9,30.0,1.73,1.26,-0.23,2.13,16.13,0.31
9,40.0,1.98,1.7,0.3,2.6,16.53,0.57
9,50.0,2.02,1.92,0.2,2.78,16.75,0.61
9,60.0,2.95,1.98,0.32,3.54,16.8,0.66
9,70.0,3.03,2.37,0.82,3.76,16.74,0.43
9,80.0,2.97,1.86,0.84,3.4,16.91,0.77
9,90.0,3.93,2.56,2.34,4.06,17.02,0.77
9,100.0,4.57,3.44,4.57,3.44,16.96,0.38
10,0.0,0.01,0.04,-0.01,0.04,14.08,0.64
10,10.0,0.57,0.5,-0.3,0.7,14.01,0.56
10,20.0,1.1,0.82,-0.39,1.32,13.99,0.35
10,30.0,1.38,1.12,-0.33,1.74,14.21,0.48
10,40.0,1.41,1.07,-0.46,1.7,14.62,0.69
10,50.0,2.03,1.22,-0.67,2.27,14.9,0.61
10,60.0,2.12,1.57,-0.3,2.62,14.99,0.45
10,70.0,2.32,1.69,-0.69,2.79,15.14,0.7
10,80.0,2.63,1.73,-0.73,3.06,15.17,0.6
10,90.0,2.33,1.69,0.39,2.85,15.44,0.68
10,100.0,2.7,3.09,2.7,3.09,15.65,0.51
11,0.0,13.08,1.32,-13.08,1.32,13.8,0.55
11,10.0,12.03,2.17,-12.03,2.17,13.62,0.52
11,20.0,12.19,2.67,-12.19,2.67,13.62,0.5
11,30.0,11.18,3.11,-11.18,3.11,13.92,0.39
11,40.0,12.49,4.11,-12.49,4.11,14.21,0.61
11,50.0,12.48,5.4,-12.48,5.4,15.17,0.67
11,60.0,11.36,4.19,-11.36,4.19,15.51,0.53
11,70.0,12.14,4.92,-12.07,5.09,15.77,0.66
11,80.0,9.11,4.61,-8.89,5.03,15.78,0.54
11,90.0,5.63,2.63,-5.63,2.63,16.21,0.84
11,100.0,1.96,2.49,1.96,2.49,16.59,0.76
12,0.0,4.7,0.52,-4.7,0.52,15.34,0.58
12,10.0,5.14,0.97,-5.14,0.97,15.23,0.69
12,20.0,5.19,1.46,-5.19,1.46,15.14,0.6
