negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
1,0.0,1.03,0.21,-1.03,0.21,0.09,0.01
1,10.0,1.17,0.64,-1.13,0.7,0.15,0.01
1,20.0,3.15,2.06,-3.15,2.06,0.18,0.01
1,30.0,15.97,10.3,-15.97,10.3,0.19,0.01
1,40.0,12.73,5.68,-12.73,5.68,0.23,0.01
1,50.0,12.4,8.22,-12.4,8.22,0.26,0.01
1,60.0,10.17,7.52,-9.77,8.03,0.29,0.01
1,70.0,8.07,6.0,-5.9,8.14,0.31,0.02
1,80.0,6.58,5.51,-4.32,7.42,0.34,0.02
1,90.0,5.08,3.2,-3.07,5.15,0.36,0.03
1,100.0,2.69,5.05,2.69,5.05,0.36,0.02
2,0.0,0.64,0.12,-0.64,0.12,0.08,0.01
2,10.0,0.87,0.47,-0.83,0.54,0.15,0.01
2,20.0,1.89,1.32,-1.87,1.36,0.17,0.01
2,30.0,16.47,11.02,-16.47,11.02,0.2,0.01
2,40.0,13.09,7.74,-13.01,7.86,0.23,0.01
2,50.0,11.66,6.39,-11.66,6.39,0.26,0.01
2,60.0,9.98,7.47,-8.0,9.56,0.28,0.02
2,70.0,6.11,5.13,-4.01,6.9,0.31,0.02
2,80.0,7.36,3.68,-6.04,5.59,0.36,0.05
2,90.0,5.16,3.84,-2.03,6.1,0.38,0.03
2,100.0,2.32,4.03,2.32,4.03,0.4,0.03
3,0.0,1.77,0.3,-1.77,0.3,0.1,0.01
3,10.0,3.79,0.99,-3.79,0.99,0.15,0.01
3,20.0,5.76,1.64,-5.76,1.64,0.18,0.01
3,30.0,22.3,14.15,-22.3,14.15,0.2,0.01
3,40.0,19.32,9.33,-19.32,9.33,0.23,0.01
3,50.0,15.76,9.14,-15.51,9.57,0.27,0.01
3,60.0,11.86,7.66,-11.62,8.02,0.3,0.02
3,70.0,11.67,8.97,-11.5,9.19,0.32,0.02
3,80.0,11.59,6.08,-11.25,6.69,0.35,0.02
3,90.0,6.6,2.94,-1.83,6.99,0.37,0.02
3,100.0,0.43,1.28,0.43,1.28,0.39,0.02
4,0.0,0.33,0.07,-0.33,0.07,0.06,0.0
4,10.0,0.47,0.37,-0.35,0.48,0.14,0.01
4,20.0,0.97,0.76,-0.48,1.13,0.17,0.01
4,30.0,20.72,13.14,-20.72,13.14,0.2,0.01
4,40.0,17.21,6.92,-17.21,6.92,0.23,0.01
4,50.0,14.37,10.39,-13.77,11.17,0.25,0.01
4,60.0,10.91,9.2,-10.62,9.54,0.28,0.01
4,70.0,8.4,8.53,-6.26,10.2,0.33,0.03
4,80.0,8.83,6.18,-4.85,9.63,0.34,0.01
4,90.0,5.42,3.79,1.21,6.5,0.37,0.02
4,100.0,1.94,3.19,1.94,3.19,0.39,0.02
5,0.0,2.21,0.36,-2.21,0.36,0.15,0.01
5,10.0,2.74,1.2,-2.74,1.2,0.17,0.01
5,20.0,3.83,3.39,-3.45,3.78,0.2,0.01
5,30.0,14.18,6.84,-14.18,6.84,0.21,0.01
5,40.0,15.29,8.55,-15.29,8.55,0.24,0.01
5,50.0,12.99,8.54,-12.7,8.97,0.27,0.02
5,60.0,13.11,9.71,-13.11,9.71,0.3,0.02
5,70.0,12.69,8.16,-11.82,9.38,0.34,0.02
5,80.0,9.65,5.4,-8.78,6.72,0.37,0.02
5,90.0,7.96,3.07,-4.36,7.33,0.38,0.02
5,100.0,2.34,3.58,2.34,3.58,0.39,0.03
6,0.0,3.18,0.39,-3.18,0.39,0.12,0.0
6,10.0,4.52,1.19,-4.52,1.19,0.16,0.01
6,20.0,5.95,2.98,-5.95,2.98,0.19,0.01
6,30.0,14.12,6.67,-14.12,6.67,0.21,0.01
6,40.0,18.59,6.8,-18.52,7.0,0.24,0.01
6,50.0,16.56,9.98,-16.56,9.98,0.27,0.02
6,60.0,15.93,8.65,-15.42,9.53,0.3,0.02
6,70.0,11.66,7.27,-11.43,7.62,0.34,0.03
6,80.0,9.2,5.69,-8.03,7.25,0.35,0.03
6,90.0,6.48,4.05,-2.98,7.04,0.38,0.02
6,100.0,3.99,5.02,3.99,5.02,0.39,0.02
7,0.0,2.56,0.45,-2.56,0.45,0.12,0.0
7,10.0,3.54,0.7,-3.54,0.7,0.16,0.01
7,20.0,3.36,2.29,-3.3,2.39,0.19,0.01
7,30.0,15.94,8.92,-15.94,8.92,0.21,0.01
7,40.0,15.7,7.8,-15.67,7.86,0.24,0.01
7,50.0,13.41,8.63,-13.11,9.07,0.26,0.01
7,60.0,12.63,11.29,-12.38,11.56,0.29,0.02
7,70.0,12.17,8.79,-11.77,9.3,0.32,0.02
7,80.0,7.22,5.07,-4.69,7.47,0.35,0.02
7,90.0,5.5,3.71,-3.28,5.76,0.37,0.02
7,100.0,1.87,6.1,1.87,6.1,0.38,0.02
8,0.0,0.2,0.05,-0.2,0.05,0.05,0.0
8,10.0,0.44,0.31,-0.23,0.49,0.13,0.01
8,20.0,1.06,0.83,-0.43,1.27,0.17,0.01
8,30.0,16.73,8.81,-16.73,8.81,0.2,0.01
8,40.0,12.11,6.32,-11.86,6.77,0.22,0.01
8,50.0,12.43,9.16,-12.37,9.23,0.25,0.01
8,60.0,11.78,10.22,-11.03,11.02,0.28,0.02
8,70.0,8.0,8.26,-6.66,9.38,0.31,0.02
8,80.0,7.01,4.27,-3.22,7.55,0.35,0.02
8,90.0,5.71,3.7,-2.65,6.27,0.38,0.02
8,100.0,1.98,3.01,1.98,3.01,0.38,0.02
9,0.0,2.97,0.44,-2.97,0.44,0.14,0.0
9,10.0,3.61,0.86,-3.61,0.86,0.17,0.01
9,20.0,6.46,4.13,-6.45,4.15,0.19,0.01
9,30.0,14.64,7.65,-14.64,7.65,0.21,0.01
9,40.0,17.46,6.93,-17.46,6.93,0.24,0.01
9,50.0,22.37,11.1,-22.37,11.1,0.27,0.01
9,60.0,19.84,9.77,-19.84,9.77,0.3,0.02
9,70.0,11.68,9.08,-10.62,10.31,0.33,0.02
9,80.0,12.17,5.89,-11.47,7.16,0.36,0.02
9,90.0,6.41,3.63,-4.39,5.91,0.37,0.03
9,100.0,1.47,2.62,1.47,2.62,0.39,0.02
