negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
1,0.0,1.14,0.14,-1.14,0.14,0.12,0.01
1,10.0,1.4,0.5,-1.4,0.5,0.18,0.01
1,20.0,3.31,1.7,-3.31,1.7,0.22,0.02
1,30.0,15.33,8.5,-15.33,8.5,0.25,0.02
1,40.0,14.68,5.95,-14.68,5.95,0.28,0.03
1,50.0,10.98,5.91,-10.98,5.91,0.33,0.01
1,60.0,13.57,9.5,-13.5,9.6,0.36,0.03
1,70.0,8.99,8.05,-6.45,10.2,0.38,0.02
1,80.0,5.47,4.02,-2.83,6.17,0.44,0.03
1,90.0,4.79,3.71,-0.86,5.99,0.48,0.04
1,100.0,1.74,3.72,1.74,3.72,0.47,0.04
2,0.0,0.66,0.11,-0.66,0.11,0.1,0.01
2,10.0,0.92,0.54,-0.85,0.65,0.18,0.01
2,20.0,2.17,2.11,-2.06,2.21,0.23,0.02
2,30.0,15.81,7.74,-15.81,7.74,0.24,0.02
2,40.0,13.79,5.66,-13.79,5.66,0.29,0.03
2,50.0,11.3,6.34,-11.3,6.34,0.33,0.02
2,60.0,10.87,8.7,-9.75,9.94,0.34,0.03
2,70.0,8.09,7.49,-5.94,9.29,0.32,0.02
2,80.0,7.55,5.19,-4.78,7.81,0.35,0.02
2,90.0,6.19,3.41,-2.22,6.71,0.37,0.02
2,100.0,3.79,4.97,3.79,4.97,0.38,0.03
3,0.0,1.85,0.36,-1.85,0.36,0.09,0.0
3,10.0,3.95,1.22,-3.95,1.22,0.14,0.01
3,20.0,7.48,7.46,-7.48,7.46,0.18,0.01
3,30.0,24.09,14.44,-24.09,14.44,0.21,0.01
3,40.0,20.36,6.78,-20.36,6.78,0.24,0.02
3,50.0,18.15,10.52,-17.92,10.89,0.27,0.02
3,60.0,15.29,10.46,-15.29,10.46,0.31,0.03
3,70.0,12.29,7.42,-11.78,8.22,0.33,0.02
3,80.0,9.32,5.64,-8.51,6.81,0.36,0.03
3,90.0,7.05,3.11,-3.72,6.75,0.38,0.03
3,100.0,3.07,4.4,3.07,4.4,0.38,0.02
4,0.0,0.34,0.08,-0.34,0.08,0.06,0.0
4,10.0,0.5,0.33,-0.4,0.44,0.12,0.0
4,20.0,1.41,1.57,-1.1,1.8,0.17,0.01
4,30.0,17.66,11.49,-17.66,11.49,0.19,0.01
4,40.0,15.07,6.11,-15.07,6.11,0.22,0.01
4,50.0,15.48,13.58,-14.85,14.27,0.26,0.02
4,60.0,10.3,10.17,-9.66,10.78,0.29,0.02
4,70.0,8.75,6.91,-5.13,9.9,0.32,0.02
4,80.0,6.32,5.72,-2.7,8.08,0.35,0.03
4,90.0,5.23,3.25,-2.22,5.74,0.37,0.03
4,100.0,0.95,1.78,0.95,1.78,0.39,0.03
5,0.0,2.36,0.42,-2.36,0.42,0.15,0.01
5,10.0,2.94,1.0,-2.9,1.11,0.18,0.01
5,20.0,3.53,2.87,-3.23,3.2,0.19,0.02
5,30.0,14.74,6.94,-14.74,6.94,0.21,0.02
5,40.0,17.93,6.46,-17.93,6.46,0.24,0.01
5,50.0,16.64,9.92,-16.64,9.92,0.27,0.02
5,60.0,14.42,7.33,-14.42,7.33,0.31,0.02
5,70.0,14.0,7.75,-12.86,9.52,0.34,0.03
5,80.0,10.55,5.92,-10.55,5.92,0.36,0.03
5,90.0,7.32,3.53,-6.13,5.34,0.39,0.02
5,100.0,2.81,4.4,2.81,4.4,0.39,0.02
6,0.0,3.31,0.47,-3.31,0.47,0.12,0.01
6,10.0,4.49,1.2,-4.49,1.2,0.17,0.01
6,20.0,6.8,4.03,-6.8,4.03,0.18,0.01
6,30.0,18.63,10.29,-18.63,10.29,0.2,0.01
6,40.0,19.73,10.0,-19.73,10.0,0.25,0.02
6,50.0,17.57,7.96,-17.57,7.96,0.28,0.02
6,60.0,16.8,8.28,-16.8,8.28,0.31,0.03
6,70.0,12.51,7.38,-12.41,7.54,0.33,0.02
6,80.0,8.3,6.29,-7.43,7.29,0.36,0.03
6,90.0,6.63,3.52,-5.21,5.4,0.38,0.05
6,100.0,1.87,2.81,1.87,2.81,0.39,0.03
7,0.0,2.95,0.38,-2.95,0.38,0.12,0.01
7,10.0,3.69,0.93,-3.69,0.93,0.17,0.02
7,20.0,6.23,4.78,-6.13,4.91,0.18,0.01
7,30.0,18.4,10.17,-18.4,10.17,0.21,0.02
7,40.0,18.72,10.77,-18.72,10.77,0.24,0.01
7,50.0,18.51,11.12,-17.81,12.2,0.28,0.02
7,60.0,14.65,10.46,-14.12,11.16,0.3,0.02
7,70.0,6.51,5.74,-5.92,6.35,0.34,0.03
7,80.0,8.78,6.05,-7.79,7.28,0.36,0.02
7,90.0,6.13,3.85,-3.29,6.45,0.38,0.02
7,100.0,1.53,3.03,1.53,3.03,0.4,0.03
8,0.0,0.24,0.06,-0.24,0.06,0.06,0.0
8,10.0,0.53,0.31,-0.32,0.53,0.12,0.0
8,20.0,0.9,0.84,-0.13,1.22,0.17,0.01
8,30.0,14.51,8.3,-14.33,8.6,0.19,0.01
8,40.0,11.41,6.13,-11.39,6.16,0.23,0.02
8,50.0,9.71,7.58,-9.69,7.61,0.26,0.01
8,60.0,13.64,10.45,-11.78,12.51,0.28,0.02
8,70.0,10.71,8.91,-9.76,9.94,0.32,0.03
8,80.0,7.08,6.37,-4.38,8.46,0.34,0.02
8,90.0,5.42,3.26,-1.93,6.03,0.37,0.02
8,100.0,1.11,2.68,1.11,2.68,0.4,0.03
9,0.0,3.42,0.36,-3.42,0.36,0.15,0.01
9,10.0,4.2,1.12,-4.2,1.12,0.18,0.01
9,20.0,6.27,3.7,-6.03,4.07,0.19,0.01
9,30.0,19.17,7.33,-19.17,7.33,0.21,0.02
9,40.0,21.93,12.54,-21.93,12.54,0.23,0.01
9,50.0,18.63,11.23,-18.63,11.23,0.27,0.02
9,60.0,15.79,11.33,-15.79,11.33,0.3,0.02
9,70.0,12.83,9.93,-12.7,10.1,0.33,0.02
9,80.0,11.64,7.19,-9.91,9.44,0.34,0.02
9,90.0,7.13,3.61,-5.66,5.63,0.37,0.03
9,100.0,2.5,3.92,2.5,3.92,0.38,0.02
