negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
1,0.0,11.77,1.1,-11.77,1.1,30.51,0.44
1,10.0,7.91,1.23,-7.91,1.23,30.45,0.53
1,20.0,7.3,0.99,-7.3,0.99,30.59,0.42
1,30.0,5.22,1.8,-5.22,1.8,30.46,0.52
1,40.0,3.91,2.03,-3.86,2.12,30.56,0.45
1,50.0,3.13,2.11,-1.88,3.27,30.68,0.6
1,60.0,2.81,1.79,-0.63,3.27,30.7,0.42
1,70.0,3.88,2.95,3.01,3.83,31.02,0.66
1,80.0,4.87,2.95,4.16,3.89,31.66,0.68
1,90.0,7.65,3.82,7.65,3.82,31.58,0.54
1,100.0,12.37,4.36,12.37,4.36,31.72,0.7
2,0.0,9.91,1.02,-9.91,1.02,31.27,0.66
2,10.0,5.88,0.92,-5.88,0.92,30.88,0.44
2,20.0,4.84,1.3,-4.84,1.3,31.0,0.48
2,30.0,4.51,2.1,-4.51,2.11,31.02,0.63
2,40.0,3.26,1.88,-3.11,2.12,31.16,0.57
2,50.0,3.38,1.99,-2.43,3.08,31.36,0.66
2,60.0,2.62,1.77,-0.38,3.14,31.5,0.65
2,70.0,3.68,2.63,1.87,4.12,31.1,0.42
2,80.0,3.79,2.36,3.05,3.25,31.06,0.67
2,90.0,7.76,4.24,7.59,4.54,30.94,0.56
2,100.0,14.44,3.76,14.44,3.76,30.86,0.66
3,0.0,11.15,0.81,-11.15,0.81,30.35,0.54
3,10.0,6.81,1.09,-6.81,1.09,30.37,0.57
3,20.0,5.18,1.72,-5.18,1.72,30.44,0.56
3,30.0,4.66,2.07,-4.66,2.07,30.48,0.78
3,40.0,3.49,2.06,-3.34,2.29,30.77,0.64
3,50.0,3.41,2.14,-2.61,3.07,30.98,0.64
3,60.0,3.41,2.92,-0.9,4.39,30.84,0.53
3,70.0,3.65,1.98,1.36,3.92,30.98,0.63
3,80.0,4.66,3.25,2.98,4.84,31.33,0.66
3,90.0,6.23,3.69,6.2,3.73,31.82,0.56
3,100.0,12.62,5.12,12.62,5.12,32.39,0.82
4,0.0,7.69,0.77,-7.69,0.77,31.86,0.69
4,10.0,4.5,0.76,-4.5,0.76,31.82,0.6
4,20.0,3.12,1.13,-3.12,1.13,32.04,0.58
4,30.0,2.16,1.32,-2.07,1.45,31.66,0.65
4,40.0,1.84,1.28,-0.39,2.21,31.85,0.51
4,50.0,1.6,1.79,0.62,2.32,31.74,0.54
4,60.0,2.99,1.8,2.08,2.8,31.56,0.57
4,70.0,4.61,2.91,4.07,3.63,31.68,0.56
4,80.0,7.24,3.8,7.12,4.02,31.67,0.54
4,90.0,9.96,5.04,9.91,5.15,31.78,0.8
4,100.0,11.19,3.97,11.19,3.97,31.87,0.77
5,0.0,15.93,1.03,-15.93,1.03,31.08,0.63
5,10.0,12.29,1.63,-12.29,1.63,31.45,0.6
5,20.0,9.77,1.55,-9.77,1.55,31.69,0.49
5,30.0,8.77,2.08,-8.77,2.08,31.83,0.88
5,40.0,6.43,1.97,-6.43,1.97,31.88,0.76
5,50.0,5.0,2.37,-4.68,2.95,32.27,0.93
5,60.0,3.85,2.37,-2.44,3.81,32.14,0.8
5,70.0,2.73,2.31,0.98,3.44,32.17,0.88
5,80.0,3.35,2.93,1.84,4.05,32.46,0.9
5,90.0,6.04,3.09,5.22,4.34,32.43,0.93
5,100.0,12.82,4.94,12.82,4.94,32.44,0.83
6,0.0,14.71,1.56,-14.71,1.56,31.58,0.71
6,10.0,10.2,1.35,-10.2,1.35,31.74,0.75
6,20.0,7.73,2.0,-7.73,2.0,31.56,0.93
6,30.0,6.29,2.68,-6.29,2.68,31.47,1.04
6,40.0,5.66,2.82,-5.66,2.82,31.7,0.72
6,50.0,4.46,2.16,-4.13,2.74,31.8,0.97
6,60.0,3.33,2.85,-1.55,4.1,32.36,0.86
6,70.0,4.03,2.93,0.77,4.92,32.64,1.05
6,80.0,2.86,2.72,1.95,3.43,32.51,0.77
6,90.0,6.68,3.7,6.61,3.82,32.28,0.69
6,100.0,11.6,4.66,11.6,4.66,32.2,1.11
7,0.0,14.46,1.05,-14.46,1.05,31.89,0.88
7,10.0,10.81,1.33,-10.81,1.33,31.64,0.83
7,20.0,8.83,1.28,-8.83,1.28,31.97,0.81
7,30.0,7.24,1.61,-7.24,1.61,31.75,0.82
7,40.0,5.75,1.94,-5.75,1.94,32.23,0.88
7,50.0,4.25,2.51,-3.85,3.09,32.09,0.81
7,60.0,2.99,2.63,-0.67,3.93,32.11,0.66
7,70.0,3.35,1.96,0.15,3.88,32.33,0.92
7,80.0,5.14,3.71,3.29,5.42,32.93,1.04
7,90.0,6.54,5.24,6.49,5.31,33.2,0.92
7,100.0,11.17,4.27,11.17,4.27,33.35,0.92
8,0.0,7.71,1.09,-7.71,1.09,32.57,0.93
8,10.0,4.24,0.73,-4.24,0.73,32.38,0.86
8,20.0,3.26,1.1,-3.26,1.1,32.5,0.96
8,30.0,2.4,0.96,-2.4,0.96,32.59,0.87
8,40.0,1.53,1.1,-0.92,1.64,31.83,0.85
8,50.0,1.93,1.78,1.1,2.39,31.85,0.86
8,60.0,2.87,2.1,1.8,3.07,31.87,1.07
8,70.0,5.38,3.43,5.17,3.75,32.27,0.82
8,80.0,7.01,4.3,6.85,4.56,32.62,0.8
8,90.0,7.69,4.45,7.69,4.45,32.58,0.73
8,100.0,14.32,4.65,14.32,4.65,31.84,0.54
9,0.0,19.83,1.41,-19.83,1.41,31.59,0.54
9,10.0,16.33,1.84,-16.33,1.84,31.08,0.5
9,20.0,13.19,1.89,-13.19,1.89,31.34,0.69
9,30.0,10.84,2.46,-10.84,2.46,31.43,0.74
9,40.0,8.24,2.83,-8.24,2.83,31.43,0.67
9,50.0,5.84,3.44,-5.84,3.44,31.51,0.65
9,60.0,5.47,3.33,-5.05,3.94,31.5,0.65
9,70.0,3.87,2.67,-2.01,4.25,32.28,0.68
9,80.0,3.24,2.13,0.9,3.77,32.32,1.09
9,90.0,6.53,3.84,5.95,4.68,32.51,0.75
9,100.0,14.31,6.57,14.31,6.57,32.37,0.71
