negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
1,0.0,1.35,0.0,-1.35,0.0,3.66,0.23
1,10.0,1.33,0.66,-0.46,1.41,3.53,0.21
1,20.0,1.53,0.93,-1.27,1.25,3.47,0.13
1,30.0,1.89,0.88,-1.12,1.76,3.65,0.15
1,40.0,2.38,1.73,-1.81,2.31,3.68,0.21
1,50.0,2.48,1.72,-1.55,2.59,3.48,0.39
1,60.0,3.6,2.22,-2.41,3.47,3.86,0.24
1,70.0,4.12,3.26,-1.87,4.91,4.03,0.22
1,80.0,5.33,3.88,-2.33,6.17,3.9,0.33
1,90.0,47.42,36.96,47.42,36.96,3.15,0.52
1,100.0,80.78,32.19,80.78,32.19,2.49,0.34
2,0.0,1.35,0.0,-1.35,0.0,3.41,0.21
2,10.0,1.23,0.5,0.6,1.18,3.38,0.17
2,20.0,1.64,1.1,-0.42,1.93,3.51,0.18
2,30.0,2.01,1.02,-0.66,2.16,3.62,0.17
2,40.0,2.02,1.77,-0.2,2.68,3.78,0.15
2,50.0,1.8,1.68,-0.55,2.4,3.79,0.22
2,60.0,2.95,2.09,-1.07,3.46,3.74,0.31
2,70.0,4.07,2.74,-2.27,4.35,3.55,0.41
2,80.0,4.35,4.2,-2.06,5.69,3.84,0.24
2,90.0,46.89,35.5,46.89,35.5,2.95,0.42
2,100.0,73.06,34.3,73.06,34.3,2.7,0.39
3,0.0,1.35,0.0,-1.35,0.0,3.58,0.23
3,10.0,1.3,0.68,0.34,1.43,3.68,0.15
3,20.0,1.59,1.21,0.12,2.0,3.54,0.25
3,30.0,1.78,1.57,-0.35,2.34,3.43,0.29
3,40.0,2.62,2.08,-0.42,3.32,3.46,0.36
3,50.0,2.62,1.59,-0.87,2.94,3.74,0.21
3,60.0,2.78,2.04,-1.27,3.21,3.78,0.25
3,70.0,4.42,2.94,-1.93,4.94,3.83,0.16
3,80.0,6.41,5.66,1.93,8.33,3.58,0.31
3,90.0,50.92,36.66,50.92,36.66,3.02,0.55
3,100.0,81.54,30.5,81.54,30.5,2.77,0.38
4,0.0,1.35,0.0,-1.35,0.0,3.78,0.3
4,10.0,1.48,0.77,1.48,0.77,3.42,0.27
4,20.0,1.69,1.07,1.52,1.3,3.64,0.14
4,30.0,1.77,1.67,1.32,2.05,3.49,0.26
4,40.0,1.47,1.27,1.04,1.64,3.74,0.18
4,50.0,2.15,1.55,1.47,2.2,3.76,0.18
