negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
1,0.0,0.0,0.0,0.0,0.0,0.17,0.01
1,10.0,1.03,0.7,-0.08,1.25,0.17,0.01
1,20.0,1.83,1.33,-0.97,2.05,0.17,0.02
1,30.0,2.07,2.19,-1.2,2.76,0.12,0.01
1,40.0,2.67,1.79,-1.7,2.72,0.16,0.03
1,50.0,4.01,3.59,-3.2,4.33,0.13,0.01
1,60.0,4.62,3.37,-2.61,5.09,0.18,0.01
1,70.0,6.31,3.57,-4.15,5.94,0.18,0.01
1,80.0,5.31,4.63,-3.34,6.2,0.18,0.01
1,90.0,5.54,3.95,-4.3,5.27,0.18,0.01
1,100.0,0.95,2.3,0.95,2.3,0.19,0.02
2,0.0,0.05,0.11,-0.05,0.11,0.17,0.0
2,10.0,1.25,1.07,-0.8,1.44,0.17,0.01
2,20.0,1.91,1.15,-1.05,1.97,0.18,0.03
2,30.0,2.72,1.82,-1.44,2.94,0.16,0.01
2,40.0,3.28,2.69,-1.57,3.94,0.15,0.02
2,50.0,3.59,2.6,-2.84,3.4,0.15,0.02
2,60.0,4.31,3.98,-3.01,5.03,0.12,0.01
2,70.0,4.14,3.18,-3.32,4.03,0.14,0.02
2,80.0,6.95,4.03,-5.23,6.09,0.17,0.01
2,90.0,5.07,3.44,-4.02,4.62,0.18,0.01
2,100.0,1.88,3.39,1.88,3.39,0.17,0.01
3,0.0,2.26,1.07,-2.26,1.07,0.16,0.02
3,10.0,3.24,2.03,-3.02,2.34,0.17,0.02
3,20.0,3.59,2.67,-3.41,2.89,0.19,0.01
3,30.0,4.03,2.73,-3.56,3.32,0.16,0.03
3,40.0,4.22,3.16,-2.99,4.35,0.16,0.02
3,50.0,4.75,4.02,-4.07,4.71,0.14,0.02
3,60.0,6.02,3.58,-5.17,4.72,0.13,0.01
3,70.0,6.43,4.49,-4.76,6.23,0.16,0.03
3,80.0,6.26,3.8,-3.22,6.57,0.13,0.02
3,90.0,6.04,2.89,-3.49,5.71,0.14,0.03
3,100.0,1.19,2.54,1.19,2.54,0.12,0.01
4,0.0,0.0,0.0,0.0,0.0,0.15,0.03
4,10.0,1.09,0.72,-0.75,1.07,0.17,0.01
4,20.0,1.53,1.54,-0.68,2.06,0.14,0.02
4,30.0,2.64,1.44,-1.74,2.45,0.12,0.01
4,40.0,2.57,2.21,-1.44,3.07,0.12,0.01
4,50.0,3.73,2.65,-1.17,4.43,0.12,0.01
4,60.0,4.75,3.71,-3.11,5.16,0.12,0.01
4,70.0,4.97,3.1,-2.4,5.34,0.12,0.01
4,80.0,5.35,4.02,-2.3,6.29,0.13,0.01
4,90.0,4.44,3.2,-1.97,5.11,0.17,0.03
4,100.0,1.51,3.63,1.51,3.63,0.15,0.02
5,0.0,2.23,0.95,-2.23,0.95,0.18,0.01
5,10.0,2.95,1.83,-2.71,2.17,0.19,0.01
5,20.0,3.39,2.76,-2.82,3.34,0.18,0.01
5,30.0,3.63,2.62,-3.4,2.92,0.19,0.01
5,40.0,4.45,3.71,-3.37,4.72,0.18,0.03
5,50.0,4.66,2.93,-4.05,3.73,0.18,0.01
5,60.0,5.31,3.94,-3.32,5.72,0.18,0.01
5,70.0,6.32,4.24,-4.64,6.03,0.17,0.01
5,80.0,7.62,5.45,-5.21,7.79,0.16,0.02
5,90.0,5.28,3.62,-2.85,5.73,0.17,0.0
5,100.0,0.91,2.38,0.91,2.38,0.13,0.02
6,0.0,5.84,2.08,-5.84,2.08,0.17,0.02
6,10.0,5.23,1.99,-5.23,1.99,0.13,0.02
6,20.0,5.92,3.17,-5.92,3.17,0.16,0.01
6,30.0,6.36,3.09,-6.36,3.09,0.13,0.01
6,40.0,7.08,4.27,-7.08,4.27,0.12,0.01
6,50.0,5.9,3.69,-5.79,3.86,0.13,0.01
6,60.0,6.4,5.08,-4.7,6.68,0.16,0.0
6,70.0,5.78,5.06,-5.2,5.66,0.16,0.01
6,80.0,7.13,5.68,-3.76,8.31,0.16,0.02
6,90.0,5.48,3.65,-3.5,5.58,0.14,0.02
6,100.0,1.36,2.59,1.36,2.59,0.12,0.01
7,0.0,1.95,1.15,-1.95,1.15,0.16,0.02
7,10.0,2.53,1.84,-2.32,2.09,0.17,0.01
7,20.0,3.1,2.13,-2.72,2.6,0.17,0.01
7,30.0,2.86,2.38,-2.36,2.87,0.18,0.01
7,40.0,3.33,2.49,-2.58,3.25,0.12,0.0
7,50.0,5.2,3.81,-3.91,5.12,0.12,0.0
7,60.0,4.54,3.36,-2.53,5.05,0.15,0.03
7,70.0,3.65,3.04,-1.04,4.64,0.18,0.01
7,80.0,6.86,4.09,-2.72,7.51,0.16,0.01
7,90.0,6.36,3.67,-2.08,7.04,0.17,0.01
7,100.0,0.64,1.63,0.64,1.63,0.17,0.02
8,0.0,0.0,0.0,0.0,0.0,0.13,0.01
8,10.0,1.34,1.11,-0.48,1.67,0.13,0.01
8,20.0,1.71,1.04,-1.06,1.7,0.13,0.01
8,30.0,2.39,2.06,-1.46,2.8,0.19,0.01
8,40.0,2.63,1.7,-1.34,2.83,0.14,0.02
8,50.0,3.21,2.13,-1.65,3.48,0.16,0.0
8,60.0,3.26,2.64,-1.59,3.88,0.15,0.02
8,70.0,6.14,3.71,-1.42,7.04,0.12,0.01
8,80.0,6.22,5.38,-3.92,7.23,0.14,0.02
8,90.0,5.85,3.52,-3.12,6.07,0.16,0.0
8,100.0,0.97,2.32,0.97,2.32,0.16,0.0
9,0.0,2.24,0.83,-2.24,0.83,0.15,0.02
9,10.0,2.83,1.69,-2.79,1.76,0.13,0.01
9,20.0,3.54,1.98,-3.52,2.02,0.15,0.02
9,30.0,3.26,2.16,-3.18,2.27,0.16,0.02
9,40.0,3.52,2.78,-2.87,3.45,0.15,0.02
9,50.0,5.24,3.97,-3.9,5.3,0.13,0.01
9,60.0,4.81,3.91,-3.55,5.08,0.14,0.03
9,70.0,4.76,3.13,-3.72,4.32,0.18,0.01
9,80.0,6.52,3.32,-4.17,6.01,0.17,0.01
9,90.0,5.16,3.58,-3.1,5.46,0.2,0.01
9,100.0,0.73,1.99,0.73,1.99,0.21,0.01
