negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
1,0.0,3.71,1.74,-3.71,1.74,0.07,0.0
1,10.0,3.57,2.13,-3.57,2.13,0.07,0.0
1,20.0,3.77,2.82,-3.51,3.13,0.07,0.0
1,30.0,4.4,3.29,-3.44,4.28,0.07,0.0
1,40.0,4.56,3.68,-2.37,5.36,0.08,0.0
1,50.0,3.87,2.9,-2.35,4.23,0.07,0.0
1,60.0,4.37,3.6,-1.92,5.32,0.08,0.0
1,70.0,5.42,3.9,-1.99,6.37,0.07,0.0
1,80.0,4.75,3.34,-1.39,5.64,0.08,0.0
1,90.0,4.87,3.84,0.63,6.17,0.07,0.0
1,100.0,2.62,3.5,2.62,3.5,0.08,0.0
2,0.0,0.53,0.32,-0.53,0.32,0.08,0.0
2,10.0,1.52,1.56,-0.88,1.99,0.08,0.0
2,20.0,1.69,1.35,-1.38,1.67,0.08,0.01
2,30.0,2.69,1.62,-1.05,2.95,0.08,0.0
2,40.0,3.17,2.19,-1.17,3.67,0.07,0.0
2,50.0,3.2,2.41,-1.56,3.69,0.08,0.0
2,60.0,2.82,2.05,-0.31,3.47,0.08,0.01
2,70.0,3.72,3.03,-0.53,4.77,0.07,0.0
2,80.0,4.49,2.4,-0.56,5.06,0.07,0.0
2,90.0,5.26,3.25,-0.83,6.12,0.08,0.0
2,100.0,2.74,4.24,2.74,4.24,0.07,0.01
3,0.0,2.73,1.73,-2.73,1.73,0.07,0.0
3,10.0,3.37,1.99,-3.13,2.35,0.07,0.0
3,20.0,2.97,2.29,-2.86,2.42,0.07,0.0
3,30.0,3.98,2.66,-2.54,4.06,0.07,0.01
3,40.0,3.87,3.38,-2.5,4.49,0.08,0.0
3,50.0,4.67,3.12,-1.76,5.33,0.07,0.0
3,60.0,4.79,3.41,-1.12,5.77,0.07,0.0
3,70.0,3.84,3.66,-1.1,5.19,0.08,0.01
3,80.0,4.8,2.91,0.08,5.61,0.07,0.0
3,90.0,4.8,3.24,-1.15,5.68,0.07,0.0
3,100.0,2.85,4.53,2.85,4.53,0.07,0.0
4,0.0,0.0,0.0,0.0,0.0,0.07,0.01
4,10.0,0.76,0.67,-0.01,1.02,0.07,0.0
4,20.0,1.58,1.4,0.2,2.1,0.07,0.0
4,30.0,2.46,1.57,-0.26,2.9,0.07,0.0
4,40.0,2.42,1.8,-1.06,2.82,0.08,0.01
4,50.0,2.75,2.27,-0.27,3.56,0.08,0.0
4,60.0,4.28,3.42,-0.7,5.44,0.08,0.0
4,70.0,4.75,4.02,-0.54,6.2,0.08,0.0
4,80.0,5.19,4.08,0.08,6.6,0.08,0.0
4,90.0,4.32,3.17,-0.04,5.36,0.08,0.0
4,100.0,3.07,4.04,3.07,4.04,0.08,0.0
5,0.0,37.44,4.16,-37.44,4.16,0.08,0.01
5,10.0,33.27,5.17,-33.27,5.17,0.08,0.0
5,20.0,30.26,5.34,-30.26,5.34,0.08,0.0
5,30.0,26.85,7.12,-26.85,7.12,0.08,0.0
5,40.0,22.73,6.39,-22.73,6.39,0.08,0.01
5,50.0,19.02,7.41,-19.02,7.41,0.08,0.0
5,60.0,15.81,6.73,-15.81,6.73,0.07,0.0
5,70.0,12.53,7.13,-12.08,7.86,0.07,0.0
5,80.0,10.35,6.52,-8.28,9.02,0.07,0.0
5,90.0,5.16,3.75,-2.18,6.0,0.07,0.0
5,100.0,2.34,3.71,2.34,3.71,0.07,0.0
6,0.0,44.69,6.64,-44.69,6.64,0.07,0.0
6,10.0,40.04,6.82,-40.04,6.82,0.08,0.0
6,20.0,34.82,5.6,-34.82,5.6,0.07,0.0
6,30.0,31.27,5.53,-31.27,5.53,0.07,0.0
6,40.0,26.45,5.68,-26.45,5.68,0.08,0.0
6,50.0,22.37,8.09,-22.37,8.09,0.08,0.0
6,60.0,17.48,8.82,-17.48,8.82,0.08,0.0
6,70.0,13.73,8.49,-13.73,8.49,0.08,0.0
6,80.0,9.8,5.6,-9.52,6.06,0.08,0.0
6,90.0,6.1,3.27,-3.72,5.85,0.08,0.0
6,100.0,2.96,4.7,2.96,4.7,0.08,0.0
7,0.0,13.5,2.37,-13.5,2.37,0.08,0.0
7,10.0,12.18,3.9,-12.18,3.9,0.08,0.0
7,20.0,10.68,3.9,-10.68,3.9,0.08,0.0
