negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
1,0.0,3.86,2.05,-3.86,2.05,0.08,0.0
1,10.0,4.32,2.19,-3.9,2.87,0.08,0.01
1,20.0,4.1,2.7,-3.7,3.23,0.08,0.0
1,30.0,3.72,2.15,-3.43,2.59,0.08,0.0
1,40.0,3.46,2.32,-2.87,3.01,0.08,0.0
1,50.0,4.49,3.9,-2.56,5.37,0.08,0.01
1,60.0,4.09,2.76,-2.21,4.41,0.08,0.0
1,70.0,5.39,4.44,-1.71,6.77,0.07,0.0
1,80.0,5.12,3.09,-2.0,5.63,0.07,0.0
1,90.0,4.77,3.2,0.14,5.74,0.07,0.0
1,100.0,2.53,3.28,2.53,3.28,0.08,0.01
2,0.0,0.6,0.42,-0.6,0.42,0.07,0.0
2,10.0,1.02,1.16,-0.58,1.43,0.07,0.0
2,20.0,1.7,1.16,-1.05,1.77,0.08,0.0
2,30.0,2.16,1.67,-1.31,2.4,0.08,0.01
2,40.0,3.07,2.47,-1.43,3.67,0.08,0.0
2,50.0,2.81,1.99,-0.79,3.35,0.08,0.0
2,60.0,3.86,2.44,-0.67,4.52,0.08,0.0
2,70.0,4.39,3.64,-0.81,5.64,0.08,0.0
2,80.0,3.69,3.0,-0.34,4.74,0.08,0.0
2,90.0,5.32,4.46,0.27,6.93,0.08,0.0
2,100.0,2.81,3.12,2.81,3.12,0.08,0.0
3,0.0,3.05,2.61,-3.05,2.61,0.08,0.0
3,10.0,3.16,2.01,-3.04,2.18,0.08,0.0
3,20.0,3.78,2.03,-2.79,3.25,0.08,0.0
3,30.0,3.48,2.06,-2.87,2.85,0.08,0.0
3,40.0,4.22,2.87,-2.97,4.15,0.08,0.01
3,50.0,3.9,2.1,-2.38,3.74,0.08,0.0
3,60.0,4.89,3.83,-1.7,5.97,0.08,0.0
3,70.0,5.13,4.17,-1.09,6.52,0.08,0.0
3,80.0,5.34,3.04,-0.46,6.12,0.08,0.01
3,90.0,7.8,4.18,-0.46,8.83,0.08,0.0
3,100.0,2.95,4.46,2.95,4.46,0.08,0.0
4,0.0,0.0,0.0,0.0,0.0,0.08,0.0
4,10.0,1.06,0.72,0.18,1.27,0.08,0.01
4,20.0,1.49,1.1,-0.49,1.79,0.08,0.0
4,30.0,2.35,1.62,-0.21,2.84,0.08,0.0
4,40.0,2.08,1.75,-0.38,2.69,0.07,0.0
4,50.0,3.6,2.39,-0.26,4.31,0.07,0.0
4,60.0,3.88,2.69,-0.34,4.71,0.07,0.01
4,70.0,3.93,3.72,-0.64,5.37,0.07,0.0
4,80.0,6.55,5.0,-0.57,8.22,0.07,0.0
4,90.0,4.76,3.22,-0.01,5.75,0.07,0.0
4,100.0,2.29,3.6,2.29,3.6,0.07,0.0
5,0.0,37.84,5.67,-37.84,5.67,0.07,0.01
5,10.0,34.66,6.85,-34.66,6.85,0.07,0.0
5,20.0,30.66,7.12,-30.66,7.12,0.07,0.0
5,30.0,26.33,6.74,-26.33,6.74,0.07,0.0
5,40.0,24.22,6.27,-24.22,6.27,0.07,0.01
5,50.0,19.55,6.29,-19.55,6.29,0.07,0.0
5,60.0,16.54,6.22,-16.54,6.22,0.07,0.0
5,70.0,13.85,7.84,-13.3,8.74,0.07,0.0
5,80.0,9.71,4.92,-7.4,7.98,0.07,0.0
5,90.0,6.1,3.4,-3.38,6.11,0.08,0.01
5,100.0,2.84,3.95,2.84,3.95,0.07,0.0
6,0.0,43.66,6.6,-43.66,6.6,0.08,0.0
6,10.0,39.76,6.15,-39.76,6.15,0.08,0.0
6,20.0,35.22,6.6,-35.22,6.6,0.08,0.01
6,30.0,31.72,5.36,-31.72,5.36,0.07,0.0
6,40.0,27.33,9.39,-27.33,9.39,0.08,0.0
6,50.0,22.79,5.71,-22.79,5.71,0.08,0.0
6,60.0,18.06,6.12,-18.06,6.12,0.08,0.01
6,70.0,13.14,7.23,-12.53,8.25,0.07,0.0
6,80.0,10.74,6.45,-9.67,7.96,0.07,0.0
6,90.0,6.09,3.64,-4.15,5.76,0.07,0.0
6,100.0,3.6,4.39,3.6,4.39,0.08,0.01
7,0.0,14.1,2.65,-14.1,2.65,0.08,0.0
7,10.0,12.45,3.07,-12.45,3.07,0.07,0.0
7,20.0,11.83,3.69,-11.83,3.69,0.08,0.0
7,30.0,10.12,3.88,-10.12,3.88,0.08,0.01
7,40.0,8.19,4.72,-7.8,5.34,0.07,0.0
7,50.0,8.56,3.46,-8.06,4.51,0.07,0.0
7,60.0,7.39,5.52,-5.69,7.26,0.07,0.0
7,70.0,6.38,4.06,-4.46,6.11,0.07,0.0
7,80.0,5.77,4.82,-2.91,6.94,0.07,0.0
7,90.0,5.19,3.4,-1.57,6.0,0.07,0.0
7,100.0,3.51,5.49,3.51,5.49,0.07,0.0
8,0.0,0.0,0.0,0.0,0.0,0.07,0.0
8,10.0,1.16,0.94,0.0,1.49,0.08,0.0
8,20.0,1.01,0.71,-0.08,1.23,0.08,0.0
8,30.0,2.8,1.76,0.71,3.22,0.07,0.0
8,40.0,2.65,1.82,-0.32,3.2,0.08,0.0
8,50.0,2.18,2.01,0.05,2.97,0.08,0.0
8,60.0,3.47,2.1,0.04,4.06,0.07,0.0
8,70.0,4.45,4.62,-0.51,6.4,0.07,0.0
8,80.0,3.7,3.19,-0.46,4.86,0.08,0.0
8,90.0,3.83,2.57,0.32,4.6,0.07,0.0
8,100.0,2.58,3.89,2.58,3.89,0.08,0.01
9,0.0,34.03,9.38,-34.03,9.38,0.07,0.0
9,10.0,30.52,8.91,-30.52,8.91,0.08,0.0
9,20.0,25.92,6.7,-25.92,6.7,0.08,0.0
9,30.0,24.43,7.51,-24.43,7.51,0.08,0.01
9,40.0,21.41,8.37,-21.41,8.37,0.07,0.0
9,50.0,17.99,9.55,-17.99,9.55,0.07,0.0
9,60.0,14.15,7.59,-14.15,7.59,0.07,0.0
9,70.0,11.57,6.7,-10.83,7.84,0.08,0.01
9,80.0,9.56,6.14,-8.0,8.07,0.07,0.0
9,90.0,5.69,3.38,-3.74,5.46,0.07,0.0
9,100.0,2.45,3.22,2.45,3.22,0.07,0.0
