negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
1,0.0,22.85,1.06,-22.85,1.06,34.04,2.89
1,10.0,20.16,1.66,-20.16,1.66,34.51,2.8
1,20.0,16.81,3.58,-16.81,3.58,34.11,3.1
1,30.0,14.09,6.25,-14.09,6.25,33.8,1.95
1,40.0,12.74,5.54,-9.59,10.06,34.07,2.17
1,50.0,12.67,4.85,-9.11,10.05,33.93,2.05
1,60.0,11.48,6.91,-1.58,13.3,34.27,2.59
1,70.0,8.37,6.88,-3.41,10.28,34.02,2.38
1,80.0,9.47,10.77,-0.11,14.34,33.98,1.98
1,90.0,6.19,3.28,-2.7,6.46,33.93,2.27
1,100.0,3.71,5.4,3.71,5.4,34.44,2.76
2,0.0,22.52,0.72,-22.52,0.72,34.46,2.9
2,10.0,19.97,0.83,-19.97,0.83,33.95,2.28
2,20.0,17.36,2.89,-17.36,2.89,34.02,2.6
2,30.0,13.5,5.31,-13.47,5.39,33.89,1.62
2,40.0,12.18,3.1,-11.1,5.88,34.31,2.13
2,50.0,12.66,3.37,-6.79,11.2,34.41,2.18
2,60.0,10.9,5.88,-5.41,11.14,34.48,2.3
2,70.0,8.39,6.66,-5.43,9.24,35.11,2.57
2,80.0,10.06,10.27,-2.27,14.19,34.89,2.58
2,90.0,8.19,9.38,-1.52,12.36,34.34,1.61
2,100.0,5.58,12.27,5.58,12.27,34.81,2.27
3,0.0,23.4,1.05,-23.4,1.05,34.27,2.16
3,10.0,20.99,0.9,-20.99,0.9,34.79,2.54
3,20.0,19.15,1.58,-19.15,1.58,35.2,2.51
3,30.0,14.48,6.34,-14.28,6.79,34.68,2.37
3,40.0,15.21,3.98,-14.58,5.89,34.96,2.41
3,50.0,13.79,4.28,-11.45,8.79,34.64,1.99
3,60.0,11.54,6.58,-7.75,10.78,34.45,2.41
3,70.0,12.42,7.24,-7.33,12.36,34.44,2.23
3,80.0,9.98,7.85,-4.76,11.77,34.96,2.76
3,90.0,9.52,13.01,0.33,16.12,34.61,2.1
3,100.0,8.69,17.16,8.69,17.16,35.05,2.4
4,0.0,21.31,0.62,-21.31,0.62,34.59,2.01
4,10.0,19.23,1.13,-19.23,1.13,35.1,3.15
4,20.0,16.92,1.62,-16.92,1.62,35.21,2.9
4,30.0,14.87,1.67,-14.87,1.67,35.03,3.09
4,40.0,11.33,4.08,-9.59,7.29,34.89,1.84
4,50.0,10.65,3.1,-5.86,9.42,35.33,2.35
4,60.0,8.5,4.7,-5.25,8.16,34.75,1.81
4,70.0,8.04,6.64,-2.67,10.08,34.78,3.13
4,80.0,7.65,7.06,-4.07,9.58,34.77,2.3
4,90.0,6.21,8.37,-0.55,10.41,35.11,2.91
4,100.0,3.22,4.82,3.22,4.82,35.41,2.59
5,0.0,26.22,0.59,-26.22,0.59,34.7,1.77
5,10.0,24.02,1.59,-24.02,1.59,35.04,3.17
5,20.0,21.62,2.64,-21.62,2.64,34.91,3.08
5,30.0,18.6,2.85,-18.6,2.85,34.66,2.05
5,40.0,16.51,2.56,-15.68,5.75,34.98,2.24
5,50.0,13.67,3.22,-8.08,11.48,34.77,1.94
5,60.0,11.14,5.49,-11.14,5.49,34.64,1.96
5,70.0,12.12,8.96,-6.33,13.68,35.23,2.5
5,80.0,9.11,9.05,-3.46,12.37,34.85,1.77
5,90.0,5.81,3.52,-3.16,6.01,34.63,2.04
5,100.0,2.26,3.75,2.26,3.75,34.65,1.56
6,0.0,25.47,0.83,-25.47,0.83,35.19,2.7
6,10.0,23.35,1.84,-23.35,1.84,34.68,3.18
6,20.0,20.76,1.89,-20.76,1.89,35.6,2.77
6,30.0,18.0,4.58,-17.8,5.29,34.53,2.5
6,40.0,15.81,4.13,-14.35,7.81,34.82,2.46
6,50.0,12.84,3.0,-11.56,6.34,34.47,2.21
6,60.0,10.94,5.84,-6.78,10.39,34.72,1.5
6,70.0,11.06,8.45,-4.91,13.02,34.8,2.81
6,80.0,9.38,11.09,0.51,14.52,35.39,2.59
6,90.0,12.67,15.43,4.0,19.56,34.46,2.45
6,100.0,6.7,16.73,6.7,16.73,35.52,2.78
7,0.0,24.67,0.7,-24.67,0.7,34.61,1.63
7,10.0,22.1,1.7,-22.1,1.7,34.96,2.93
7,20.0,18.95,3.36,-18.95,3.36,35.03,2.42
7,30.0,15.68,7.28,-15.68,7.28,34.84,2.67
7,40.0,14.22,5.56,-11.63,9.89,34.71,2.38
7,50.0,12.99,3.14,-9.63,9.27,34.47,1.93
7,60.0,12.14,6.24,-5.29,12.58,35.12,2.32
7,70.0,10.7,8.78,-3.48,13.4,34.79,3.14
7,80.0,7.52,4.56,-6.35,6.08,34.84,2.54
7,90.0,7.48,9.86,-1.04,12.34,35.09,2.53
7,100.0,4.11,4.86,4.11,4.86,35.77,2.83
8,0.0,21.21,0.69,-21.21,0.69,34.36,1.83
8,10.0,19.19,1.12,-19.19,1.12,34.81,2.89
8,20.0,16.39,2.83,-16.39,2.83,32.92,3.01
8,30.0,14.59,2.92,-14.59,2.92,32.93,2.44
8,40.0,12.65,1.69,-12.65,1.69,32.64,2.32
8,50.0,9.9,2.99,-6.83,7.76,32.55,2.1
8,60.0,9.28,4.52,-4.74,9.17,32.71,2.05
8,70.0,9.57,8.04,-1.62,12.39,32.92,1.85
8,80.0,5.05,2.9,-3.85,4.37,33.4,2.38
8,90.0,8.01,12.64,3.83,14.47,32.76,1.59
