negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
1,0.0,5.45,1.51,-5.45,1.51,1.17,0.13
1,10.0,9.43,2.18,-9.43,2.18,1.1,0.09
1,20.0,10.84,2.56,-10.84,2.56,1.1,0.09
1,30.0,13.35,3.08,-13.35,3.08,1.12,0.11
1,40.0,15.34,4.04,-15.34,4.04,1.21,0.13
1,50.0,14.95,2.54,-14.95,2.54,1.17,0.13
1,60.0,14.95,5.94,-14.95,5.94,1.1,0.08
1,70.0,14.65,5.98,-14.37,6.62,1.12,0.09
1,80.0,11.49,4.08,-11.49,4.08,1.09,0.07
1,90.0,5.72,2.85,-5.11,3.84,1.17,0.13
1,100.0,3.79,3.03,3.79,3.03,1.13,0.09
2,0.0,4.02,1.0,-4.02,1.0,1.13,0.15
2,10.0,7.2,2.05,-7.2,2.05,1.18,0.12
2,20.0,9.49,2.7,-9.49,2.7,1.12,0.09
2,30.0,12.29,3.46,-12.29,3.46,1.12,0.08
2,40.0,15.02,4.07,-15.02,4.07,1.23,0.15
2,50.0,13.23,3.85,-13.23,3.85,1.11,0.08
2,60.0,14.55,5.97,-14.55,5.97,1.16,0.13
2,70.0,12.06,4.8,-12.06,4.8,1.18,0.13
2,80.0,11.04,5.2,-11.04,5.2,1.13,0.11
2,90.0,6.65,3.01,-6.65,3.01,1.08,0.08
2,100.0,4.51,2.68,4.51,2.68,1.19,0.15
3,0.0,3.21,1.0,-3.21,1.0,1.22,0.17
3,10.0,6.38,2.01,-6.38,2.01,1.16,0.13
3,20.0,8.88,2.18,-8.88,2.18,1.08,0.09
3,30.0,11.12,3.79,-11.12,3.79,1.11,0.17
3,40.0,13.83,4.28,-13.83,4.28,1.16,0.11
3,50.0,12.36,3.44,-12.36,3.44,1.09,0.09
3,60.0,12.52,6.71,-12.52,6.71,1.14,0.12
3,70.0,15.09,5.86,-15.09,5.86,1.21,0.12
3,80.0,11.99,3.41,-11.99,3.41,1.16,0.11
3,90.0,5.87,3.31,-5.87,3.32,1.16,0.1
3,100.0,3.52,2.98,3.52,2.98,1.24,0.17
4,0.0,3.18,0.7,-3.18,0.7,1.19,0.14
4,10.0,6.45,1.45,-6.45,1.45,1.17,0.12
4,20.0,7.3,2.11,-7.3,2.11,1.18,0.15
4,30.0,9.32,2.29,-9.32,2.29,1.23,0.15
4,40.0,10.16,3.08,-10.16,3.08,1.14,0.1
4,50.0,9.3,3.68,-9.3,3.68,1.16,0.14
4,60.0,9.66,4.73,-9.59,4.87,1.12,0.07
4,70.0,10.98,3.99,-10.98,3.99,1.17,0.1
4,80.0,8.58,4.29,-8.2,4.97,1.18,0.11
4,90.0,4.71,2.89,-4.01,3.8,1.19,0.17
4,100.0,2.97,2.86,2.97,2.86,1.14,0.11
5,0.0,9.26,1.45,-9.26,1.45,1.18,0.12
5,10.0,11.89,2.62,-11.89,2.62,1.12,0.09
5,20.0,14.61,2.81,-14.61,2.81,1.09,0.06
5,30.0,14.78,3.7,-14.78,3.7,1.12,0.07
5,40.0,15.54,4.38,-15.54,4.38,1.07,0.07
5,50.0,17.26,4.2,-17.26,4.2,1.13,0.11
5,60.0,14.56,4.98,-14.56,4.98,1.08,0.1
5,70.0,14.84,5.89,-14.65,6.34,1.18,0.14
5,80.0,12.16,5.01,-12.16,5.01,1.17,0.13
5,90.0,6.18,2.65,-5.16,4.31,1.14,0.13
5,100.0,3.36,3.28,3.36,3.28,1.15,0.12
6,0.0,4.78,1.29,-4.78,1.29,1.22,0.16
6,10.0,9.95,2.9,-9.95,2.9,1.19,0.16
6,20.0,9.96,2.88,-9.96,2.88,1.17,0.11
6,30.0,13.29,4.4,-13.29,4.4,1.18,0.12
6,40.0,15.52,4.13,-15.52,4.13,1.07,0.09
6,50.0,13.08,4.8,-13.08,4.8,1.23,0.2
6,60.0,16.4,4.89,-16.4,4.89,1.17,0.14
6,70.0,15.46,4.73,-15.46,4.73,1.12,0.12
6,80.0,11.8,4.61,-11.45,5.42,1.11,0.1
6,90.0,6.39,3.02,-5.85,3.96,1.2,0.16
6,100.0,2.31,1.82,2.31,1.82,1.15,0.12
7,0.0,8.28,1.29,-8.28,1.29,1.21,0.16
7,10.0,11.43,2.85,-11.43,2.85,1.22,0.15
7,20.0,13.48,3.72,-13.48,3.72,1.2,0.18
7,30.0,14.79,3.61,-14.79,3.61,1.1,0.1
7,40.0,16.28,4.14,-16.28,4.14,1.28,0.23
7,50.0,15.25,4.49,-15.25,4.49,1.19,0.13
7,60.0,15.96,6.03,-15.96,6.03,1.11,0.1
7,70.0,14.8,6.15,-14.8,6.15,1.19,0.16
7,80.0,13.17,3.6,-13.17,3.6,1.14,0.1
7,90.0,5.69,3.0,-5.36,3.56,1.15,0.08
7,100.0,4.27,3.16,4.27,3.16,1.16,0.14
8,0.0,3.23,0.82,-3.23,0.82,1.11,0.09
8,10.0,6.25,1.25,-6.25,1.25,1.31,0.21
8,20.0,7.51,2.2,-7.51,2.2,1.15,0.1
8,30.0,9.21,2.56,-9.21,2.56,1.1,0.08
8,40.0,10.48,3.74,-10.48,3.74,1.11,0.09
8,50.0,10.35,4.55,-10.3,4.68,1.19,0.14
8,60.0,9.0,3.84,-8.93,3.99,1.1,0.1
8,70.0,10.21,4.19,-10.1,4.44,1.18,0.11
8,80.0,8.14,5.01,-8.05,5.16,1.22,0.17
8,90.0,4.71,2.67,-3.49,4.14,1.16,0.15
8,100.0,2.67,2.51,2.67,2.51,1.13,0.1
9,0.0,14.6,1.7,-14.6,1.7,1.1,0.1
9,10.0,17.22,2.8,-17.22,2.8,1.2,0.14
9,20.0,17.25,3.31,-17.25,3.31,1.19,0.14
9,30.0,21.23,4.41,-21.23,4.41,1.12,0.1
9,40.0,18.58,4.92,-18.58,4.92,1.26,0.15
9,50.0,18.98,4.44,-18.98,4.44,1.2,0.13
9,60.0,19.39,4.83,-19.39,4.83,1.13,0.09
9,70.0,16.29,7.39,-16.29,7.39,1.13,0.08
9,80.0,11.68,4.95,-11.61,5.11,1.27,0.19
9,90.0,6.39,2.8,-6.11,3.36,1.18,0.13
9,100.0,3.72,2.51,3.72,2.51,1.15,0.11
