negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
1,0.0,0.0,0.0,0.0,0.0,29.11,0.63
1,10.0,0.96,0.69,-0.28,1.14,29.32,0.65
1,20.0,1.77,1.36,-0.63,2.14,29.88,0.9
1,30.0,2.13,1.71,-0.99,2.54,30.44,0.99
1,40.0,2.28,1.55,-1.54,2.28,30.0,0.72
1,50.0,2.48,1.86,0.17,3.1,29.65,0.83
1,60.0,2.39,2.09,1.24,2.92,30.04,0.72
1,70.0,3.78,2.4,3.12,3.22,30.86,1.25
1,80.0,5.97,3.61,5.91,3.71,29.88,0.55
1,90.0,8.96,4.01,8.83,4.28,29.8,0.67
1,100.0,13.31,5.81,13.31,5.81,29.43,0.56
2,0.0,0.05,0.11,-0.05,0.11,29.6,0.9
2,10.0,1.08,0.77,-0.48,1.24,30.02,0.85
2,20.0,1.78,1.26,-0.79,2.04,29.05,0.71
2,30.0,2.27,1.38,-1.18,2.38,29.16,0.64
2,40.0,2.22,1.7,-0.86,2.66,29.38,0.51
2,50.0,2.78,1.63,-1.56,2.82,30.52,1.13
2,60.0,3.14,1.92,1.39,3.41,29.82,0.77
2,70.0,3.25,2.68,1.77,3.83,29.12,0.9
2,80.0,6.68,4.69,6.68,4.69,29.41,0.71
2,90.0,7.02,3.79,6.76,4.23,30.88,1.3
2,100.0,12.93,5.9,12.93,5.9,29.82,0.96
3,0.0,2.44,1.13,-2.44,1.13,29.21,0.81
3,10.0,2.77,1.91,-2.77,1.91,28.78,0.62
3,20.0,3.04,1.83,-2.88,2.07,29.64,1.06
3,30.0,3.35,2.13,-2.63,2.98,29.79,0.82
3,40.0,2.59,1.84,-1.91,2.54,29.4,0.91
3,50.0,2.69,2.65,0.09,3.78,29.21,0.63
3,60.0,2.94,2.12,1.2,3.42,29.08,0.98
3,70.0,3.6,2.79,2.83,3.57,30.3,1.15
3,80.0,5.4,4.2,4.7,4.97,29.78,0.52
3,90.0,7.2,4.34,7.19,4.35,29.85,0.71
3,100.0,13.99,5.37,13.99,5.37,29.66,0.62
4,0.0,0.0,0.0,0.0,0.0,30.25,1.05
4,10.0,1.21,0.83,-0.55,1.36,29.19,0.87
4,20.0,1.52,1.15,-1.33,1.37,29.36,0.92
4,30.0,2.37,1.61,-0.47,2.83,29.01,0.54
4,40.0,2.14,2.1,0.61,2.94,30.59,1.37
4,50.0,2.21,1.86,1.59,2.41,29.92,0.9
4,60.0,3.57,2.99,3.15,3.43,29.53,0.71
4,70.0,5.06,2.85,4.66,3.47,29.24,0.83
4,80.0,5.91,3.08,5.84,3.22,29.62,0.81
4,90.0,8.04,5.02,7.87,5.28,30.45,1.13
4,100.0,12.1,5.43,12.1,5.43,30.32,0.85
5,0.0,2.46,1.17,-2.46,1.17,29.4,0.73
5,10.0,3.18,1.83,-3.02,2.07,29.5,0.66
5,20.0,3.52,1.94,-3.06,2.6,30.07,1.24
5,30.0,3.99,2.51,-3.83,2.73,29.25,0.82
5,40.0,3.0,1.59,-2.49,2.31,29.72,0.87
5,50.0,3.37,1.89,-1.31,3.63,29.49,1.21
5,60.0,3.12,2.57,-0.97,3.93,30.21,1.46
5,70.0,2.76,2.05,1.46,3.11,29.99,0.73
5,80.0,2.98,2.78,1.53,3.78,29.63,1.14
5,90.0,6.49,3.0,6.49,3.0,29.01,0.81
5,100.0,13.4,4.21,13.4,4.21,29.54,1.07
6,0.0,5.97,2.15,-5.97,2.15,28.98,0.98
6,10.0,5.67,2.0,-5.67,2.0,28.15,0.51
6,20.0,5.39,2.69,-5.36,2.75,28.33,0.53
6,30.0,4.25,2.08,-4.17,2.24,28.56,0.63
6,40.0,4.47,2.29,-3.95,3.1,29.5,1.48
6,50.0,3.72,2.61,-2.23,3.96,28.65,0.46
6,60.0,3.06,2.89,-0.29,4.2,28.22,0.68
6,70.0,3.58,2.26,1.57,3.93,28.57,0.91
6,80.0,4.99,3.48,3.67,4.85,29.66,1.53
6,90.0,6.44,4.64,5.9,5.31,29.0,0.5
6,100.0,13.99,5.1,13.99,5.1,29.06,0.79
7,0.0,1.67,0.79,-1.67,0.79,28.38,0.78
7,10.0,2.77,1.61,-2.53,1.96,28.9,0.94
7,20.0,3.19,1.68,-3.0,2.0,28.28,1.1
7,30.0,2.93,1.51,-2.9,1.55,28.36,0.56
7,40.0,3.15,1.6,-2.11,2.83,28.29,0.79
7,50.0,2.8,2.01,-2.05,2.78,27.93,0.56
7,60.0,3.41,2.28,-0.24,4.09,29.44,1.27
7,70.0,3.84,2.42,0.76,4.47,28.49,0.44
7,80.0,4.07,3.19,2.71,4.41,28.39,0.61
7,90.0,5.78,3.39,5.78,3.39,28.48,0.48
7,100.0,12.57,5.04,12.57,5.04,29.39,1.08
8,0.0,0.0,0.0,0.0,0.0,28.44,0.53
8,10.0,1.04,0.66,-0.31,1.2,28.45,0.6
8,20.0,1.26,0.98,-0.56,1.5,27.78,0.79
8,30.0,1.48,1.01,-0.88,1.56,28.59,0.74
8,40.0,1.64,1.12,0.16,1.98,28.76,0.75
8,50.0,2.38,1.44,1.58,2.29,28.7,0.43
8,60.0,3.35,2.33,3.1,2.66,28.5,0.53
8,70.0,4.65,2.66,4.35,3.13,28.72,0.75
8,80.0,8.01,3.89,8.0,3.9,29.59,1.47
8,90.0,9.5,4.4,9.35,4.73,29.0,1.06
8,100.0,12.17,3.98,12.17,3.98,28.42,0.82
9,0.0,2.43,0.89,-2.43,0.89,28.75,1.3
9,10.0,2.64,1.63,-2.46,1.89,28.5,1.06
9,20.0,2.97,2.03,-2.74,2.34,28.28,0.48
9,30.0,3.84,3.25,-2.9,4.11,28.79,1.12
9,40.0,3.68,2.21,-2.4,3.56,29.0,1.31
9,50.0,3.56,2.45,-1.82,3.92,28.72,0.99
9,60.0,3.23,2.4,-1.24,3.83,28.4,1.06
9,70.0,3.33,2.67,-0.09,4.27,28.97,0.84
9,80.0,4.64,2.83,3.1,4.47,29.35,1.3
9,90.0,6.49,3.93,6.14,4.45,28.28,0.64
9,100.0,12.68,3.67,12.68,3.67,29.21,0.93
