negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
2,0.0,1.95,0.27,-1.95,0.27,0.12,0.01
2,10.0,3.27,0.43,-3.27,0.43,0.25,0.0
2,20.0,3.84,1.11,-3.84,1.11,0.34,0.01
2,30.0,19.04,5.92,-19.04,5.92,0.42,0.02
2,40.0,10.48,3.63,-10.48,3.63,0.53,0.01
2,50.0,8.91,4.5,-8.91,4.5,0.55,0.02
2,60.0,7.22,2.98,-7.0,3.46,0.55,0.01
2,70.0,6.38,3.52,-6.2,3.84,0.55,0.01
2,80.0,5.14,2.9,-5.08,3.0,0.56,0.01
2,90.0,4.29,2.83,-4.21,2.95,0.55,0.01
2,100.0,0.85,1.63,0.85,1.63,0.54,0.01
3,0.0,1.23,0.18,-1.23,0.18,0.1,0.0
3,10.0,2.59,0.47,-2.59,0.47,0.24,0.01
3,20.0,3.42,0.82,-3.42,0.82,0.34,0.01
3,30.0,22.32,12.93,-22.32,12.93,0.41,0.01
3,40.0,8.7,3.83,-8.7,3.83,0.52,0.01
3,50.0,6.71,2.92,-6.71,2.92,0.55,0.01
3,60.0,5.26,3.06,-4.9,3.62,0.56,0.02
3,70.0,6.94,5.12,-6.87,5.2,0.56,0.01
3,80.0,4.65,2.34,-4.17,3.11,0.56,0.01
3,90.0,4.72,2.77,-4.06,3.67,0.56,0.01
3,100.0,1.14,1.9,1.14,1.9,0.55,0.02
4,0.0,3.87,0.42,-3.87,0.42,0.16,0.01
4,10.0,5.38,0.79,-5.38,0.79,0.28,0.01
4,20.0,5.47,0.83,-5.47,0.83,0.35,0.01
4,30.0,24.65,7.12,-24.65,7.12,0.47,0.03
4,40.0,15.33,4.28,-15.33,4.28,0.55,0.01
4,50.0,14.22,5.28,-14.22,5.28,0.56,0.01
4,60.0,13.68,4.03,-13.68,4.03,0.56,0.02
4,70.0,13.21,4.39,-13.21,4.39,0.55,0.01
4,80.0,10.2,3.02,-10.2,3.02,0.55,0.01
4,90.0,5.94,3.2,-5.9,3.26,0.55,0.01
4,100.0,0.91,1.65,0.91,1.65,0.55,0.01
5,0.0,6.99,0.48,-6.99,0.48,0.24,0.01
5,10.0,8.49,1.15,-8.49,1.15,0.33,0.01
5,20.0,9.61,6.26,-9.61,6.26,0.38,0.01
5,30.0,26.94,5.81,-26.94,5.81,0.49,0.02
5,40.0,22.43,6.26,-22.43,6.26,0.55,0.01
5,50.0,22.17,3.54,-22.17,3.54,0.56,0.01
5,60.0,22.09,5.37,-22.09,5.37,0.56,0.01
5,70.0,19.14,4.39,-19.14,4.39,0.55,0.01
5,80.0,15.24,2.9,-15.24,2.9,0.55,0.01
5,90.0,7.94,2.39,-7.85,2.67,0.56,0.01
5,100.0,0.76,0.92,0.76,0.92,0.55,0.01
6,0.0,2.95,0.15,-2.95,0.15,0.18,0.01
6,10.0,4.11,0.74,-4.11,0.74,0.29,0.01
6,20.0,2.41,1.35,-2.4,1.37,0.36,0.0
6,30.0,21.03,6.8,-21.03,6.8,0.43,0.02
6,40.0,14.41,4.82,-14.41,4.82,0.53,0.01
6,50.0,13.63,2.84,-13.63,2.84,0.54,0.01
6,60.0,12.26,3.91,-12.26,3.91,0.55,0.01
6,70.0,12.91,3.59,-12.91,3.59,0.55,0.01
6,80.0,10.42,3.47,-10.42,3.47,0.55,0.01
6,90.0,5.48,2.93,-5.48,2.93,0.55,0.02
6,100.0,1.34,2.16,1.34,2.16,0.54,0.01
7,0.0,2.18,0.31,-2.18,0.31,0.14,0.01
7,10.0,3.28,0.54,-3.28,0.54,0.26,0.01
7,20.0,4.29,0.99,-4.29,0.99,0.35,0.01
7,30.0,19.7,8.58,-19.7,8.58,0.43,0.01
7,40.0,12.29,2.71,-12.29,2.71,0.53,0.01
7,50.0,9.34,2.99,-9.34,2.99,0.55,0.01
7,60.0,8.07,3.94,-8.07,3.94,0.55,0.01
7,70.0,8.8,4.01,-8.8,4.01,0.56,0.01
7,80.0,5.57,3.05,-5.28,3.54,0.55,0.02
7,90.0,5.39,2.93,-5.22,3.21,0.55,0.01
7,100.0,0.79,1.19,0.79,1.19,0.54,0.01
8,0.0,9.19,0.72,-9.19,0.72,0.26,0.01
8,10.0,10.54,0.96,-10.54,0.96,0.34,0.01
8,20.0,14.15,8.0,-14.15,8.0,0.38,0.01
8,30.0,31.07,9.08,-31.07,9.08,0.5,0.02
8,40.0,22.15,4.6,-22.15,4.6,0.55,0.01
8,50.0,22.37,4.56,-22.37,4.56,0.55,0.01
8,60.0,21.19,4.43,-21.19,4.43,0.55,0.01
8,70.0,19.97,3.8,-19.97,3.8,0.55,0.02
8,80.0,14.24,3.36,-14.24,3.36,0.56,0.02
8,90.0,8.0,2.4,-8.0,2.4,0.55,0.01
8,100.0,0.75,1.33,0.75,1.33,0.55,0.02
9,0.0,13.63,0.93,-13.63,0.93,0.31,0.01
9,10.0,14.02,0.63,-14.02,0.63,0.37,0.01
9,20.0,33.67,14.73,-33.67,14.73,0.41,0.02
9,30.0,30.03,4.94,-30.03,4.94,0.54,0.02
9,40.0,28.37,4.26,-28.37,4.26,0.56,0.03
9,50.0,27.98,4.87,-27.98,4.87,0.55,0.02
9,60.0,24.77,3.62,-24.77,3.62,0.55,0.02
9,70.0,21.43,3.16,-21.43,3.16,0.56,0.02
9,80.0,16.89,2.63,-16.89,2.63,0.55,0.02
9,90.0,8.23,1.78,-8.23,1.78,0.56,0.02
9,100.0,0.92,1.61,0.92,1.61,0.55,0.02
