negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
2,0.0,1.79,0.18,-1.79,0.18,0.1,0.01
2,10.0,2.69,0.45,-2.69,0.45,0.24,0.01
2,20.0,3.25,0.8,-3.25,0.8,0.34,0.01
2,30.0,21.68,7.03,-21.68,7.03,0.42,0.02
2,40.0,10.73,3.33,-10.73,3.33,0.55,0.02
2,50.0,6.24,3.12,-6.24,3.12,0.67,0.04
2,60.0,2.85,1.64,-2.29,2.36,0.72,0.02
2,70.0,2.71,2.0,-1.15,3.16,0.76,0.02
2,80.0,2.54,2.06,1.41,2.95,0.78,0.02
2,90.0,3.03,2.25,1.59,3.42,0.8,0.03
2,100.0,1.58,2.64,1.58,2.64,0.79,0.03
3,0.0,1.04,0.19,-1.04,0.19,0.08,0.01
3,10.0,1.68,0.35,-1.68,0.35,0.23,0.01
3,20.0,2.4,0.86,-2.4,0.86,0.33,0.01
3,30.0,20.05,8.86,-20.05,8.86,0.41,0.02
3,40.0,9.75,3.67,-9.75,3.67,0.53,0.02
3,50.0,4.07,2.31,-4.07,2.31,0.64,0.02
3,60.0,2.37,1.86,-1.15,2.78,0.73,0.03
3,70.0,2.99,2.39,1.58,3.49,0.76,0.03
3,80.0,3.36,2.34,2.37,3.34,0.79,0.03
3,90.0,4.12,2.61,4.04,2.74,0.83,0.05
3,100.0,1.58,2.14,1.58,2.14,0.8,0.03
4,0.0,3.47,0.32,-3.47,0.32,0.14,0.01
4,10.0,4.65,0.85,-4.65,0.85,0.26,0.01
4,20.0,6.1,1.19,-6.1,1.19,0.34,0.01
4,30.0,24.63,7.16,-24.63,7.16,0.44,0.02
4,40.0,14.68,4.6,-14.68,4.6,0.58,0.04
4,50.0,10.81,3.24,-10.81,3.24,0.69,0.02
4,60.0,7.23,2.2,-7.23,2.2,0.76,0.02
4,70.0,3.14,3.0,-2.57,3.49,0.78,0.02
4,80.0,3.33,2.56,-1.55,3.9,0.8,0.02
4,90.0,2.83,2.53,-1.16,3.61,0.81,0.03
4,100.0,1.52,2.26,1.52,2.26,0.81,0.03
5,0.0,6.53,0.59,-6.53,0.59,0.21,0.01
5,10.0,8.0,1.07,-8.0,1.07,0.31,0.01
5,20.0,8.47,3.92,-8.47,3.92,0.37,0.01
5,30.0,23.72,8.92,-23.72,8.92,0.46,0.02
5,40.0,22.38,5.44,-22.38,5.44,0.62,0.03
5,50.0,18.35,4.4,-18.35,4.4,0.74,0.08
5,60.0,16.16,4.42,-16.16,4.42,0.76,0.03
5,70.0,12.36,3.57,-12.36,3.57,0.79,0.03
5,80.0,9.09,3.08,-9.09,3.08,0.8,0.03
5,90.0,5.76,2.74,-5.76,2.74,0.81,0.02
5,100.0,2.65,3.09,2.65,3.09,0.79,0.03
6,0.0,2.74,0.33,-2.74,0.33,0.15,0.01
6,10.0,3.99,0.49,-3.99,0.49,0.27,0.01
6,20.0,4.43,1.05,-4.43,1.05,0.35,0.01
6,30.0,22.0,6.54,-22.0,6.54,0.42,0.02
6,40.0,14.9,5.67,-14.9,5.67,0.54,0.02
6,50.0,11.43,3.9,-11.43,3.9,0.67,0.04
6,60.0,9.41,3.78,-9.38,3.83,0.74,0.02
6,70.0,6.35,4.1,-6.02,4.57,0.75,0.02
6,80.0,5.27,2.68,-4.5,3.84,0.78,0.03
6,90.0,3.33,2.03,-2.42,3.06,0.79,0.03
6,100.0,1.03,1.68,1.03,1.68,0.8,0.02
7,0.0,1.89,0.26,-1.89,0.26,0.11,0.01
7,10.0,2.83,0.49,-2.83,0.49,0.26,0.03
7,20.0,3.84,0.79,-3.84,0.79,0.34,0.01
7,30.0,17.9,7.7,-17.9,7.7,0.41,0.01
7,40.0,10.74,2.43,-10.74,2.43,0.54,0.02
7,50.0,7.27,2.75,-7.27,2.75,0.66,0.02
7,60.0,3.61,1.87,-3.09,2.65,0.74,0.03
7,70.0,3.51,1.97,-2.7,2.98,0.77,0.02
7,80.0,1.96,1.29,0.41,2.31,0.81,0.03
7,90.0,2.36,2.02,-0.34,3.09,0.8,0.02
7,100.0,1.98,2.52,1.98,2.52,0.79,0.03
8,0.0,7.64,0.51,-7.64,0.51,0.23,0.01
8,10.0,9.17,0.95,-9.17,0.95,0.31,0.01
8,20.0,12.66,4.32,-12.66,4.32,0.38,0.01
8,30.0,25.74,6.53,-25.74,6.53,0.48,0.03
8,40.0,22.71,5.46,-22.71,5.46,0.66,0.04
8,50.0,17.5,5.11,-17.5,5.11,0.76,0.03
8,60.0,15.53,4.99,-15.53,4.99,0.79,0.02
8,70.0,10.89,4.46,-10.89,4.46,0.8,0.03
8,80.0,7.48,3.73,-7.48,3.73,0.82,0.03
8,90.0,4.92,2.94,-4.74,3.21,0.81,0.02
8,100.0,0.83,1.39,0.83,1.39,0.81,0.03
9,0.0,12.65,0.7,-12.65,0.7,0.29,0.01
9,10.0,14.2,1.31,-14.2,1.31,0.36,0.02
9,20.0,25.28,8.45,-25.28,8.45,0.41,0.02
9,30.0,31.11,6.55,-31.11,6.55,0.55,0.04
9,40.0,25.52,5.4,-25.52,5.4,0.7,0.04
9,50.0,23.82,4.36,-23.82,4.36,0.76,0.02
9,60.0,19.11,3.95,-19.11,3.95,0.8,0.03
9,70.0,16.83,3.92,-16.83,3.92,0.79,0.03
9,80.0,11.78,3.84,-11.78,3.84,0.81,0.03
9,90.0,7.44,2.8,-7.44,2.8,0.79,0.02
9,100.0,1.34,1.76,1.34,1.76,0.79,0.03
