negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
2,0.0,2.69,0.31,-2.69,0.31,8.41,0.59
2,10.0,3.43,0.83,-3.43,0.83,6.98,0.99
2,20.0,4.09,0.98,-4.09,0.98,5.99,0.06
2,30.0,3.98,1.44,-3.95,1.53,6.07,0.06
2,40.0,4.61,1.5,-4.61,1.5,6.17,0.08
2,50.0,4.07,2.26,-4.07,2.26,6.28,0.12
2,60.0,5.06,3.08,-4.84,3.41,6.43,0.08
2,70.0,5.94,3.86,-5.51,4.45,6.52,0.13
2,80.0,4.93,2.97,-4.17,3.96,6.61,0.12
2,90.0,6.17,2.78,-5.68,3.68,6.87,0.12
2,100.0,1.01,1.77,1.01,1.77,6.96,0.16
3,0.0,1.61,0.1,-1.61,0.1,7.52,0.47
3,10.0,2.55,0.71,-2.55,0.71,6.11,0.56
3,20.0,3.02,0.97,-3.02,0.97,5.99,0.09
3,30.0,3.8,1.41,-3.8,1.41,6.09,0.07
3,40.0,3.85,1.52,-3.79,1.66,6.28,0.1
3,50.0,3.19,2.13,-2.73,2.69,6.35,0.08
3,60.0,4.43,2.99,-4.25,3.24,6.51,0.1
3,70.0,4.21,2.63,-3.41,3.61,6.59,0.11
3,80.0,5.67,3.21,-4.03,5.12,6.71,0.1
3,90.0,4.06,2.52,-3.01,3.71,6.85,0.12
3,100.0,0.44,0.58,0.44,0.58,7.03,0.13
4,0.0,2.76,0.3,-2.76,0.3,5.95,0.15
4,10.0,4.12,0.94,-4.12,0.94,5.93,0.04
4,20.0,4.72,1.26,-4.72,1.26,5.99,0.05
4,30.0,5.38,1.46,-5.38,1.46,6.05,0.09
4,40.0,4.98,2.17,-4.98,2.17,6.09,0.06
4,50.0,5.54,3.01,-5.35,3.33,6.22,0.1
4,60.0,5.89,2.61,-5.78,2.84,6.36,0.09
4,70.0,5.99,4.01,-5.85,4.22,6.55,0.1
4,80.0,7.65,3.52,-7.22,4.34,6.68,0.12
4,90.0,5.32,2.77,-4.73,3.7,6.88,0.18
4,100.0,1.42,1.8,1.42,1.8,7.32,0.86
5,0.0,5.21,0.55,-5.21,0.55,8.33,0.49
5,10.0,5.45,0.88,-5.45,0.88,8.48,0.84
5,20.0,5.69,1.58,-5.69,1.58,6.42,0.68
5,30.0,5.73,1.49,-5.73,1.49,6.31,0.06
5,40.0,7.02,2.38,-7.02,2.38,6.48,0.12
5,50.0,6.84,2.89,-6.84,2.89,6.59,0.07
5,60.0,7.46,3.75,-7.45,3.76,7.04,0.23
5,70.0,7.74,3.89,-7.62,4.13,7.4,0.18
5,80.0,7.2,4.4,-6.71,5.13,7.43,0.53
5,90.0,6.36,3.29,-5.69,4.34,7.12,0.25
5,100.0,1.74,2.45,1.74,2.45,7.25,0.2
6,0.0,2.83,0.35,-2.83,0.35,6.05,0.17
6,10.0,3.88,0.85,-3.88,0.85,6.02,0.15
6,20.0,4.83,1.27,-4.83,1.27,6.07,0.16
6,30.0,5.2,1.42,-5.2,1.42,6.13,0.12
6,40.0,4.85,1.7,-4.85,1.7,6.26,0.1
6,50.0,4.67,2.66,-4.67,2.66,6.48,0.1
6,60.0,5.85,2.56,-4.71,4.31,6.53,0.14
6,70.0,5.25,2.74,-4.99,3.18,6.61,0.1
6,80.0,7.33,3.75,-7.17,4.06,6.75,0.13
6,90.0,5.46,2.77,-4.26,4.4,6.91,0.15
6,100.0,2.28,3.24,2.28,3.24,7.07,0.23
7,0.0,2.55,0.28,-2.55,0.28,5.99,0.14
7,10.0,3.67,0.75,-3.67,0.75,5.99,0.14
7,20.0,3.72,1.22,-3.72,1.22,6.0,0.07
7,30.0,4.43,1.34,-4.43,1.34,6.12,0.08
7,40.0,3.59,2.32,-3.5,2.47,6.2,0.08
7,50.0,5.09,2.7,-5.07,2.74,6.33,0.07
7,60.0,6.14,2.95,-6.09,3.05,6.46,0.12
7,70.0,5.12,3.12,-4.75,3.65,6.61,0.13
7,80.0,5.37,3.09,-5.23,3.32,6.74,0.1
7,90.0,4.51,3.08,-3.2,4.42,6.82,0.13
7,100.0,2.2,3.22,2.2,3.22,7.0,0.13
8,0.0,7.12,0.65,-7.12,0.65,5.88,0.05
8,10.0,7.52,1.08,-7.52,1.08,5.93,0.04
8,20.0,7.2,1.64,-7.2,1.64,5.92,0.09
8,30.0,8.26,1.81,-8.26,1.81,6.07,0.11
8,40.0,7.76,3.28,-7.75,3.3,6.1,0.07
8,50.0,9.61,3.62,-9.5,3.9,6.2,0.09
8,60.0,7.83,3.53,-7.49,4.21,6.38,0.21
8,70.0,7.5,4.25,-7.43,4.37,6.51,0.13
8,80.0,8.27,4.93,-8.09,5.22,6.66,0.09
8,90.0,5.75,3.01,-5.42,3.57,6.78,0.14
8,100.0,1.75,2.74,1.75,2.74,6.87,0.16
9,0.0,12.15,0.96,-12.15,0.96,5.9,0.15
9,10.0,10.77,1.52,-10.77,1.52,5.89,0.05
9,20.0,9.96,1.74,-9.96,1.74,5.97,0.08
9,30.0,10.56,2.38,-10.56,2.38,6.07,0.09
9,40.0,10.16,2.98,-10.16,2.98,6.1,0.07
9,50.0,10.21,2.41,-10.21,2.41,6.23,0.08
9,60.0,9.8,4.68,-9.8,4.68,6.39,0.13
9,70.0,7.09,4.2,-7.02,4.32,6.52,0.11
9,80.0,9.88,5.51,-9.81,5.63,6.61,0.16
9,90.0,8.09,2.51,-7.98,2.85,6.83,0.16
9,100.0,1.46,2.03,1.46,2.03,6.83,0.18
