negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
2,0.0,1.35,0.0,-1.35,0.0,7.78,0.35
2,10.0,1.13,0.15,0.29,1.1,7.29,0.32
2,20.0,1.21,0.62,0.73,1.15,7.17,0.53
2,30.0,1.16,0.94,0.53,1.39,7.1,0.53
2,40.0,1.38,1.07,0.72,1.59,7.36,0.46
2,50.0,1.8,1.17,1.1,1.84,7.46,0.5
2,60.0,1.59,1.35,1.15,1.75,7.39,0.5
2,70.0,1.58,1.26,0.79,1.86,8.0,0.48
2,80.0,1.54,0.9,0.42,1.73,8.09,0.32
2,90.0,2.8,0.88,2.8,0.88,7.8,0.48
2,100.0,86.07,28.89,86.07,28.89,4.7,0.74
3,0.0,1.35,0.0,-1.35,0.0,7.69,0.51
3,10.0,1.22,0.11,0.91,0.81,7.11,0.58
3,20.0,1.22,0.69,0.87,1.1,7.34,0.44
3,30.0,1.22,0.7,0.96,1.03,7.35,0.47
3,40.0,1.8,1.44,1.27,1.93,7.41,0.49
3,50.0,2.03,1.48,1.67,1.87,7.3,0.45
3,60.0,1.53,1.11,0.85,1.68,7.74,0.43
3,70.0,1.74,1.16,0.81,1.93,7.51,0.54
3,80.0,1.68,1.19,1.23,1.65,8.0,0.54
3,90.0,3.33,2.35,3.33,2.35,7.88,0.59
3,100.0,70.93,37.02,70.93,37.02,5.04,0.84
4,0.0,1.35,0.0,-1.35,0.0,7.68,0.51
4,10.0,1.1,0.42,-0.6,1.02,7.02,0.44
4,20.0,1.6,1.14,-1.0,1.69,7.15,0.44
4,30.0,1.15,0.88,-0.7,1.26,7.12,0.45
4,40.0,2.01,1.52,-1.42,2.08,7.33,0.35
4,50.0,1.92,1.5,-0.62,2.36,7.56,0.6
4,60.0,1.96,1.26,0.03,2.33,7.38,0.41
4,70.0,1.92,1.4,-0.9,2.2,7.72,0.6
4,80.0,1.82,1.48,-1.0,2.13,7.84,0.54
4,90.0,13.11,27.91,13.11,27.91,7.49,1.29
4,100.0,74.95,34.6,74.95,34.6,4.89,0.88
5,0.0,3.94,0.0,-3.94,0.0,7.54,0.43
5,10.0,4.43,1.34,-4.43,1.34,7.15,0.41
5,20.0,4.34,1.43,-4.34,1.43,7.26,0.39
5,30.0,3.99,1.55,-3.99,1.55,7.17,0.47
5,40.0,4.25,1.79,-4.25,1.79,7.35,0.58
5,50.0,3.64,2.21,-3.51,2.41,7.74,0.46
5,60.0,4.29,2.44,-4.29,2.44,7.74,0.55
5,70.0,3.75,2.05,-3.17,2.86,8.11,0.49
5,80.0,4.02,2.55,-3.83,2.83,7.7,0.44
5,90.0,12.05,5.72,12.05,5.72,6.2,0.74
5,100.0,86.82,27.13,86.82,27.13,4.62,0.61
6,0.0,1.35,0.0,-1.35,0.0,7.55,0.56
6,10.0,1.55,0.95,-1.55,0.95,7.41,0.41
6,20.0,1.76,1.22,-1.76,1.22,6.91,0.39
6,30.0,1.61,1.14,-1.1,1.63,7.32,0.37
6,40.0,1.73,0.99,-1.43,1.4,7.44,0.44
6,50.0,2.0,1.52,-1.92,1.62,7.31,0.49
6,60.0,2.37,1.57,-1.31,2.53,7.8,0.42
6,70.0,2.18,1.87,-1.5,2.44,7.96,0.52
6,80.0,2.93,2.08,-2.6,2.48,8.0,0.5
6,90.0,12.13,6.86,12.13,6.86,6.82,0.8
6,100.0,82.9,31.61,82.9,31.61,4.67,0.77
7,0.0,1.35,0.0,-1.35,0.0,7.68,0.3
7,10.0,1.06,0.14,-0.25,1.04,7.06,0.48
7,20.0,1.16,0.76,-0.04,1.38,7.06,0.38
7,30.0,1.38,1.01,-0.1,1.71,7.39,0.34
7,40.0,1.52,1.08,0.49,1.8,7.32,0.37
7,50.0,1.28,1.22,0.11,1.77,7.41,0.38
7,60.0,1.53,0.86,0.25,1.74,7.84,0.44
7,70.0,1.93,1.3,-0.23,2.31,7.76,0.41
7,80.0,1.77,1.32,-0.63,2.12,7.98,0.56
7,90.0,3.45,3.08,3.45,3.08,7.8,0.58
7,100.0,69.72,38.68,69.72,38.68,4.9,0.92
8,0.0,4.04,0.48,-4.04,0.48,7.08,0.42
8,10.0,4.6,1.29,-4.6,1.29,7.28,0.47
8,20.0,4.41,1.14,-4.41,1.14,6.95,0.33
8,30.0,4.77,1.95,-4.77,1.95,7.37,0.46
8,40.0,4.62,2.28,-4.62,2.28,7.57,0.44
8,50.0,4.19,2.07,-4.13,2.19,7.25,0.5
8,60.0,4.14,2.16,-3.95,2.5,7.86,0.45
8,70.0,4.2,2.58,-4.2,2.58,8.0,0.48
8,80.0,4.23,2.56,-2.73,4.12,7.92,0.54
8,90.0,20.48,25.87,20.48,25.87,6.46,1.16
8,100.0,76.72,35.18,76.72,35.18,4.86,0.81
9,0.0,11.54,1.13,-11.54,1.13,7.03,0.41
9,10.0,10.86,1.66,-10.86,1.66,7.18,0.4
9,20.0,10.95,1.55,-10.95,1.55,7.14,0.42
9,30.0,10.44,2.04,-10.44,2.04,7.36,0.32
9,40.0,10.47,2.01,-10.47,2.01,7.43,0.44
9,50.0,9.73,3.33,-9.73,3.33,7.58,0.51
9,60.0,8.65,2.25,-8.65,2.25,7.99,0.38
9,70.0,8.77,3.08,-8.77,3.08,7.83,0.43
9,80.0,6.82,3.13,-3.18,6.8,7.65,0.83
9,90.0,39.68,36.93,39.68,36.93,5.64,1.0
9,100.0,80.01,33.19,80.01,33.19,4.87,0.84
