negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
2,0.0,1.12,0.44,-1.12,0.44,0.09,0.02
2,10.0,1.43,0.8,-1.39,0.86,0.09,0.01
2,20.0,1.38,1.01,-0.71,1.56,0.1,0.01
2,30.0,1.91,1.28,-1.69,1.56,0.1,0.01
2,40.0,2.46,1.32,-1.61,2.29,0.11,0.01
2,50.0,2.14,1.79,-1.76,2.16,0.1,0.01
2,60.0,1.8,1.29,0.32,2.19,0.1,0.01
2,70.0,2.88,1.68,-1.73,2.85,0.11,0.01
2,80.0,3.3,2.16,-1.2,3.75,0.1,0.01
2,90.0,3.44,2.44,-2.09,3.67,0.09,0.01
2,100.0,1.5,2.15,1.5,2.15,0.09,0.01
3,0.0,0.33,0.19,-0.33,0.19,0.09,0.01
3,10.0,0.8,0.61,-0.63,0.79,0.1,0.01
3,20.0,1.28,0.83,-0.5,1.44,0.09,0.01
3,30.0,1.63,0.94,-0.21,1.87,0.09,0.01
3,40.0,1.63,1.09,-0.93,1.72,0.1,0.03
3,50.0,1.78,1.08,-0.48,2.02,0.09,0.01
3,60.0,2.03,1.69,-0.69,2.56,0.1,0.01
3,70.0,2.21,1.78,0.07,2.84,0.1,0.01
3,80.0,3.98,2.5,-0.14,4.7,0.11,0.01
3,90.0,3.22,2.16,0.13,3.88,0.11,0.02
3,100.0,1.38,1.83,1.38,1.83,0.12,0.03
4,0.0,4.14,1.26,-4.14,1.26,0.1,0.02
4,10.0,3.69,1.31,-3.69,1.31,0.1,0.02
4,20.0,3.69,1.95,-3.69,1.95,0.09,0.01
4,30.0,2.57,1.64,-2.48,1.77,0.09,0.01
4,40.0,3.52,2.54,-3.4,2.69,0.1,0.02
4,50.0,3.35,2.7,-2.25,3.66,0.1,0.02
4,60.0,2.95,1.89,-2.27,2.67,0.11,0.02
4,70.0,2.61,1.7,-1.4,2.78,0.1,0.02
4,80.0,3.95,2.45,-1.62,4.36,0.09,0.02
4,90.0,3.19,1.92,-1.47,3.42,0.11,0.02
4,100.0,1.61,2.52,1.61,2.52,0.09,0.01
5,0.0,18.24,3.01,-18.24,3.01,0.1,0.02
5,10.0,16.88,3.17,-16.88,3.17,0.11,0.02
5,20.0,14.0,3.1,-14.0,3.1,0.09,0.02
5,30.0,13.23,3.74,-13.23,3.74,0.09,0.02
5,40.0,11.98,3.45,-11.98,3.45,0.1,0.02
5,50.0,9.72,3.83,-9.72,3.83,0.09,0.02
5,60.0,7.41,3.07,-7.41,3.07,0.1,0.02
5,70.0,6.25,3.31,-6.07,3.63,0.09,0.01
5,80.0,4.57,3.3,-4.17,3.79,0.1,0.02
5,90.0,2.43,1.87,-0.61,3.0,0.11,0.02
5,100.0,2.01,2.84,2.01,2.84,0.09,0.01
6,0.0,2.08,0.78,-2.08,0.78,0.1,0.02
6,10.0,2.19,0.96,-2.19,0.96,0.1,0.02
6,20.0,1.72,1.34,-1.57,1.52,0.11,0.01
6,30.0,2.05,1.43,-1.6,1.93,0.12,0.02
6,40.0,2.2,1.75,-1.65,2.27,0.12,0.02
6,50.0,2.13,1.34,-1.46,2.05,0.12,0.02
6,60.0,2.93,2.47,-2.49,2.91,0.11,0.02
6,70.0,2.78,2.07,-1.31,3.21,0.12,0.02
6,80.0,2.05,1.85,0.3,2.74,0.11,0.02
6,90.0,2.33,1.92,-0.23,3.01,0.12,0.03
6,100.0,2.02,2.66,2.02,2.66,0.11,0.02
7,0.0,1.18,0.34,-1.18,0.34,0.11,0.02
7,10.0,1.45,0.95,-1.44,0.98,0.12,0.02
7,20.0,1.39,0.95,-1.05,1.32,0.12,0.02
7,30.0,1.5,1.33,-0.36,1.97,0.09,0.01
7,40.0,2.74,1.94,-1.3,3.09,0.1,0.01
7,50.0,2.6,2.01,-1.4,2.97,0.09,0.01
7,60.0,2.02,1.46,-1.05,2.26,0.1,0.01
7,70.0,3.5,2.56,-1.69,3.98,0.1,0.02
7,80.0,2.79,2.28,-1.95,3.03,0.09,0.01
7,90.0,2.95,1.96,-0.43,3.51,0.09,0.01
7,100.0,1.16,1.98,1.16,1.98,0.09,0.01
8,0.0,30.49,4.75,-30.49,4.75,0.09,0.01
8,10.0,29.75,5.83,-29.75,5.83,0.1,0.02
8,20.0,24.89,3.9,-24.89,3.9,0.1,0.02
8,30.0,23.21,4.18,-23.21,4.18,0.09,0.01
8,40.0,19.74,3.94,-19.74,3.94,0.12,0.02
8,50.0,15.88,4.42,-15.88,4.42,0.11,0.02
8,60.0,13.96,3.85,-13.96,3.85,0.1,0.02
8,70.0,9.72,3.55,-9.72,3.55,0.11,0.02
8,80.0,7.71,4.87,-7.61,5.02,0.11,0.01
8,90.0,4.86,2.84,-4.63,3.2,0.1,0.02
8,100.0,0.85,1.72,0.85,1.72,0.11,0.01
9,0.0,32.03,3.76,-32.03,3.76,0.1,0.02
9,10.0,28.93,3.33,-28.93,3.33,0.1,0.02
9,20.0,25.81,4.1,-25.81,4.1,0.1,0.01
9,30.0,21.44,3.81,-21.44,3.81,0.09,0.01
9,40.0,19.48,3.8,-19.48,3.8,0.1,0.01
9,50.0,16.78,4.34,-16.78,4.34,0.11,0.01
9,60.0,13.31,4.04,-13.31,4.04,0.09,0.01
9,70.0,10.91,4.0,-10.91,4.0,0.11,0.01
9,80.0,8.37,3.5,-8.37,3.5,0.11,0.01
9,90.0,3.96,2.87,-2.77,4.03,0.1,0.01
9,100.0,1.43,1.73,1.43,1.73,0.11,0.02
