negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
2,0.0,1.48,0.51,-1.48,0.51,0.08,0.0
2,10.0,1.79,0.95,-1.77,0.98,0.07,0.0
2,20.0,2.23,1.15,-2.03,1.48,0.08,0.0
2,30.0,1.87,1.08,-1.83,1.15,0.07,0.0
2,40.0,1.91,1.18,-1.17,1.91,0.07,0.0
2,50.0,1.61,1.31,-1.23,1.67,0.07,0.0
2,60.0,2.44,1.94,-1.66,2.63,0.07,0.0
2,70.0,2.63,1.94,0.09,3.27,0.07,0.0
2,80.0,3.35,2.01,-1.15,3.74,0.07,0.0
2,90.0,3.2,1.45,-0.07,3.51,0.07,0.0
2,100.0,1.11,2.04,1.11,2.04,0.07,0.0
3,0.0,0.58,0.26,-0.58,0.26,0.08,0.0
3,10.0,1.12,0.68,-1.11,0.7,0.07,0.0
3,20.0,0.89,0.83,-0.69,1.0,0.08,0.0
3,30.0,1.0,0.71,-0.51,1.11,0.07,0.0
3,40.0,1.78,1.26,-0.68,2.07,0.08,0.0
3,50.0,2.31,1.78,-0.11,2.91,0.07,0.0
3,60.0,2.18,1.77,-1.02,2.61,0.07,0.0
3,70.0,2.74,1.74,-0.22,3.24,0.08,0.01
3,80.0,3.15,2.49,-1.72,3.63,0.07,0.0
3,90.0,3.66,2.55,-0.33,4.45,0.07,0.0
3,100.0,1.8,2.91,1.8,2.91,0.08,0.0
4,0.0,4.52,1.06,-4.52,1.06,0.07,0.0
4,10.0,4.14,1.18,-4.14,1.18,0.08,0.0
4,20.0,4.49,1.2,-4.49,1.2,0.07,0.0
4,30.0,4.49,1.59,-4.41,1.81,0.07,0.0
4,40.0,3.63,1.98,-3.45,2.28,0.07,0.0
4,50.0,3.09,1.88,-2.58,2.53,0.07,0.0
4,60.0,3.01,2.77,-2.81,2.97,0.07,0.0
4,70.0,3.39,1.83,-3.21,2.13,0.07,0.0
4,80.0,3.32,2.12,0.8,3.85,0.07,0.0
4,90.0,3.0,2.34,-0.2,3.79,0.08,0.0
4,100.0,0.56,1.48,0.56,1.48,0.07,0.0
5,0.0,14.88,2.92,-14.88,2.92,0.07,0.0
5,10.0,12.72,2.87,-12.72,2.87,0.08,0.0
5,20.0,11.77,1.88,-11.77,1.88,0.08,0.0
5,30.0,10.14,3.03,-10.14,3.03,0.07,0.0
5,40.0,10.29,2.43,-10.29,2.43,0.08,0.0
5,50.0,9.05,3.78,-8.8,4.32,0.08,0.0
5,60.0,6.49,4.19,-6.37,4.37,0.08,0.0
5,70.0,5.06,3.08,-4.79,3.49,0.07,0.0
5,80.0,3.22,1.93,-2.44,2.86,0.07,0.0
5,90.0,3.93,2.3,-2.06,4.07,0.07,0.0
5,100.0,1.63,1.88,1.63,1.88,0.08,0.0
6,0.0,20.63,2.92,-20.63,2.92,0.08,0.0
6,10.0,18.7,2.75,-18.7,2.75,0.08,0.0
6,20.0,17.24,3.5,-17.24,3.5,0.07,0.0
6,30.0,14.6,3.73,-14.6,3.73,0.08,0.0
6,40.0,14.27,3.94,-14.27,3.94,0.07,0.0
6,50.0,11.32,3.96,-11.32,3.96,0.08,0.0
6,60.0,8.83,3.73,-8.77,3.85,0.08,0.0
6,70.0,7.84,3.73,-7.84,3.73,0.08,0.0
6,80.0,7.36,4.89,-7.29,5.0,0.07,0.0
6,90.0,3.14,2.94,-1.05,4.17,0.07,0.0
6,100.0,1.06,1.79,1.06,1.79,0.07,0.0
7,0.0,3.69,0.77,-3.69,0.77,0.07,0.0
7,10.0,3.23,1.34,-3.23,1.34,0.07,0.0
7,20.0,3.21,1.45,-3.21,1.45,0.07,0.0
7,30.0,3.17,1.66,-3.12,1.75,0.07,0.0
7,40.0,3.06,2.0,-2.76,2.4,0.07,0.0
7,50.0,2.55,2.06,-1.83,2.72,0.07,0.0
7,60.0,2.97,1.76,-2.37,2.5,0.07,0.0
7,70.0,2.51,1.97,-1.65,2.74,0.07,0.0
7,80.0,3.31,2.26,-1.11,3.85,0.07,0.0
7,90.0,2.88,2.47,-1.85,3.31,0.07,0.0
7,100.0,1.6,1.97,1.6,1.97,0.08,0.0
8,0.0,31.36,3.99,-31.36,3.99,0.07,0.0
8,10.0,28.14,4.53,-28.14,4.53,0.07,0.0
8,20.0,24.81,4.89,-24.81,4.89,0.07,0.0
8,30.0,21.32,4.5,-21.32,4.5,0.07,0.0
8,40.0,19.04,3.81,-19.04,3.81,0.07,0.0
8,50.0,15.47,4.75,-15.47,4.75,0.08,0.0
8,60.0,15.75,2.71,-15.75,2.71,0.07,0.0
8,70.0,9.34,4.48,-9.34,4.48,0.08,0.0
8,80.0,7.67,3.42,-7.67,3.42,0.08,0.0
8,90.0,2.81,1.85,-1.58,2.97,0.08,0.0
8,100.0,1.48,2.7,1.48,2.7,0.07,0.0
9,0.0,47.16,5.14,-47.16,5.14,0.08,0.0
9,10.0,45.99,4.55,-45.99,4.55,0.08,0.0
9,20.0,40.36,5.15,-40.36,5.15,0.07,0.0
9,30.0,34.61,5.34,-34.61,5.34,0.07,0.0
9,40.0,29.45,4.3,-29.45,4.3,0.08,0.0
9,50.0,25.01,5.32,-25.01,5.32,0.08,0.0
9,60.0,19.16,4.01,-19.16,4.01,0.08,0.0
9,70.0,13.97,3.22,-13.97,3.22,0.08,0.0
9,80.0,10.14,4.62,-10.14,4.62,0.08,0.0
9,90.0,4.59,1.98,-4.59,1.98,0.07,0.0
9,100.0,1.56,1.82,1.56,1.82,0.08,0.0
