negative,alpha,mean_abs_error,mean_abs_error_std,mean_error,mean_error_std,time,time_std
2,0.0,1.46,0.44,-1.46,0.44,0.08,0.0
2,10.0,1.64,0.89,-1.62,0.93,0.08,0.0
2,20.0,1.69,1.0,-1.47,1.3,0.08,0.0
2,30.0,1.7,1.11,-1.08,1.72,0.07,0.0
2,40.0,1.82,1.37,-1.3,1.87,0.07,0.0
2,50.0,1.71,1.38,-0.77,2.06,0.07,0.0
2,60.0,2.64,2.41,-1.57,3.21,0.07,0.0
2,70.0,2.59,2.35,-1.31,3.24,0.07,0.0
2,80.0,3.23,1.72,-0.61,3.61,0.07,0.0
2,90.0,2.65,2.21,-0.75,3.37,0.07,0.0
2,100.0,1.6,2.32,1.6,2.32,0.07,0.0
3,0.0,0.51,0.22,-0.51,0.22,0.08,0.0
3,10.0,1.0,0.64,-0.84,0.85,0.07,0.0
3,20.0,0.91,0.84,-0.35,1.19,0.07,0.0
3,30.0,1.68,1.14,-0.65,1.92,0.07,0.0
3,40.0,1.79,1.26,-0.27,2.17,0.07,0.0
3,50.0,1.87,1.04,0.04,2.14,0.08,0.0
3,60.0,2.97,1.86,0.27,3.49,0.07,0.0
3,70.0,2.93,2.18,-0.59,3.6,0.08,0.0
3,80.0,2.97,1.58,-0.77,3.27,0.07,0.0
3,90.0,2.96,2.64,-0.09,3.96,0.08,0.0
3,100.0,2.69,3.5,2.69,3.5,0.08,0.0
4,0.0,4.37,1.06,-4.37,1.06,0.08,0.0
4,10.0,3.83,1.29,-3.83,1.29,0.08,0.0
4,20.0,3.78,1.39,-3.78,1.39,0.07,0.0
4,30.0,3.77,2.75,-3.71,2.84,0.08,0.0
4,40.0,2.67,1.96,-2.39,2.29,0.08,0.0
4,50.0,3.07,2.37,-2.82,2.66,0.08,0.0
4,60.0,3.56,2.6,-3.11,3.12,0.07,0.0
4,70.0,2.62,2.26,-2.11,2.75,0.08,0.0
4,80.0,2.26,1.43,-1.08,2.44,0.08,0.0
4,90.0,3.62,2.3,-1.41,4.05,0.08,0.0
4,100.0,2.56,2.57,2.56,2.57,0.07,0.0
5,0.0,13.41,1.9,-13.41,1.9,0.08,0.0
5,10.0,12.45,2.42,-12.45,2.42,0.07,0.0
5,20.0,11.79,3.23,-11.79,3.23,0.08,0.0
5,30.0,10.1,3.06,-10.1,3.06,0.07,0.0
5,40.0,8.95,2.92,-8.95,2.92,0.07,0.0
5,50.0,8.19,2.58,-8.19,2.58,0.07,0.0
5,60.0,7.18,2.74,-7.18,2.74,0.07,0.0
5,70.0,5.83,2.97,-5.62,3.34,0.08,0.0
5,80.0,3.75,3.22,-2.24,4.4,0.08,0.0
5,90.0,3.9,3.14,-3.59,3.5,0.08,0.0
5,100.0,1.37,1.46,1.37,1.46,0.07,0.0
6,0.0,20.68,3.05,-20.68,3.05,0.08,0.0
6,10.0,16.47,2.01,-16.47,2.01,0.07,0.0
6,20.0,16.15,3.12,-16.15,3.12,0.08,0.0
6,30.0,15.37,3.66,-15.37,3.66,0.07,0.0
6,40.0,12.96,3.56,-12.96,3.56,0.08,0.0
6,50.0,10.44,3.06,-10.44,3.06,0.07,0.0
6,60.0,8.1,2.61,-8.1,2.61,0.07,0.0
6,70.0,7.75,3.84,-7.75,3.84,0.07,0.0
6,80.0,4.38,2.35,-3.9,3.08,0.07,0.0
6,90.0,2.93,2.09,-1.66,3.2,0.08,0.0
6,100.0,1.51,2.33,1.51,2.33,0.07,0.0
7,0.0,3.33,0.7,-3.33,0.7,0.07,0.0
7,10.0,2.6,1.21,-2.6,1.21,0.07,0.0
7,20.0,3.35,1.4,-3.35,1.4,0.08,0.0
7,30.0,2.73,1.68,-2.6,1.87,0.07,0.0
7,40.0,1.98,1.58,-1.08,2.29,0.08,0.0
7,50.0,2.62,1.62,-2.5,1.8,0.07,0.0
7,60.0,2.61,1.59,-0.49,3.02,0.07,0.0
7,70.0,2.98,2.11,-0.99,3.51,0.07,0.0
7,80.0,3.04,2.33,-1.64,3.46,0.07,0.0
7,90.0,4.1,2.97,-1.66,4.78,0.07,0.0
7,100.0,2.33,2.61,2.33,2.61,0.07,0.0
8,0.0,30.12,4.79,-30.12,4.79,0.07,0.0
8,10.0,26.83,4.13,-26.83,4.13,0.07,0.0
8,20.0,23.78,5.79,-23.78,5.79,0.07,0.0
8,30.0,21.28,4.71,-21.28,4.71,0.07,0.0
8,40.0,17.33,3.2,-17.33,3.2,0.07,0.0
8,50.0,15.65,4.45,-15.65,4.45,0.07,0.0
8,60.0,12.46,4.02,-12.46,4.02,0.07,0.0
8,70.0,9.91,4.12,-9.91,4.12,0.08,0.0
8,80.0,5.82,3.64,-5.74,3.77,0.07,0.0
8,90.0,3.95,3.26,-3.38,3.85,0.08,0.0
8,100.0,2.05,2.58,2.05,2.58,0.07,0.0
9,0.0,45.68,4.47,-45.68,4.47,0.07,0.0
9,10.0,42.46,3.76,-42.46,3.76,0.07,0.0
9,20.0,37.97,5.24,-37.97,5.24,0.07,0.0
9,30.0,33.46,5.33,-33.46,5.33,0.08,0.0
9,40.0,30.22,4.97,-30.22,4.97,0.08,0.0
9,50.0,24.38,4.1,-24.38,4.1,0.08,0.0
9,60.0,19.83,4.73,-19.83,4.73,0.08,0.0
9,70.0,15.93,3.51,-15.93,3.51,0.08,0.0
9,80.0,9.38,4.71,-9.38,4.71,0.07,0.0
9,90.0,6.36,3.11,-6.25,3.33,0.08,0.0
9,100.0,2.01,2.82,2.01,2.82,0.08,0.0
